Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
11E8A748-7BB3-4C28-82F8-BBD5F993B77A,"""Viagra"" Choc Mold CML 786",,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,4,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$3.88 
B90F814F-9511-4DDC-A07F-D797C3ED19AE,Boobs Oreo Choc Mold CML 788,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,3,1,4,10/21/2022 11:48,not tracked,FALSE,,,$2.91 
5D61A141-1AA9-460D-81C0-8583C4DBA6AE,Breast Sucker Choc Mold CML 753,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,4,10/14/2022 15:15,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
6A8FEDA9-8039-4D44-86FB-E4AC9D0FD92F,Fat Stubby Penis Sucker Choc Mold CML 776,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,2,1,4,10/14/2022 15:15,Wilton (WiltonForBusiness dot com),FALSE,,,$1.94 
CE22C4D5-DC63-4F55-AD28-0A542233F9BF,Female Boobs Sucker Choc Mold CML 704,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,3/4/2022 15:11,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
CFF0DF81-B38B-4ECC-92EC-8904A26A29D8,Large 3D Penis Assembly Choc Mold CML 763,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,5,2,8,10/14/2022 15:15,Wilton (WiltonForBusiness dot com),FALSE,,,$4.85 
9179E5FC-80EA-46F3-ABC3-5D2FC8500DEE,Middle Finger Sucker Choc Mold CML XX52,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,7,0,0,3/4/2022 15:11,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
48E8ADD2-089A-4C46-910C-BFBB096B5DBF,Mini Penis Choc Mold CML 781,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,3,2,4,7/15/2021 15:32,Wilton (WiltonForBusiness dot com),FALSE,,,$2.91 
BB9FEF54-B8F5-4E25-97AB-AC4BDE447B1F,Penis Oreo Choc Mold CML 789,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,4,1,4,,R&M International - MoreThanBaking dot com,FALSE,,,$3.88 
9321385F-4882-41BA-832C-E325F73A6CA9,Penis Pistol w/Penis Bullets Choc Mold CML 770,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,4,2,4,,R&M International - MoreThanBaking dot com,FALSE,,,$3.88 
34B4C8B0-ECD0-4629-BBDC-868A03000BE0,Penis Sucker Choc Mold CML 755,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.76 ,,3,1,4,10/14/2022 15:15,R&M International - MoreThanBaking dot com,FALSE,,,$2.28 
7364F0FF-56AA-4B16-BD17-1B1E45DA86F0,Penis Sucker Pacifier Choc Mold CML 719,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,2,4,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
30CCE236-16DF-4EB7-983B-C9937BAB09F8,Penis Sucker Pacifier Choc Mold CML 780,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,4,1,4,,R&M International - MoreThanBaking dot com,FALSE,,,$3.88 
DA880559-F8BC-40DE-979D-E7160085CE7A,Small Penis Chocolate Candy Mold CML 752,,$0.00 ,Chocolate Molds,Adult,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,6,3,4,9/7/2022 15:35,not tracked,FALSE,,,$5.82 
B8CF4682-F0B7-416B-9B4A-CA6D698AD3BE,"Mini Penis Cookie Cutter 1.75""",10,$6.40 ,Cookie Cutters,Adult,71581016520,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.64 ,,10,2,12,10/14/2022 15:15,CK Products,FALSE,,,$6.40 
98731DD3-B427-4917-A560-30D0497D94F4,"Penis Cookie Cutter 4.75""x2.5""",3,$0.00 ,Cookie Cutters,Adult,71581013444,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,3,2,12,10/14/2022 15:15,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
