Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
B1D34250-7DA2-4F88-8BD7-7060A44D2D98,"3D Bear 4-Cavity Sucker Mold 1.68""x3.75""",,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,0,1,3,3/1/2022 11:33,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1FA8321C-9232-4D45-9D93-6276F588311E,3D Dinosaur Choc Mold 90-11157,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,1,1,3,11/22/2022 14:02,Wilton (WiltonForBusiness dot com),FALSE,,,$1.05 
02AD9390-A57D-446D-ACD2-AF3AB19EAEBA,"3D Lamb Choc Mold 3.25"" 90-2335",,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,1,1,3,12/6/2022 11:01,Wilton (WiltonForBusiness dot com),FALSE,,,$1.05 
36D47A20-D828-4315-8E30-5A79A7B2DE42,Animal Crackers 15-cavity Mold A 7,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,3,1,3,8/18/2022 14:48,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
9E2724C8-A74C-44E0-903C-8BC34DD4C2B3,Baby Chick 4-Cavity 3D Chocolate Mold,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
D41C551D-43D5-444E-A978-D207549126DF,Baby Duck 6-Cavity Oreo Mold LOTP B 61,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,6,1,0,4/15/2022 14:49,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
8B267387-CF49-4FE3-A3B6-BFC2106DA8CD,Baby Elephant 6-Cavity Mold 90-971,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.60 ,,2,1,3,8/9/2022 16:25,Wilton (WiltonForBusiness dot com),FALSE,,,$1.20 
7DC83B60-AB37-46D4-99A4-75331281AFF4,Cocker Spaniel Dog 3-Cavity Sucker Mold CML 3411,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
4A5B671D-37FF-4FF8-84B6-73BBC1751825,Cow 3-cavity Sucker Mold 90-11218,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,4/21/2022 19:06,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1E8B043A-A0EC-4F75-8B15-F2E1B429511A,Curled-Up Cat 4-cavity Sucker Mold A-149,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,9/3/2022 10:26,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
D3D19D55-18E8-4FA1-B599-C24AA97F44FA,Cute Frog 6-Cavity Mold CML 589,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.76 ,,1,1,3,6/29/2022 10:30,Wilton (WiltonForBusiness dot com),FALSE,,,$0.76 
F8CAA7BC-348B-462B-BB26-EE3B74026410,Dalmations in Ruffled Hearts 4-Cavity Sucker Mold,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,3/17/2022 13:52,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
319FB145-1E70-484F-A6B5-0BBD2D7A9BE4,Dino Choc Mold 90-976,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,6/8/2022 10:08,not tracked,FALSE,,,$3.15 
C7FBE0C7-A463-492E-B992-AD2F994F8F7A,"Dinosaur 1"" Choc Mold 90-11145",,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,4,1,3,5/3/2022 12:19,Wilton (WiltonForBusiness dot com),FALSE,,,$4.20 
F1308D70-A182-4CBF-AA69-4334A49A3BD8,"Doggie Treat 1 3/4"" Choc Mold 90-11294",,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,3,1/28/2022 14:02,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
C6A023A1-6EEE-4B2C-BBCA-E1F05F71C3DD,Dolphin 1.75” 11-Cavity Mold 90-12810,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,,not tracked,FALSE,,,$0.00 
062F688E-7ED6-49F6-984B-4061FAF6E895,Easter Asst Choc Mold 90-2114,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.27 ,,3,1,3,4/13/2022 14:43,not tracked,FALSE,,,$3.81 
4B369E25-A158-4F08-84E4-EE5B658A0112,Elephant Choc Mold 90-11169,,$0.00 ,Chocolate Molds,Animals,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,3,11/24/2021 16:34,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
