Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
8d4a3559-ad60-4579-96db-0f3efc7afc6d,"Candy Sprinkles Cello Bags 4x2x9"", 5ct.",10,$6.50 ,Packaging,Bags,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.65 ,,10,4,20,12/20/2022 11:05,R&M International - MoreThanBaking dot com,FALSE,,,$6.50 
0d3eb750-c7c6-45a4-b343-c4c22dcf7f04,"Clear Gift Basket Bags, 2ct. - Large Poly 22""x8""x25""",6,$9.00 ,Packaging,Bags,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.50 ,,8,2,,10/13/2022 15:05,Ateco,FALSE,,,$12.00 
b310ae89-2c60-4fd5-b60a-9acc218bc124,"Clear Gift Basket Bags, 2ct. - Medium Poly 18.5""x5""x22.5",0,$0.00 ,Packaging,Bags,,4.00E+11,$2.69 ,TRUE,TRUE,TRUE,$1.25 ,,0,2,,12/17/2022 14:45,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
477158de-e666-465b-a841-9203799c48a8,"Clear Gift Basket Bags, 2ct. - X Large Cello 25""x30""",18,$15.84 ,Packaging,Bags,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.88 ,,19,2,,10/4/2022 16:32,Wholesale Sugar Flowers dot com,FALSE,,,$16.72 
de7e622c-61cf-49ae-b1c2-6f0998e4023f,"Elegant White Lace Cello Bags 4x2x9"", 5ct.",2,$1.26 ,Packaging,Bags,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.63 ,,2,0,0,12/21/2022 13:14,not tracked,FALSE,,,$1.26 
952599f6-f1c4-4170-a86d-235004c35647,"Flat Cello Bags 25ct. - 2""x4 1/8""",0,$0.00 ,Packaging,Bags,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.42 ,,1,0,,12/8/2022 17:09,CK Products,FALSE,,,$0.42 
49dbb104-e909-46a0-b857-ab651030fe46,"Flat Cello Bags 25ct. - 2""x8""",8,$7.44 ,Packaging,Bags,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.93 ,,8,3,,12/17/2022 14:19,CK Products,FALSE,,,$7.44 
e33d77aa-2869-41db-9af3-be64bf17306c,"Flat Cello Bags 25ct. - 2.25""x8""",30,$14.50 ,Packaging,Bags,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.48 ,,42,0,,12/20/2022 15:32,not tracked,FALSE,,,$20.31 
7c5831b9-068c-4b66-b09d-45892feb22ba,"Flat Cello Bags 25ct. - 2.5""x10""",15,$18.15 ,Packaging,Bags,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.21 ,,16,3,,12/17/2022 11:55,not tracked,FALSE,,,$19.36 
8f157e30-7d87-43b5-a799-7ca85a866ee9,"Flat Cello Bags 25ct. - 2.5""x4.25""",6,$7.44 ,Packaging,Bags,,4.00E+11,$2.69 ,TRUE,TRUE,TRUE,$1.24 ,,6,3,,12/21/2022 15:15,not tracked,FALSE,,,$7.44 
