Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
DD25FD7F-B299-4506-8C09-7C22C9E1AD36,"Ann Clark Feather Cookie Cutter 4.5""x2"" 7902A",11,$8.14 ,Cookie Cutters,Birds,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.74 ,,11,1,12,8/17/2022 17:01,CK Products,FALSE,,,$8.14 
23CA5612-DA29-4870-8F5C-88CF3C0D1D1F,"Ann Clark Flamingo Cookie Cutter 3.5""x4.25""",0,$0.00 ,Cookie Cutters,Birds,8.71E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,,CK Products,FALSE,,,$0.00 
F91FB39C-7D6E-45C6-AAED-26B9E778E872,"Bird Cookie Cutter3.75""",8,$4.16 ,Cookie Cutters,Birds,71581008570,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.52 ,,8,1,12,8/3/2022 14:53,DecoPac,FALSE,,,$4.16 
4AB905FB-E059-4ADF-9D75-767C3249B7AA,"Chicken Cookie Cutter 3.75""",4,$2.72 ,Cookie Cutters,Birds,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.68 ,,4,1,6,11/30/2022 11:06,Miceli & Oldfield (734) 946-4500,FALSE,,,$2.72 
C623582D-645A-49AF-B714-2E179CA33D26,Dove 3.5” Cookie Cutter 1268,1,$0.00 ,Cookie Cutters,Birds,71581012683,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,1,12,11/17/2022 20:38,CK Products,FALSE,,,$0.00 
6A627F72-0B47-4C0B-B14E-E6DA358F411F,"Eagle Hawk Head Cookie Cutter 4.5""",6,$3.90 ,Cookie Cutters,Birds,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.65 ,,6,1,6,,CK Products,FALSE,,,$3.90 
EE1C226B-BF4D-416C-B45F-CE08C1727B7B,"Flamingo Cookie Cutter 3""x4"", painted pink",0,$0.00 ,Cookie Cutters,Birds,71581709200,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$0.87 ,,3,0,0,11/9/2022 17:01,CK Products,FALSE,,,$2.61 
C6E21620-A5A7-4C73-9140-C41A49F6F6B2,"Owl Cookie Cutter 3.75""x2.5"" B0804",11,$9.02 ,Cookie Cutters,Birds,71581008044,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.82 ,,11,1,6,9/22/2022 10:53,Cookie Cutter dot Com Off the beaten path,FALSE,,,$9.02 
873636A3-4651-4B4F-AFC5-FD0CE9D53BC4,"Parrot Cookie Cutter 1.75""x6""",5,$0.00 ,Cookie Cutters,Birds,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,5,1,12,12/16/2021 16:45,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
3A7E3857-B9A4-40A9-B85C-3B464EC15E3D,R&M Love Birds 5pc. Cookie Cutter Set,5,$30.80 ,Cookie Cutters,Birds,7.69E+11,4.00E+11,$12.99 ,TRUE,TRUE,TRUE,$6.16 ,,5,1,6,5/12/2022 11:53,R&M International - MoreThanBaking dot com,FALSE,,,$30.80 
