Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
DA76A4CE-85FE-44B9-ACBA-D9C064EAAC2E,Birthday Decos Choc Mold LOTP K102,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,5,1,6,4/9/2022 16:03,Wilton (WiltonForBusiness dot com),FALSE,,,$4.50 
B038CB49-171A-492B-B85D-1FBC2C495FEA,Happy 30 Birthday 3” 3-cavity Sucker Mold L067,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,1,3,2/18/2022 16:43,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1C45F141-5705-48FB-81F6-E5587E60B723,Happy 40 Birthday 3” 3-Cavity Sucker Mold L-070,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,12/20/2022 15:02,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
D1523D44-0C88-4FBE-A2D0-5A2BA54735A2,Happy 50th Birthday LOTP L071,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,6,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1918B9E1-46B6-484E-AF0C-07430A41A990,Happy 60 Birthday 3” 3-Cavity Sucker Mold L-072,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,10/15/2022 13:32,not tracked,FALSE,,,$0.00 
37E6F56C-4B1E-443B-9CBD-0EFD74AAFD68,Happy B'Day Oreo Choc Mold LOTP M226,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,5,1,6,11/15/2022 15:55,Wilton (WiltonForBusiness dot com),FALSE,,,$5.15 
7E94F6DC-8B84-4D31-8F2D-B784CC24BEFE,"Happy Birthday Letters 2"" Choc Mold 90-12181",,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,3/18/2022 16:30,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
2BE040FA-49C4-4362-8542-C92094F90E15,Happy Birthday w/Numbers Choc Mold 90-12111,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,9/27/2022 11:00,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
08E78C0B-A6DB-496C-B477-77161125CB6E,Oval Mint 40 Years 11-Cavity Mold 90-11341,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
5FC84270-4311-4D11-A826-22A14556F109,Oval Mint 50 Years 11-Cavity Mold 90-11353,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
24759947-B20B-4001-8EEB-8D46AE01678F,Over The Hill 3-Cavity Sucker Mold 90-12133,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,9,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
C0EEFD17-1C41-456F-A42B-F7A7FF92F3C8,Over The Hill Mountain 5-Cavity Sucker Mold LOTP M067,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,5,0,0,,not tracked,FALSE,,,$0.00 
1A43F98C-8F2E-44CD-8E5C-A4CBBBFF8D06,Quinceanera 15 Heart 3-Cavity Sucker Mold 90-12139,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,8,0,0,10/15/2022 13:32,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
E3D88000-CC68-4D02-8A52-4BBCF3246EF4,Quinceanera on Tiara 4-Cavity Sucker Mold LOTP L046,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,8,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
8CDB6A0C-C280-4409-A34F-5C719266161B,RIP Over The Hill Tombstone 11-Cavity Mold 90-12101,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
F537924F-449E-476C-84D2-77DBA8950DB2,RIP Over The Hill Tombstone 6-Cavity Sucker Mold 90-12137,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,,Cookie Cutter dot Com Off the beaten path,FALSE,,,$0.00 
B3179C0E-AB99-4F7F-8568-D02040D1F748,Sweet 16 Sucker Choc Mold LOTP L068,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,3,1,6,6/17/2022 17:03,R&M International - MoreThanBaking dot com,FALSE,,,$2.70 
0F9C74EE-BD7E-4D5D-973E-6E0A7E1A6002,Sweet Sixteen Choc Mold LOTP K055,,$0.00 ,Chocolate Molds,Birthday,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,6,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$5.40 
026CE722-41A8-43DD-8088-0EB9291F121F,"Black & White Birthday Cupcake Rings, 6ct.",24,$12.24 ,Decorations,Birthday,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.51 ,,24,2,1,,CK Products,FALSE,,,$12.24 
EF7BE788-592A-4744-B808-4B641ED5009A,Happy Birthday Script Lay-on,,$0.00 ,Decorations,Birthday,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.19 ,,34,2,1,11/5/2022 11:37,DecoPac,FALSE,,,$6.46 
