Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
53A89CBD-5E1E-47D8-B9B3-B5EEFEDD1589,"4"" Round Metallic Cake Board - Gold",10,$3.10 ,Boards,general,,4.00E+11,$0.79 ,TRUE,TRUE,TRUE,$0.31 ,,12,5,,11/4/2022 14:09,CK Products,FALSE,,,$3.72 
EE6790EC-DA95-4F93-9455-12323E5B2885,"4"" Round Metallic Cake Board - Silver",542,$106.38 ,Boards,general,,4.00E+11,$0.79 ,TRUE,TRUE,TRUE,$0.20 ,,543,5,,12/20/2022 10:45,Cookie Countess Wholesale dot com,FALSE,,,$106.58 
178781A1-DC77-4B0E-99DD-FD4F6F674490,"Gold Scallop - 10""",93,$40.92 ,Boards,general,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.44 ,,93,15,,12/22/2022 12:13,Cookie Countess Wholesale dot com,FALSE,,,$40.92 
CF9EBF1A-8033-4BED-BC49-C3E95046D153,"Gold Scallop - 12""",77,$48.51 ,Boards,general,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.63 ,,77,15,,12/23/2022 16:23,Cookie Countess Wholesale dot com,FALSE,,,$48.51 
F1F9F5CA-7EE7-4EEC-A167-5C8EDE16E363,"Hexagon Reversible Gold/Black 3.5"" Board, 5ct.",10,$3.90 ,Boards,general,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.39 ,,11,2,10,12/7/2022 11:08,Cookie Countess Wholesale dot com,FALSE,,,$4.29 
DE0E0814-F0A8-47AA-A6E5-511279916970,"Round 10"" Wrapped Cake Board - Hot Pink",5,$4.60 ,Boards,general,,4.00E+11,$2.29 ,TRUE,TRUE,TRUE,$0.92 ,,6,5,1,12/23/2022 12:19,Cookie Countess Wholesale dot com,FALSE,,,$5.52 
96751505-30D4-4441-903E-2FED4A63B7F4,"Round 10"" Wrapped Cake Board - Lilac",3,$2.67 ,Boards,general,,4.00E+11,$2.29 ,TRUE,TRUE,TRUE,$0.89 ,,4,5,1,12/23/2022 13:49,Cookie Countess Wholesale dot com,FALSE,,,$3.56 
C9C3C2A0-4F1A-4806-9E59-E62D1083488B,"Round 10"" Wrapped Cake Board - Tahiti Blue",4,$3.92 ,Boards,general,,4.00E+11,$2.29 ,TRUE,TRUE,TRUE,$0.98 ,,9,5,1,12/22/2022 16:14,Cookie Countess Wholesale dot com,FALSE,,,$8.82 
92AFCA8C-990A-458C-A74D-C77C7B35DDEF,Round 10” Wrapped Cake Board - White,0,$0.00 ,Boards,general,,4.00E+11,$2.29 ,TRUE,TRUE,TRUE,$1.00 ,,0,5,0,12/23/2022 13:49,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
2736BA3C-38AF-4308-9761-097467425C0F,"Wilton Show-N-Serve 12"" Cake Circles, 8pk.",0,$0.00 ,Boards,general,70896211767,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,6/6/2020 12:15,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
