Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
1D90E25C-6B62-4072-BC4C-DE53A01A37BF,"""One"" Candle Holder",11,$17.71 ,Decorations,Cake Toppers,6.08E+11,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.61 ,,11,2,1,10/15/2022 13:22,Choklit Molds dot com,FALSE,,,$17.71 
6DEC6F19-C6A1-482A-80EF-21084B10409E,"""With this Ring"" DecoSet",2,$9.76 ,Decorations,Cake Toppers,6.08E+11,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.88 ,,2,1,2,6/18/2022 10:57,Choklit Molds dot com,FALSE,,,$9.76 
B7693B7A-B943-4384-8FAE-E263AAB83C33,"2023 Bold DecoPics, 6ct.",24,$12.72 ,Decorations,Cake Toppers,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.53 ,,24,0,0,,Choklit Molds dot com,FALSE,,,$12.72 
6BF0A0E7-8D8B-4D87-A9CD-EA7FFF7F8039,"2023 Foil DecoPics, 6ct.",24,$16.80 ,Decorations,Cake Toppers,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.70 ,,24,2,1,,Choklit Molds dot com,FALSE,,,$16.80 
EF6CDDDB-AA10-4563-B906-C59BEB05CDFF,"3D Basketball Rings, 6ct.",3,$1.44 ,Decorations,Cake Toppers,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.48 ,,3,4,24,12/17/2022 14:19,Choklit Molds dot com,FALSE,,,$1.44 
C867F0E1-F789-4A16-B659-15D4EDE67932,Acrylic Happy Birthday (Design #1) Cake Topper - Dark Silver Mirror,1,$4.00 ,Decorations,Cake Toppers,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.00 ,,1,1,,11/26/2022 10:46,Donna Rabe - Sweet Stuff Shoppe - Text (313) 720-2659,FALSE,,,$4.00 
DBB47C80-590F-461B-B185-178D5E6FCCD5,Acrylic Happy Birthday (Design #1) Cake Topper - Gold Mirror,2,$8.00 ,Decorations,Cake Toppers,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.00 ,,2,1,,12/3/2022 10:26,CK Products,FALSE,,,$8.00 
508B0EE9-8721-4C5D-B079-74F545B39BAA,Acrylic Happy Birthday (Design #1) Cake Topper - Silver Mirror,2,$8.00 ,Decorations,Cake Toppers,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.00 ,,2,1,,11/12/2022 13:37,Donna Rabe - Sweet Stuff Shoppe - Text (313) 720-2659,FALSE,,,$8.00 
1AFB931A-411E-4144-8F4F-075DA8F0EFC8,Acrylic Happy Birthday Cake Topper,41,$16.40 ,Decorations,Cake Toppers,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$0.40 ,,41,2,12,12/13/2022 13:55,Donna Rabe - Sweet Stuff Shoppe - Text (313) 720-2659,FALSE,,,$16.40 
966564E9-8178-462A-A7D8-CF6FC8601D9C,"Amy Cakes ""Twenty One"" Gold Acrylic Cake Topper",1,$7.97 ,Decorations,Cake Toppers,5.39E+12,4.00E+11,$16.99 ,TRUE,TRUE,TRUE,$7.97 ,,1,0,0,2/26/2022 13:23,CK Products,FALSE,,,$7.97 
057F195A-7AFD-463E-93C7-7EF0C848B2B6,"Amy Cakes ""Twenty One"" Silver Acrylic Cake Topper",1,$7.97 ,Decorations,Cake Toppers,,4.00E+11,$16.99 ,TRUE,TRUE,TRUE,$7.97 ,,1,1,2,12/3/2021 12:06,Choklit Molds dot com,FALSE,,,$7.97 
3EA39610-02A6-4E1B-89EC-81743AA8974E,"Animal Cake Toppers, Asst'd - Bear/Wolf",0,$0.00 ,Decorations,Cake Toppers,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$3.00 ,,0,0,,10/19/2021 10:06,DecoPac,FALSE,,,$0.00 
C9DA5BAC-E921-4EFB-809D-38E954BCFEEA,"Animal Cake Toppers, Asst'd - Elephant/Lion/Panda",0,$0.00 ,Decorations,Cake Toppers,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.50 ,,0,0,,10/8/2021 16:11,Evil Cake Genius,FALSE,,,$0.00 
B1A1906C-B3D9-4CA4-AAD8-0E18F13539E0,"Animal Cake Toppers, Asst'd - Elk",0,$0.00 ,Decorations,Cake Toppers,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.50 ,,0,0,,10/19/2021 10:06,Evil Cake Genius,FALSE,,,$0.00 
751CCFCA-1781-4A54-B341-158CBE5ED89F,"Animal Cake Toppers, Asst'd - Giraffe/Tiger/Hippo",0,$0.00 ,Decorations,Cake Toppers,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.50 ,,0,0,,10/19/2021 10:06,DecoPac,FALSE,,,$0.00 
20FE2557-5615-433B-B7B6-5D0F6D51F520,"Animal Cake Toppers, Asst'd - Zebra/Rhino/Leopard",0,$0.00 ,Decorations,Cake Toppers,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.50 ,,0,0,,10/19/2021 10:06,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$0.00 
