Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
1F1A97F6-019A-42BF-9187-391E9A1B92C5,"Bakery Crafts Beer Candle Holders, 4ct.",1,$1.53 ,Candles,general,6.08E+11,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.53 ,,1,1,6,10/8/2022 11:28,Cookie Countess Wholesale dot com,FALSE,,,$1.53 
2C263AE9-CAD0-43F0-9AEA-2FE10A2A1827,Bakery Crafts Block Number Candle - 0 (Yellow),0,$0.00 ,Candles,general,21466323120,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.00 ,,15,0,,,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
70C6FBFA-2002-42EF-89E1-2446A2018C2E,Bakery Crafts Block Number Candle - 2 (Red),0,$0.00 ,Candles,general,21466323144,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,8/20/2020 18:13,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
1C6AE1B4-40BD-466C-A4D8-78BF7A5FC3B4,Bakery Crafts Block Number Candle - 3 (Lime Green),0,$0.00 ,Candles,general,21466323151,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,,9/14/2022 15:47,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
3E361204-081B-4C8C-AB0A-F21C03BA1B6E,Bakery Crafts Block Number Candle - 4 (Orange),0,$0.00 ,Candles,general,21466323168,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,,9/20/2022 11:55,Parrishs Magic Line,FALSE,,,$0.00 
D355E396-1DB9-4CE4-B2BA-0113835E7A70,Bakery Crafts Block Number Candle - 9 (Blue),0,$0.00 ,Candles,general,21466323212,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,,6/4/2021 16:24,CK Products,FALSE,,,$0.00 
54E5D496-5FB5-4C71-A77D-A4FE4E1BEBC9,"Bakery Crafts Champagne Candle Holder, 4ct.",3,$5.76 ,Candles,general,21466003879,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.92 ,,3,1,6,3/29/2022 12:15,CK Products,FALSE,,,$5.76 
61A49AFE-20D3-42F9-91A3-3DBF0A0106CF,"Bakery Crafts Dotted White Candles, 3.5"", 16 ct.",5,$6.05 ,Candles,general,21466003732,4.00E+11,$2.79 ,TRUE,TRUE,TRUE,$1.21 ,,5,2,12,11/3/2022 14:06,CK Products,FALSE,,,$6.05 
42826B76-06E1-4A8F-B9C6-EC8C996748D8,"Bakery Crafts Glitter Number Candle, Asst'd colors - 0",4,$2.10 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.53 ,,8,4,,6/8/2022 16:11,CK Products,FALSE,,,$4.20 
AF7455FC-E3D7-464D-9ED2-BF556E16DB06,"Bakery Crafts Glitter Number Candle, Asst'd colors - 1",1,$0.54 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.54 ,,9,4,,7/22/2022 13:42,CK Products,FALSE,,,$4.86 
F650D742-8F00-4C34-8A28-82EC9221FCE7,"Bakery Crafts Glitter Number Candle, Asst'd colors - 2",11,$5.68 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,10,4,,7/13/2022 16:09,CK Products,FALSE,,,$5.16 
3ECA02FF-14B9-4F4A-B744-D9CF8BE8D77B,"Bakery Crafts Glitter Number Candle, Asst'd colors - 3",1,$0.52 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,5,4,,11/17/2022 13:28,CK Products,FALSE,,,$2.60 
2006DCE3-AAD1-47BC-B0D1-61FE20A86C7C,"Bakery Crafts Glitter Number Candle, Asst'd colors - 4",1,$0.52 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,6,4,,10/25/2022 13:52,CK Products,FALSE,,,$3.12 
BB217481-154F-4621-AF04-837FED601C2E,"Bakery Crafts Glitter Number Candle, Asst'd colors - 5",10,$5.20 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,9,4,,7/22/2022 15:39,CK Products,FALSE,,,$4.68 
DDDAB544-5263-4A3B-A209-29C80EC58E52,"Bakery Crafts Glitter Number Candle, Asst'd colors - 6",3,$1.56 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,4,4,,12/10/2022 15:37,CK Products,FALSE,,,$2.08 
9200CA7C-36FE-4E04-88D8-723122F252AD,"Bakery Crafts Glitter Number Candle, Asst'd colors - 7",0,$0.00 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.48 ,,7,4,,11/10/2022 16:59,CK Products,FALSE,,,$3.36 
AB092CEC-0CE9-45A4-BAB6-BF8B66A40226,"Bakery Crafts Glitter Number Candle, Asst'd colors - 8",4,$2.06 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,8,4,,10/20/2022 14:01,CK Products,FALSE,,,$4.13 
D22AC095-1548-45F5-A053-E52A3517CDA4,"Bakery Crafts Glitter Number Candle, Asst'd colors - 9",8,$4.16 ,Candles,general,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.52 ,,9,4,,7/22/2022 13:42,not tracked,FALSE,,,$4.68 
CDFDBA2E-317C-4DD3-BEA8-DBED78EF572D,"Bakery Crafts Good Vibes Birthday Candles, 24ct. ",3,$2.10 ,Candles,general,6.08E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.70 ,,3,2,6,9/21/2022 16:36,CK Products,FALSE,,,$2.10 
999DB70A-FFF2-48D3-B67F-22F49103F427,"Bakery Crafts Metallic Candles, 16ct.",1,$1.14 ,Candles,general,6.08E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.14 ,,1,1,6,10/27/2022 14:13,CK Products,FALSE,,,$1.14 
3688A42D-ADAC-41FC-ACD1-FF99EBAD5F47,Bakery Crafts Number Candles - Stripes & Dots - 0 (Orange),0,$0.00 ,Candles,general,21466320525,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,5,0,,,CK Products,FALSE,,,$0.00 
09D49C1B-5CA7-4CD2-AE5E-A5F6E8847B63,Bakery Crafts Number Candles - Stripes & Dots - 1,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
5BC48839-49B4-4A46-A261-12EB726FB44A,Bakery Crafts Number Candles - Stripes & Dots - 2,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
754B278B-B361-4484-BC49-852F349F5AF9,Bakery Crafts Number Candles - Stripes & Dots - 3,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
F1C1BC3F-346C-480F-8AAE-6177942A7815,Bakery Crafts Number Candles - Stripes & Dots - 4,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
84EA5ED8-0580-4A91-8B73-3E550D5B222D,Bakery Crafts Number Candles - Stripes & Dots - 5,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
CFA4E466-56EA-40AE-B82B-CFE64F995BF3,Bakery Crafts Number Candles - Stripes & Dots - 6 (Lt. Green),0,$0.00 ,Candles,general,21466320488,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,,9/14/2022 15:47,CK Products,FALSE,,,$0.00 
CB4294B7-EC89-4E1B-BB7A-961A7EC1868D,Bakery Crafts Number Candles - Stripes & Dots - 7 (Dark Green),0,$0.00 ,Candles,general,21466320495,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,,10/22/2022 11:34,CK Products,FALSE,,,$0.00 
4C1539B7-1126-4133-A69E-9E9E352365B9,Bakery Crafts Number Candles - Stripes & Dots - 8,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
3669B676-3CC4-4054-A417-B5DD7D9C00DE,Bakery Crafts Number Candles - Stripes & Dots - 9,0,$0.00 ,Candles,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,not tracked,FALSE,,,$0.00 
4E7FDBB2-EDCE-44FF-B456-FDD12D041D84,Bakery Crafts Numeral Candle Polka Dot - 3,0,$0.00 ,Candles,general,21466051931,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,,12/2/2022 12:15,CK Products,FALSE,,,$0.00 
55382EAF-A356-46C0-8D98-8F747D5503C6,Bakery Crafts Numeral Candle Polka Dot - 4,0,$0.00 ,Candles,general,21466051955,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,4/13/2021 15:38,not tracked,FALSE,,,$0.00 
3CBFC6B8-6EE3-475D-ADB7-5F13F1DFB36E,Bakery Crafts Numeral Candle Polka Dot - 5,0,$0.00 ,Candles,general,21466051979,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,11/25/2020 15:25,CK Products,FALSE,,,$0.00 
08867E0A-89CA-410F-9534-229103DF2A37,Bakery Crafts Numeral Candle Polka Dot - 9,0,$0.00 ,Candles,general,21466052051,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,,10/22/2022 11:34,CK Products,FALSE,,,$0.00 
95F105D9-0B72-40E0-B571-2F434D2B2C5C,Bakery Crafts Rainbow Candle,6,$6.30 ,Candles,general,6.08E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.05 ,,6,1,6,,CK Products,FALSE,,,$6.30 
F78AE724-059B-43A0-9093-8DB14F64005A,Bakery Crafts Shark Candle,1,$1.05 ,Candles,general,6.08E+11,4.00E+11,$2.29 ,TRUE,TRUE,TRUE,$1.05 ,,1,1,6,11/17/2022 14:27,Ateco,FALSE,,,$1.05 
952CD74E-DCD5-460C-B630-9ACBF17F58CA,"Bakery Crafts Spiral Bright Birthday Candles, 2.5"", 24ct.",20,$6.20 ,Candles,general,6.08E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.31 ,,20,2,12,12/9/2022 14:23,Ateco,FALSE,,,$6.20 
19C67227-2456-44C2-AAE7-AC24E68F14DC,"Bakery Crafts Spiral Candles, 12ct. - Assorted",3,$0.84 ,Candles,general,21466597514,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.28 ,,6,2,,12/10/2022 15:37,Ateco,FALSE,,,$1.68 
C05A37C5-E2CE-4EA9-A755-3130C02CA75A,"Bakery Crafts Spiral Candles, 12ct. - Gold",6,$6.30 ,Candles,general,6.08E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.05 ,,8,2,,11/21/2020 13:48,Ateco,FALSE,,,$8.40 
CAE0D328-846B-4505-AB40-AE71101EF964,"Bakery Crafts Spiral Candles, 12ct. - Green",0,$0.00 ,Candles,general,21466597538,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.28 ,,0,0,,10/14/2020 10:38,Ateco,FALSE,,,$0.00 
0D320794-87C4-4DE8-8FC8-4998AC2E6047,"Bakery Crafts Spiral Candles, 12ct. - Pink",3,$0.84 ,Candles,general,21466597545,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.28 ,,3,2,,8/20/2022 14:18,Ateco,FALSE,,,$0.84 
74748555-6089-4FF0-A0F1-4B96D7C95B68,"Bakery Crafts Spiral Candles, 12ct. - Red",3,$0.84 ,Candles,general,21466597552,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.28 ,,3,2,,11/30/2022 14:23,Ateco,FALSE,,,$0.84 
59D22D05-D1F3-4676-942F-92CF79AD7212,Bakery Crafts Sprinkle Number Candle - 0,0,$0.00 ,Candles,general,21466593004,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,2/6/2021 14:18,Ateco,FALSE,,,$0.00 
7C2F5ED4-ACE6-4313-B872-8B69AE91A5EF,Bakery Crafts Sprinkle Number Candle - 6,0,$0.00 ,Candles,general,21466593066,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,7/17/2021 11:38,Ateco,FALSE,,,$0.00 
2147E4FC-CF73-4911-A402-27825062B04F,"Bakery Crafts Striped Candles 3.5"", 12ct.",2,$2.26 ,Candles,general,21466002995,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.13 ,,2,2,6,12/13/2022 10:41,Ateco,FALSE,,,$2.26 
9E68A05B-4205-4B62-9B01-595A88330CA1,"Bakery Crarts Fiesta Spirit Glitter Candles, 16ct.",7,$6.72 ,Candles,general,6.08E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.96 ,,7,2,6,8/5/2022 10:20,Ateco,FALSE,,,$6.72 
F33E570E-F30E-45EE-A4D8-12EEE9F086D7,"Celebakes Number ""1"" Candle",0,$0.00 ,Candles,general,7.45E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,5/21/2021 15:52,Ateco,FALSE,,,$0.00 
D9A37A8C-9B58-40CB-B820-658754BE0559,Culpitt Birthday Candle Numeral Candle - Blue,0,$0.00 ,Candles,general,6.08E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,8/1/2020 11:41,Ateco,FALSE,,,$0.00 
B80D2CAF-ACAF-4A3D-8174-8FF24FC01EB9,Culpitt Birthday Candle Numeral Candle - Pink,0,$0.00 ,Candles,general,6.08E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,4/30/2021 14:43,Ateco,FALSE,,,$0.00 
FFAD9D21-5104-4758-A7DE-CA6EF32AE0FE,Culpitt Numeral Birthday Candle - 0,0,$0.00 ,Candles,general,6.08E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,11/26/2022 13:04,Ateco,FALSE,,,$0.00 
