Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
3636D9F3-B7BC-4D81-A6E6-5FF1B39758AC,"#3 Foil Candy Cup, 24ct.",21,$61.11 ,Candy Liners,Candy Cups,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.91 ,,21,1,1,12/16/2022 12:07,Linneas Inc dot com,FALSE,,,$61.11 
BF0FB073-5D0E-42C5-AF3D-363FECA59584,"#9 Candy Cup, 200ct.",10,$17.10 ,Candy Liners,Candy Cups,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.71 ,,10,2,1,12/16/2022 13:00,Linneas Inc dot com,FALSE,,,$17.10 
DF20BDAA-1DBE-4EF0-B65C-78B0CCEAC492,200 ct #105 Brown Candy Cup,8,$4.24 ,Candy Liners,Candy Cups,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$0.53 ,,8,3,20,12/7/2022 11:08,Webstaurant store,FALSE,,,$4.24 
25585382-B139-4B88-97AD-64E85DCE8D3D,200 ct #4 Brown Candy Cups,14,$11.20 ,Candy Liners,Candy Cups,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.80 ,,14,4,17,12/6/2022 16:51,not tracked,FALSE,,,$11.20 
2DFB0796-0F63-4795-99A3-145FCFF19F42,200 ct #5 Brown Candy Cups,8,$13.28 ,Candy Liners,Candy Cups,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.66 ,,8,4,15,12/6/2022 16:15,not tracked,FALSE,,,$13.28 
3AC79E59-1F0A-4B2F-A1E1-B72B1DF0D632,200 ct #6 Brown Candy Cups,6,$5.88 ,Candy Liners,Candy Cups,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.98 ,,6,4,15,12/9/2022 14:45,Amscan,FALSE,,,$5.88 
24628ED9-3137-43DC-A976-4B407906788C,"200 ct #8 Brown Cups (1.188"" x 1"")",50,$0.00 ,Candy Liners,Candy Cups,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,120,4,0,10/22/2022 14:24,not tracked,FALSE,,,$0.00 
6E0B119A-1209-4FF2-88B5-056DA67DCE26,200 ct. #5 White Candy Cups,6,$9.90 ,Candy Liners,Candy Cups,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.65 ,,6,2,15,12/15/2022 11:42,not tracked,FALSE,,,$9.90 
B81692D3-0590-40D0-8BB7-A42ED0FBC990,30 ct. #3 Fancy Candy Cup - Scalloped Sides - Blue,38,$0.00 ,Candy Liners,Candy Cups,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,38,0,,2/10/2022 11:28,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
6EEA4F88-6BD1-49E1-A412-DD3EFFE6CC4C,30 ct. #3 Fancy Candy Cup - Scalloped Sides - Brown,2,$0.00 ,Candy Liners,Candy Cups,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,,12/14/2022 16:42,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
018F2ACE-DE7D-4747-A166-FDBA7363394D,"40 ct 2"" x 0.75"" Square Domino Pastry Cup - Brown",11,$13.46 ,Candy Liners,Candy Cups,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.22 ,,11,2,,12/16/2022 13:00,Wilton (WiltonForBusiness dot com),FALSE,,,$13.46 
715A0D08-39CA-4745-863D-E5A055800876,"40 ct 2"" x 0.75"" Square Domino Pastry Cup - White",0,$0.00 ,Candy Liners,Candy Cups,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.28 ,,0,2,,7/29/2022 15:52,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
2A74155C-5C3C-4DBE-A2F9-E5717577EF69,Holly #6 Candy Cups 200ct,7,$11.41 ,Candy Liners,Candy Cups,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.63 ,,7,3,16,12/21/2022 15:11,Wilton (WiltonForBusiness dot com),FALSE,,,$11.41 
40295A8E-F9B9-494F-8795-B19A7BE61128,Star of David #601 Candy Cups 150ct,40,$0.00 ,Candy Liners,Candy Cups,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,40,5,0,12/12/2020 15:46,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
