Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
A4761E77-6237-492A-B4F8-B147CEC30BCE,"0.25lb. Stockings & Mittens Candy Box 4.56x3.56x1.25""",26,$15.34 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.59 ,,26,3,1,12/10/2022 15:34,not tracked,FALSE,,,$15.34 
6268CABA-F2A6-4F60-A286-A8534EE24DE1,0.5# 1pc. 2Layer Little Monsters Box,19,$7.22 ,Candy Boxes,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.38 ,,20,5,25,10/29/2021 16:05,not tracked,FALSE,,,$7.60 
EE5B638E-2FDF-4D08-A101-B3321B88CFF0,"0.5# 1pc. 2Layer Stars & Stripes Candy Box 5.5""x2.75""x1.75""",17,$6.46 ,Candy Boxes,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.38 ,,17,5,25,7/2/2021 16:58,Linneas Inc dot com,FALSE,,,$6.46 
5A47659E-3489-485F-83A6-6675A83AEDAB,"1/2lb. 1pc. Buffalo Plaid Candy Box 5.5x2.75x1.75""",0,$0.00 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.59 ,,0,2,1,12/13/2022 12:24,Fox Run,FALSE,,,$0.00 
1BBA1D73-627B-4F2A-BEC6-54B3F1ACB992,"1/2lb. 1pc. Stockings & Mittens Candy Box  5.5x2.75x1.75""",18,$10.62 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.59 ,,18,2,1,12/9/2022 14:16,Fox Run,FALSE,,,$10.62 
E3B68934-681E-46DC-B015-379A1917BC8B,1/2lb. Nutcracker Tote w/Window 3.5x2x5x5.375,15,$11.85 ,Candy Boxes,Christmas,,4.00E+11,$1.89 ,TRUE,TRUE,TRUE,$0.79 ,,13,3,1,12/16/2022 12:04,Fox Run,FALSE,,,$10.27 
8F24148D-7056-44E8-92AD-5A65FDA5DC2E,"1lb. 1pc. Buffalo Plaid Candy Box 7x3.3.75x2""",6,$4.02 ,Candy Boxes,Christmas,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.67 ,,6,2,1,12/22/2022 16:55,Fox Run,FALSE,,,$4.02 
657CFBC2-31B0-4709-BCF4-EC274E1B857F,"1lb. 1pc. Stockings &  Mittens Candy Box  7x3.375x2""",7,$5.11 ,Candy Boxes,Christmas,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.73 ,,7,2,1,12/21/2022 14:59,not tracked,FALSE,,,$5.11 
D293C539-8FDB-4337-A582-0DBB0860B21E,"2.5"" x 2x5"" x 1"" white box, 5 ct.",9,$0.00 ,Candy Boxes,general,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,9,4,0,,Webstaurant store,FALSE,,,$0.00 
3EA50777-674A-429E-B275-94FD5C335E95,"5.75"" x 5.75 x 1.125"" White Bottom Clear Lid 2-pc Box",64,$38.40 ,Candy Boxes,general,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.60 ,,64,5,50,12/20/2022 10:31,Fox Run,FALSE,,,$38.40 
ECD1BB7D-1A56-4840-968F-5AD095614433,5-pack Candy Box Pad 4.25” x 2.38” ,4,$1.60 ,Candy Boxes,Pads,,4.00E+11,$1.09 ,TRUE,TRUE,TRUE,$0.40 ,,4,1,10,12/11/2021 12:09,Fox Run,FALSE,,,$1.60 
7D19EC33-ECA4-4A1A-A35C-951A0A6B8827,5-pack Candy Pad 3.375” Square,5,$2.40 ,Candy Boxes,Pads,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.48 ,,5,1,5,11/5/2022 10:29,Fox Run,FALSE,,,$2.40 
19F7143E-3A1A-4757-AE99-FEDEA8F5597B,"7""x7"" Gold Cross Box Clear/Brwn - matches Choc Mold 90-7610",4,$7.24 ,Candy Boxes,general,,4.00E+11,$3.69 ,TRUE,TRUE,TRUE,$1.81 ,,4,1,4,,Fox Run,FALSE,,,$7.24 
87694D98-30EF-4049-A9DD-5051BC0ACB9E,Advent Calendar w/Insert,22,$20.46 ,Candy Boxes,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.93 ,,22,2,25,12/11/2021 13:41,Fox Run,FALSE,,,$20.46 
