Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
7BA2C9CE-B118-4E9B-B590-2EECAE01D877,Wilton Mickey Cookie Cutter Embosser,2,$4.12 ,Cookie Cutters,Characters,70896096708,4.00E+11,$4.69 ,TRUE,TRUE,TRUE,$2.06 ,,2,1,6,12/1/2022 13:51,The Bakers Kitchen- wholesale at thebakerskitchen dot net,FALSE,,,$4.12 
CF180350-7592-4079-A17B-86FECFF4075E,"Pixel Baking Cups, Std, 75ct.",23,$32.20 ,Cupcake Liners,Characters,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.40 ,,23,1,1,9/30/2022 16:00,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$32.20 
08FC2D2B-0182-47C6-9AC4-639297687BA6,"Batman Cupcake Rings, 6ct.",22,$15.40 ,Decorations,Characters,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.70 ,,22,2,1,7/6/2022 11:23,Life of the Party,FALSE,,,$15.40 
8677E9B6-B639-4F96-A459-7FFFE7383CF5,Batman to the Rescue Action DecoSet,2,$21.52 ,Decorations,Characters,,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$10.76 ,,2,1,2,,Choklit Molds dot com,FALSE,,,$21.52 
879C0547-527E-438F-897C-9604D269FAB9,"Cocomelon ""Playtime!"" Cupcake Rings, 6ct. ",,$0.00 ,Decorations,Characters,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.83 ,,1,2,1,11/8/2022 14:58,DecoPac,FALSE,,,$0.83 
825876F1-81BD-4F7F-831D-DF061EED9CCE,Doc McStuffins & Lambie DecoSet,,$0.00 ,Decorations,Characters,6.08E+11,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.82 ,,2,1,2,,DecoPac,FALSE,,,$11.64 
643E8137-E617-436D-A8AC-D417201AE614,Encanto Cake Kit,,$0.00 ,Decorations,Characters,,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.82 ,,1,1,4,12/17/2022 10:33,CK Products,FALSE,,,$5.82 
D6460D40-2E7C-4236-AAB3-6C60EFB89969,"Encanto Mirabel & Antonio Cupcake Rings, 6ct.",,$0.00 ,Decorations,Characters,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.93 ,,6,2,1,8/13/2022 10:07,CK Products,FALSE,,,$5.58 
152811FC-1BD3-4B06-AA2B-69CED73F189B,"Frozen 2 ""Mythical Journey"" Cake Topper",,$0.00 ,Decorations,Characters,6.08E+11,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.82 ,,1,1,1,11/12/2022 11:59,Concepts in Candy,FALSE,,,$5.82 
74DBB3E8-4662-4017-BC3D-AC73EBD59FB0,Lion King - Destiny Roars DecoSet,,$0.00 ,Decorations,Characters,6.08E+11,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.20 ,,2,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$10.40 
B1D39552-C8BB-473B-B6FB-8E2DC61DE9B9,Lion King- Circle of Life DecoSet,,$0.00 ,Decorations,Characters,6.08E+11,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.20 ,,2,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$10.40 
6304479B-B98B-494D-98BD-625FE0B5931B,"Lion King Cupcake Rings - Pride Rock, 6ct.",,$0.00 ,Decorations,Characters,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.70 ,,20,0,0,7/30/2022 13:08,Cookie Countess Wholesale dot com,FALSE,,,$14.00 
52C6882C-814C-4A28-9738-2F25A165CB16,Luca Disney Pixar DecoSet,,$0.00 ,Decorations,Characters,6.08E+11,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.20 ,,2,1,2,,Cookie Countess Wholesale dot com,FALSE,,,$10.40 
11DF6F29-1D93-4261-8B76-684D647228F7,Peppa Pig Swing Set DecoSet,,$0.00 ,Decorations,Characters,21466047637,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.82 ,,2,1,2,10/1/2022 14:48,Cookie Countess Wholesale dot com,FALSE,,,$11.64 
F5748234-3CBD-48C1-8A02-70FBE5693CD8,"Wilton Spiderman Picks, 24ct. ",,$0.00 ,Decorations,Characters,70896450722,4.00E+11,$2.69 ,TRUE,TRUE,TRUE,$1.26 ,,0,0,0,12/6/2022 12:20,not tracked,FALSE,,,$0.00 
6E387AE5-5234-4B54-A567-BD3D22196062,"Wilton Super Mario Cake Toppers, 24ct.",,$0.00 ,Decorations,Characters,70896978974,4.00E+11,$2.69 ,TRUE,TRUE,TRUE,$1.26 ,,3,1,6,3/16/2022 11:09,CK Products,FALSE,,,$3.78 
