Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
0AA9425B-AF61-480B-8D00-3EF48AAB9BD2,Ateco Chocolate Dipping Basket,1,$0.00 ,Chocolate,Tools,14963013731,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,4/9/2022 13:13,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
92BF93D3-9557-4099-9BE5-55343B57116A,"Ateco Dipping Fork, 2 prong",0,$0.00 ,Chocolate,Tools,14963013809,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.47 ,,0,1,3,12/7/2022 16:42,Linneas Inc dot com,FALSE,,,$0.00 
EE664D8B-D17C-437E-8748-1063CB6D112A,"Ateco Dipping Tool Set, 3pc.",2,$26.26 ,Chocolate,Tools,14963013786,4.00E+11,$22.99 ,TRUE,TRUE,TRUE,$13.13 ,,2,1,3,12/22/2022 11:54,Wilton (WiltonForBusiness dot com),FALSE,,,$26.26 
6EDC4255-C767-43A5-AA57-075F4FC8302E,Callebaut Callets - Dark 54.5%,32,$146.48 ,Chocolate,general,,4.00E+11,$10.99 ,TRUE,FALSE,TRUE,$4.58 ,,35,3,,12/21/2022 13:11,Wilton (WiltonForBusiness dot com),FALSE,,,$160.21 
24CAB77F-AB80-4BF2-99FA-EB7465E34FDA,Callebaut Callets - Milk,6,$33.18 ,Chocolate,general,,4.00E+11,$10.99 ,TRUE,FALSE,TRUE,$5.53 ,,6,3,,12/15/2022 13:11,Wilton (WiltonForBusiness dot com),FALSE,,,$33.18 
05CA12E6-E1A7-48AD-A3F8-6FD40E538509,Callebaut Callets - White,0,$0.00 ,Chocolate,general,,4.00E+11,$10.99 ,TRUE,FALSE,TRUE,$5.00 ,,1,2,,12/16/2022 16:09,Wilton (WiltonForBusiness dot com),FALSE,,,$5.00 
D54983C9-8B48-437B-9255-A17191DD6E46,Celebakes Candy Writer Baby Blue,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,0,12/12/2020 13:11,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
D554D21A-9381-489F-8C58-46EDB60D7724,Celebakes Candy Writer Bold Brown,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.03 ,,0,0,0,12/22/2020 12:46,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
E17D8835-0A19-47F2-8AFD-C06231E8AD08,Celebakes Candy Writer Booming Black,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.99 ,,0,0,0,10/26/2021 16:15,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
79726B30-D955-4611-8F01-346A64B3C5F2,Celebakes Candy Writer Bright White,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.08 ,,0,0,0,11/11/2021 13:55,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
32039548-CCDB-4842-A14E-0B8B1D55A937,Celebakes Candy Writer Bumblebee Yellow,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.07 ,,0,0,0,3/31/2021 15:20,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
2130C294-730B-40AC-AAD7-D1FA2CB376A9,Celebakes Candy Writer Garden Green,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.07 ,,0,0,0,12/18/2020 12:35,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
03960DDE-CADB-4B80-A232-03B8413AF7F0,Celebakes Candy Writer Leaf Green,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$1.06 ,,0,0,0,3/9/2022 12:29,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
048BDF3B-8C26-4CE3-A2DF-A1F3C65F115D,Celebakes Candy Writer Pastel Pink,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.71 ,,0,0,0,2/12/2021 12:45,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1E0CEC5D-CA66-41D9-BBA5-199207FA52B7,Celebakes Candy Writer Rowdy Red,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.01 ,,0,0,0,6/25/2021 15:39,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
BBE90BEA-68F0-4408-84FA-88CE55EF8829,Celebakes Candy Writer Shy Orange,0,$0.00 ,Chocolate,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.07 ,,0,0,0,3/31/2021 15:20,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
