Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
A4761E77-6237-492A-B4F8-B147CEC30BCE,"0.25lb. Stockings & Mittens Candy Box 4.56x3.56x1.25""",26,$15.34 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.59 ,,26,3,1,12/10/2022 15:34,not tracked,FALSE,,,$15.34 
5A47659E-3489-485F-83A6-6675A83AEDAB,"1/2lb. 1pc. Buffalo Plaid Candy Box 5.5x2.75x1.75""",0,$0.00 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.59 ,,0,2,1,12/13/2022 12:24,Fox Run,FALSE,,,$0.00 
1BBA1D73-627B-4F2A-BEC6-54B3F1ACB992,"1/2lb. 1pc. Stockings & Mittens Candy Box  5.5x2.75x1.75""",18,$10.62 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.59 ,,18,2,1,12/9/2022 14:16,Fox Run,FALSE,,,$10.62 
E3B68934-681E-46DC-B015-379A1917BC8B,1/2lb. Nutcracker Tote w/Window 3.5x2x5x5.375,15,$11.85 ,Candy Boxes,Christmas,,4.00E+11,$1.89 ,TRUE,TRUE,TRUE,$0.79 ,,13,3,1,12/16/2022 12:04,Fox Run,FALSE,,,$10.27 
8F24148D-7056-44E8-92AD-5A65FDA5DC2E,"1lb. 1pc. Buffalo Plaid Candy Box 7x3.3.75x2""",6,$4.02 ,Candy Boxes,Christmas,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.67 ,,6,2,1,12/22/2022 16:55,Fox Run,FALSE,,,$4.02 
657CFBC2-31B0-4709-BCF4-EC274E1B857F,"1lb. 1pc. Stockings &  Mittens Candy Box  7x3.375x2""",7,$5.11 ,Candy Boxes,Christmas,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.73 ,,7,2,1,12/21/2022 14:59,not tracked,FALSE,,,$5.11 
87694D98-30EF-4049-A9DD-5051BC0ACB9E,Advent Calendar w/Insert,22,$20.46 ,Candy Boxes,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.93 ,,22,2,25,12/11/2021 13:41,Fox Run,FALSE,,,$20.46 
9982CF06-2AFD-45EF-A321-31D33897C7FF,"Foil Christmas 2-pc Candy Box 3.5” Square - 1.125"" Deep",15,$14.25 ,Candy Boxes,Christmas,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.95 ,,13,3,,,Fox Run,FALSE,,,$12.35 
6884475F-84E6-4199-80F9-D53D0B9A69F9,"Foil Christmas 2-pc Candy Box 3.5” Square - 1.625"" Deep",11,$11.00 ,Candy Boxes,Christmas,,4.00E+11,$2.29 ,TRUE,TRUE,TRUE,$1.00 ,,11,3,,12/10/2022 13:45,Fox Run,FALSE,,,$11.00 
E3585EC4-8D69-4875-A82C-FD12D576A00C,Merry Christmas 0.5# 1-pc 2-Layer Candy Box 5.5” x 2.75” x 1.75” 83-950X,24,$10.08 ,Candy Boxes,Christmas,,4.00E+11,$1.09 ,TRUE,TRUE,TRUE,$0.42 ,,24,5,25,12/16/2022 12:07,Fox Run,FALSE,,,$10.08 
E785BD7F-6333-4175-962E-3223DCC42426,Merry Christmas 1# 1-pc 2-Layer Candy Box 7” x 3.38” x 1.88” 83-951X,43,$23.22 ,Candy Boxes,Christmas,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.54 ,,43,5,25,12/16/2022 16:55,Fox Run,FALSE,,,$23.22 
2ADB134B-5352-4381-96B3-BF0B29B6EA2C,Ornaments 0.5# 1-pc 2-layer Candy Box 5.5” x 2.75” x 1.75” 50-1080OS,9,$4.86 ,Candy Boxes,Christmas,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.54 ,,9,3,25,12/21/2022 15:11,Fox Run,FALSE,,,$4.86 
6EC33C72-C700-4471-A529-F2572996B553,Ornaments 1# 1-pc 2-Layer Candy Box 7” x 3.38” x 2” 50-1110OS,5,$2.40 ,Candy Boxes,Christmas,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.48 ,,5,3,25,12/22/2022 10:26,Fox Run,FALSE,,,$2.40 
90E1FCAF-852C-474E-96F8-947C95C67BE5,"Ribbon & Holly Rectangular 0.25# Box 4.5"" x 2.31"" x 1.13""",24,$0.00 ,Candy Boxes,Christmas,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,22,3,25,12/15/2022 11:42,not tracked,FALSE,,,$0.00 
896F777A-E2EC-4560-9FDC-92EC91D50E3F,"2 5/8"" Nutcracker Choc Mold 90-4023",,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.81 ,,1,1,3,12/8/2022 13:29,Wilton (WiltonForBusiness dot com),FALSE,,,$0.81 
2C11F4DF-4D2D-4C55-BE97-5B8AD217B074,"3D 4"" Santa Choc Mold 90-4303",,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.81 ,,4,1,3,12/15/2020 12:56,Wilton (WiltonForBusiness dot com),FALSE,,,$3.24 
FF1E9BDE-FBE6-4FE6-8267-C12695665CC0,"3D 4"" Toy Soldier Choc Mold 90-4306",,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,0,0,12/14/2021 12:19,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
CBFC2EC0-B2DD-4749-96B8-1322380B53A6,3D Christmas Tree Choc Mold C168,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,11/28/2020 12:54,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
5BD03CEF-7FD0-4243-B4B8-FD40A25485F7,3D Christmas Tree Choc Mold LOTP C29,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,1,3,12/16/2021 16:21,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
BCD45C60-6D67-4327-9D67-278C1F4C6808,3D Medium Christmas Tree Choc Mold ILA 2030-R,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,11/20/2020 12:26,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
17BC7AD5-2F45-4EA6-B2DC-F51EA45EFD01,Angel Sucker Choc Mold CML 2056,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,12/3/2022 15:11,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
A806659E-1C0C-40F9-8B0D-82ACBECC1806,"Christmas Assortment 3/4"" Choc Mold 90-4142",,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.82 ,,1,1,3,12/15/2022 16:20,Wilton (WiltonForBusiness dot com),FALSE,,,$0.82 
B573E7B9-3305-417A-9FD7-A7760B79C7AC,Christmas Asst Choc Mold 90-4107,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.25 ,,5,1,3,12/20/2022 14:29,Wilton (WiltonForBusiness dot com),FALSE,,,$6.25 
20FE618F-560A-4876-BB5B-219C6B8B4A12,Christmas Asst Choc Mold CML 2024,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.79 ,,0,0,0,11/17/2022 14:06,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
810DC365-4628-464D-8C08-00ABF7793F96,Christmas Asst. Choc Mold CML 2011,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.79 ,,0,0,0,11/1/2022 13:23,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
08CA721D-511D-40F2-9CFC-279C3FC3E8C9,Christmas Cake Layon Choc Mold 90-4635,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
955525E1-820A-4242-B471-7B802ADEBAEC,Christmas Lantern Choc Mold 6055,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,3/29/2022 13:03,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
91F80DB8-E4F5-4364-95B3-E95692177D1E,Christmas Light Choc Mold CML 2129,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,6,2,4,12/16/2022 11:20,not tracked,FALSE,,,$5.82 
98FF2DEE-578D-4E79-9469-7C6B64D5B5A6,Christmas Ornament Oreo Choc Mold CML 1681,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.79 ,,8,2,4,12/8/2022 13:00,Wilton (WiltonForBusiness dot com),FALSE,,,$6.32 
E8436662-0779-4B4D-A6F0-923E54248E32,Christmas Ornaments Choc Mold CML 2092,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,0,1,1,12/3/2022 15:49,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1348EB41-3777-49D3-AD91-4642F591B1F7,Christmas Star Lollipop Choc Mold CML 2085,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,0,0,12/10/2021 12:06,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
FC8CEECE-1852-4B6B-BF50-C11B54DF0A58,Christmas Tree Assembly Choc Mold CML 2018,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,4,1,4,12/16/2021 16:21,Wilton (WiltonForBusiness dot com),FALSE,,,$3.88 
AB2DD180-BFE6-4948-8EAF-DBFB24051EE9,Christmas Tree Lollipop Choc Mold CML 2073,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,3,1,4,12/3/2022 15:11,Wilton (WiltonForBusiness dot com),FALSE,,,$2.91 
CE61948F-EEAD-4932-A9D3-23E6C68462FD,Christmas Tree Oreo Choc Mold CML 1675,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,0,1,4,12/8/2022 13:00,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
B3DA08E8-7730-4E05-9189-3056A5B1523C,Christmas Tree Oreo Mold CML 1607,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,4,1,3,12/9/2021 10:50,Wilton (WiltonForBusiness dot com),FALSE,,,$3.88 
D04F7530-8881-4B65-A42F-CA7C8F587589,CK Mini Poinsettia Choc Mold 90-4028,,$0.00 ,Chocolate Molds,Christmas,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.08 ,,2,2,3,12/1/2022 10:12,Wilton (WiltonForBusiness dot com),FALSE,,,$2.16 
