Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
46D2C860-1887-4B47-BBC1-E9C14E687F70,"Ann Clark Bow Tie Cookie Cutter 4""x2""",4,$3.32 ,Cookie Cutters,Clothing and Accessories,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.83 ,,4,1,12,7/9/2022 15:04,Webstaurant store,FALSE,,,$3.32 
F9F17A5C-99CB-41FC-8DE2-7536BDF34160,"Ann Clark CorsetBathing Suit Cookie Cutter 4"" 7824A",12,$11.88 ,Cookie Cutters,Clothing and Accessories,8.71E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,12,2,1,,R&M International - MoreThanBaking dot com,FALSE,,,$11.88 
8CFE5BC5-3699-4AF5-A6AC-A182790564C9,"Ann Clark Lipstick Cookie Cutter 4""x2""",7,$6.58 ,Cookie Cutters,Clothing and Accessories,8.18E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.94 ,,7,1,12,5/31/2022 11:13,PME,FALSE,,,$6.58 
29C0020A-6B50-4C08-BF66-B9FF78E0184D,"Ann Clark Sombrero Cookie Cutter 4.25""x2.5""",2,$2.16 ,Cookie Cutters,Clothing and Accessories,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.08 ,,2,2,12,12/16/2022 12:45,Sweet Stamp,FALSE,,,$2.16 
BFEEBE5B-283E-4D4E-A257-3873636500B1,"Ann Clark Sweater Cookie Cutter 4""x3""",9,$8.46 ,Cookie Cutters,Clothing and Accessories,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.94 ,,4,2,12,12/13/2022 14:06,Sweet Stamp,FALSE,,,$3.76 
3BBAFFC6-B93E-4E66-92C6-998F6B16E1CA,"Ann Clark T Shirt Cookie Cutter 4 3/8""",7,$7.98 ,Cookie Cutters,Clothing and Accessories,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.14 ,,7,2,12,11/25/2022 14:39,Sweet Stamp,FALSE,,,$7.98 
ECBB555C-3164-4210-A0BF-767A0A7798BE,"Ann Clark Tie Cookie Cutter 2.25""x5""",2,$1.94 ,Cookie Cutters,Clothing and Accessories,8.18E+12,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.97 ,,7,2,12,8/9/2022 11:53,CK Products,FALSE,,,$6.79 
CC04246B-1CCE-4099-82C0-B19612C1A878,"Ann Clark Wedding Gown Cookie Cutter 4"" 8132A",1,$0.97 ,Cookie Cutters,Clothing and Accessories,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,2,2,12,12/15/2022 12:16,DecoPac,FALSE,,,$1.94 
CC40ECCF-81A9-4EC9-9FA8-1156754089BB,"Crown Cookie Cutter 5"" 1062",24,$23.52 ,Cookie Cutters,Clothing and Accessories,71581010627,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.98 ,,24,2,1,,CK Products,FALSE,,,$23.52 
A89252A1-D06C-4887-B966-696054094D77,"Crown Coronation Cookie Cutter 3.5""x2.5"" B0923",6,$6.06 ,Cookie Cutters,Clothing and Accessories,71581009232,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.01 ,,6,2,12,12/7/2022 12:46,CK Products,FALSE,,,$6.06 
