Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
b0c40c27-3bd8-4f2f-ac90-0445b8adc839,"Americolor Soft Gel Paste Food Color - Bright White, 20oz.",11,$106.70 ,Ingredients,Colors,6.80E+11,4.00E+11,$19.99 ,TRUE,FALSE,TRUE,$9.70 ,,11,3,12,12/9/2022 16:20,not tracked,FALSE,,,$106.70 
ba44a6f3-b137-4110-97ab-832f2787d99b,Americolor Soft Gel Paste Food Color 4.5oz. - Regal Purple 230,5,$19.15 ,Ingredients,Colors,6.80E+11,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.83 ,,4,1,,10/22/2022 13:43,not tracked,FALSE,,,$15.32 
e417bceb-f6ce-4de1-a80e-2c5ed8239c1f,Americolor SoftGel Paste 0.75oz. - Apricot,8,$10.72 ,Ingredients,Colors,6.80E+11,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.34 ,,8,0,,12/10/2022 11:20,not tracked,FALSE,,,$10.72 
fe967675-d5df-4046-851c-1702b688bee4,Americolor SoftGel Paste 0.75oz. - Ash,3,$6.63 ,Ingredients,Colors,6.80E+11,4.00E+11,$4.69 ,TRUE,FALSE,TRUE,$2.21 ,,3,0,,11/2/2022 17:04,not tracked,FALSE,,,$6.63 
0fab5fce-2714-49b0-9ee9-da750b888b5e,Americolor SoftGel Paste 0.75oz. - Blush,9,$19.89 ,Ingredients,Colors,6.80E+11,4.00E+11,$4.69 ,TRUE,FALSE,TRUE,$2.21 ,,10,4,,12/16/2022 14:30,DecoPac,FALSE,,,$22.10 
b73b0d7a-9c7c-40cb-a904-a88e7e590021,Americolor SoftGel Paste 0.75oz. - Bright White,9,$20.61 ,Ingredients,Colors,6.80E+11,4.00E+11,$4.69 ,TRUE,FALSE,TRUE,$2.29 ,,10,4,,12/20/2022 11:31,DecoPac,FALSE,,,$22.90 
8956f83c-30f2-4ec7-8df7-191d73b642fd,Americolor SoftGel Paste 0.75oz. - Burgundy,10,$13.36 ,Ingredients,Colors,6.80E+11,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.34 ,,11,4,,11/17/2022 16:01,DecoPac,FALSE,,,$14.69 
2538e49d-a318-4070-913e-5da49d224671,Americolor SoftGel Paste 0.75oz. - Champagne,6,$13.64 ,Ingredients,Colors,6.80E+11,4.00E+11,$4.69 ,TRUE,FALSE,TRUE,$2.27 ,,7,4,,12/15/2022 15:51,DecoPac,FALSE,,,$15.92 
0020f4dc-0a74-4234-9b8e-8d7f2a14ffab,Americolor SoftGel Paste 0.75oz. - Chartreuse,8,$11.52 ,Ingredients,Colors,6.80E+11,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.44 ,,9,2,,10/22/2022 13:43,CK Products,FALSE,,,$12.96 
c5cda6b8-e166-4c3f-a7e7-9de042877cc5,Americolor SoftGel Paste 0.75oz. - Chocolate Brown,5,$7.45 ,Ingredients,Colors,6.80E+11,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.49 ,,6,4,,12/20/2022 10:50,CK Products,FALSE,,,$8.94 
