Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
3d809ba9-49c3-4dd0-b01b-b9c09df90186,"Cookie Countess Clear Cookie Cube - 5x5x4.5""",,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.50 ,,4,1,,12/16/2022 11:46,Wholesale Sugar Flowers dot com,FALSE,,,$6.00 
c67e514c-ff4e-46b0-a18b-8cdcc9ac80b5,"Cookie Countess Clear Cookie Cube - 5x5x4.5"" 5pk",,$0.00 ,Packaging,Cookie Boxes,8.40E+11,4.00E+11,$15.49 ,TRUE,TRUE,TRUE,$7.50 ,,3,1,,,Wholesale Sugar Flowers dot com,FALSE,,,$22.50 
7bfd51c3-c49b-4345-97a2-04779f194b55,"Cookie Countess Clear Cookie Cube - XL 9x5x4.5""",,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.87 ,,4,1,,12/22/2022 14:27,Wholesale Sugar Flowers dot com,FALSE,,,$7.48 
785a9164-7920-42cb-b31d-21a22bdd8b2e,"Cookie Countess Clear Cookie Cube - XL 9x5x4.5"" 5pk",,$0.00 ,Packaging,Cookie Boxes,8.40E+11,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$9.38 ,,2,1,,,Wholesale Sugar Flowers dot com,FALSE,,,$18.76 
66221482-f871-4fd0-94a0-4fa1cbcf25b4,"Cookie Countess Single Cookie Presentation Box 4.75""x4.75""x1.5""",,$0.00 ,Packaging,Cookie Boxes,8.40E+11,4.00E+11,$5.29 ,TRUE,TRUE,TRUE,$2.58 ,,1,1,1,12/8/2022 14:50,Wholesale Sugar Flowers dot com,FALSE,,,$2.58 
38987a4e-b57d-4580-b673-f124f10751b9,Cookie Countess Wood Cookie Box - 4.85” x 4.85” x 2.25”,,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.63 ,,1,0,,12/20/2022 15:06,Wholesale Sugar Flowers dot com,FALSE,,,$0.63 
349aa767-3070-4282-8cbb-f42277a23c00,Cookie Countess Wood Cookie Box - 6.5” x 3.25” x 2.25”,,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.43 ,,0,0,,11/3/2021 17:09,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
34998ebb-24b3-42b6-8823-971ce3a58d9c,Cookie Countess Wood Cookie Box - 6.5” x 4.75” x 1.5”,,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.63 ,,0,0,,10/29/2022 16:02,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
b08e88dd-caa3-45a7-90cc-c9653aef2ee4,"Cookie Countess Wood Cookie Box - 8"" x 2.75"" x 1.5""",,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.50 ,,0,0,,11/5/2022 12:20,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
52537236-3034-4cf6-86d7-f546f408f56c,"Cookie Countess Wood Cookie Boxes, 5ct. - Box B 8""x2.75""x1.5""",,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.49 ,,5,1,,,Wholesale Sugar Flowers dot com,FALSE,,,$12.45 
7bde897d-a313-46b5-b27c-5f35c02cf287,"Cookie Countess Wood Cookie Boxes, 5ct. - Box C 4.85""x4.85""x2.25""",,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.10 ,,6,1,,12/16/2022 17:09,Wholesale Sugar Flowers dot com,FALSE,,,$18.58 
cae6153a-1764-42eb-9579-a6a7c2394136,"Cookie Countess Wood Cookie Boxes, 5ct. - Box D 6.5""x4.75""x1.5""",,$0.00 ,Packaging,Cookie Boxes,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.19 ,,4,1,,,Wholesale Sugar Flowers dot com,FALSE,,,$12.76 
