Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
0CA9289E-A409-4392-BDDE-ECD81869CA1C,"""Baby"" Cookie Cutter & Stencil Set",0,$0.00 ,Cookie Cutters,Baby,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.00 ,,0,1,6,11/8/2022 10:46,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
CD8C6AEC-FA4C-4CBC-A997-C3FEA3AF365E,"""Love"" Cookie Cutter Stencil Set",6,$42.00 ,Cookie Cutters,general,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.00 ,,6,1,6,,Cookie Cutters dot Com,FALSE,,,$42.00 
2187DAB3-76B5-4271-9FC8-54C3BD00F141,"2"" Round Circle Cutter",4,$2.64 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.66 ,,4,3,12,10/28/2022 13:03,R&M International - MoreThanBaking dot com,FALSE,,,$2.64 
50045F64-80C6-4659-96C3-0BAC0ED4EC07,"2.5"" Round Circle Cookie Cutter",24,$12.00 ,Cookie Cutters,Shapes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.50 ,,24,2,1,12/16/2022 11:15,Cookie Cutters dot Com,FALSE,,,$12.00 
81AF761F-1EEA-46F4-A71D-817621F8DD4C,"4"" Round Circle Cutter",3,$2.04 ,Cookie Cutters,Shapes,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.68 ,,9,2,12,12/20/2022 15:34,R&M International - MoreThanBaking dot com,FALSE,,,$6.12 
B669575E-EAC8-4B97-9244-B7CAEB106212,"4Leaf Clover/Dogwood 2.75""",9,$4.05 ,Cookie Cutters,general,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.45 ,,9,2,6,7/19/2022 12:31,not tracked,FALSE,,,$4.05 
F42340A6-A76E-45F0-B61B-390EC7FCA35B,"6 Point Star Cookie Cutter 3""",3,$1.08 ,Cookie Cutters,general,30734033685,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.36 ,,3,2,12,12/16/2022 12:45,not tracked,FALSE,,,$1.08 
51658259-7CE3-449D-B60A-785E5F808601,"6 Point Star Cutter 3""",4,$2.08 ,Cookie Cutters,general,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.52 ,,4,0,0,12/15/2022 13:02,not tracked,FALSE,,,$2.08 
0626ECD8-7ABF-46A6-98BF-9152951ED833,"Acorn Cookie Cutter, small, painted brown 2.75” x 1.75”",0,$0.00 ,Cookie Cutters,general,71581712415,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.71 ,,6,1,0,10/22/2021 16:40,not tracked,FALSE,,,$4.26 
B69E2621-124C-4F18-B0D6-4F9321FF1726,"Airplane Cookie Cutter 4""",1,$0.52 ,Cookie Cutters,general,71581013703,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.52 ,,1,2,12,9/8/2022 14:17,not tracked,FALSE,,,$0.52 
