Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
96015743-edb1-4683-a53f-cc7d1ee7e9a2,Fat Daddio’s Pro Series 14x17 Alum Cookie Sheet,,$0.00 ,Pans,Cookie Sheets,8.12E+11,4.00E+11,$29.99 ,TRUE,TRUE,TRUE,$15.05 ,,3,1,0,12/21/2022 12:43,DecoPac,FALSE,,,$45.15 
b3e1d674-2b4a-48a6-86fb-1d17f46429c5,Fat Daddio’s Pro Series 15x20 Alum Cookie Sheet,,$0.00 ,Pans,Cookie Sheets,8.12E+11,4.00E+11,$25.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,1,0,,Linneas Inc dot com,FALSE,,,$0.00 
6b307841-a115-4734-827d-670005c23e06,Magic Line 12x15 Alum Cookie Sheet,,$0.00 ,Pans,Cookie Sheets,,4.00E+11,$15.99 ,TRUE,TRUE,TRUE,$0.00 ,,6,1,0,4/9/2021 17:09,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
dc211c9f-3f18-4859-b5b6-728258d729b4,Magic Line 12x18 Alum Cookie Sheet,,$0.00 ,Pans,Cookie Sheets,,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,1,0,1/21/2021 12:56,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
df607785-6908-4757-8e8b-9c432f96c83b,Magic Line 15x18 Alum Cookie Sheet,,$0.00 ,Pans,Cookie Sheets,,4.00E+11,$25.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,10/28/2022 16:04,Linneas Inc dot com,FALSE,,,$0.00 
a1c3793c-26d4-48b1-817a-1d4aba4220c6,Wilton Chef’s Advantage 10x15 Non-Stick Cookie Sheet,0,$0.00 ,Pans,Cookie Sheets,70896070012,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,8/10/2022 16:03,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$0.00 
276498d8-b833-44b9-9b1b-aaf5132c10ab,"Wilton Non-stick Insulated Cookie Sheet 13"" x 17""",,$0.00 ,Pans,Cookie Sheets,70896336460,4.00E+11,$15.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,5/15/2021 15:31,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$0.00 
1c5bd3b5-84e3-4890-9953-5d65f1fe6fc4,Wilton Recipe Right Non-Stick Large Cookie/Jelly Roll Pan,,$0.00 ,Pans,Cookie Sheets,70896590800,4.00E+11,$16.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,12/19/2020 12:48,Colour Mill dot com dot au,FALSE,,,$0.00 
962fdfa6-f659-408b-84cb-208218b9c2c1,Wilton Recipe Right Non-Stick Medium Cookie Sheet,,$0.00 ,Pans,Cookie Sheets,70896590671,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/24/2020 15:28,Colour Mill dot com dot au,FALSE,,,$0.00 
6b07ec80-d8fa-4597-842a-fee28397a837,Wilton Recipe Right Non-Stick Medium Cookie/Jelly Roll Pan,,$0.00 ,Pans,Cookie Sheets,70896590794,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,12/18/2020 16:55,Colour Mill dot com dot au,FALSE,,,$0.00 
da372e70-2786-4940-aa11-13a4f7a54a66,"Wilton XLX 10""x15"" Non-Stick Cookie Pan",,$0.00 ,Pans,Cookie Sheets,70896567031,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,2/27/2021 12:27,Colour Mill dot com dot au,FALSE,,,$0.00 
