Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
445A0ACC-B567-4F63-9946-5D5518CF95B2,"#5A Gold Foil Cup 1.25""diam.x0.75"" tall, approx 40ct.",8,$10.00 ,Cupcake Liners,general,,4.00E+11,$2.69 ,TRUE,TRUE,TRUE,$1.25 ,,8,2,11,12/22/2022 13:10,DecoPac,FALSE,,,$10.00 
67560222-0EDF-4633-8277-52AD0DB8D2F5,24-ct Gourmet Lotus Baking Cups 1.13” x 2.13”,0,$0.00 ,Cupcake Liners,general,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,144,5,0,1/19/2021 16:53,not tracked,FALSE,,,$0.00 
B4570D1D-909D-4DA5-A5F2-4CE87A01CA2F,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Black,9,$9.65 ,Cupcake Liners,general,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.07 ,,9,2,,11/23/2022 10:33,Cookie Cutter dot Com Off the beaten path,FALSE,,,$9.65 
DCF93A82-B3B0-48E8-9621-F111A92B38A8,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Blue,9,$8.26 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.92 ,,9,2,,11/19/2022 12:08,CK Products,FALSE,,,$8.26 
42435319-9DBD-4CAB-8F7E-0EB24761F1BE,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Fuchsia,0,$0.00 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,12/19/2020 14:21,CK Products,FALSE,,,$0.00 
D8C0F297-B361-40E0-9409-5CF4FC2980F3,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Green,0,$0.00 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.73 ,,0,0,,6/28/2022 15:08,not tracked,FALSE,,,$0.00 
FC48371F-B6F1-4B2F-9591-5FAD14D5F344,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Green/Teal,8,$6.32 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.79 ,,8,2,,12/14/2022 14:22,CK Products,FALSE,,,$6.32 
CD0DD31D-4959-4241-861B-86D79F1672F9,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Hot Pink,7,$7.66 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.09 ,,7,2,,12/9/2022 14:35,CK Products,FALSE,,,$7.66 
CD478410-81C9-4D22-AFF0-01C6D0DB4A1F,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Light Blue,9,$9.72 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.08 ,,9,2,,10/15/2022 12:58,CK Products,FALSE,,,$9.72 
F7BC27C0-4BB9-4C4C-AE9D-ACA2520133CE,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Lime Green,8,$7.68 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.96 ,,8,2,,6/4/2022 15:30,CK Products,FALSE,,,$7.68 
EC47A48D-E7FC-4A23-8A26-0B4DA27713BF,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Orange,9,$8.81 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.98 ,,9,2,,11/19/2022 12:08,CK Products,FALSE,,,$8.81 
B5D3E5F8-9B57-4259-B347-CF7DDAF7AB01,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Purple,4,$3.55 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.89 ,,4,2,,11/17/2022 14:48,CK Products,FALSE,,,$3.55 
FDA05EA5-6F9F-46BC-B663-E30F25DE0AD3,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Red,5,$4.75 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.95 ,,5,2,,12/14/2022 14:22,CK Products,FALSE,,,$4.75 
A285CC27-D9F4-47A8-92F1-F8CF6AA06E75,Approx 50-ct Mini Cupcake Liners 1.25” x 0.75” - Teal,1,$0.65 ,Cupcake Liners,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.65 ,,1,0,,12/9/2022 14:35,CK Products,FALSE,,,$0.65 
8D233097-98F9-4644-9A33-0774F0B7B744,"Bats Cupcake Wraps, 12ct.",3,$13.50 ,Cupcake Liners,Wraps,30734071724,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.50 ,,3,0,0,,CK Products,FALSE,,,$13.50 
