Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
de88e2ee-45f8-480b-b57d-79ae9f753c5b,Cupcake Bouquet Cake Box,,$0.00 ,Packaging,Cupcake holders,,4.00E+11,$15.99 ,TRUE,TRUE,TRUE,$6.54 ,,22,2,1,5/6/2022 15:08,Wholesale Sugar Flowers dot com,FALSE,,,$143.88 
3347387c-6027-4f08-8fb4-d8337061d970,"Cupcake Holder, Jumbo, clear - 4 ct.",22,$5.72 ,Packaging,Cupcake holders,,4.00E+11,$1.09 ,TRUE,TRUE,TRUE,$0.26 ,,197,15,,12/8/2022 16:45,R&M International - MoreThanBaking dot com,FALSE,,,$51.22 
59c9cf51-f99a-4e71-97a3-7d57bb2d9e6b,"Cupcake Holder, Jumbo, clear - 6 ct.",260,$122.41 ,Packaging,Cupcake holders,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.47 ,,260,25,,12/23/2022 13:49,R&M International - MoreThanBaking dot com,FALSE,,,$122.41 
a189edf6-235e-49bd-a4a2-c48aa5f545d0,"Cupcake Holder, Jumbo, clear - Single",303,$133.02 ,Packaging,Cupcake holders,,4.00E+11,$0.70 ,TRUE,TRUE,TRUE,$0.44 ,,288,25,,12/3/2022 13:54,R&M International - MoreThanBaking dot com,FALSE,,,$126.44 
4daf0ef2-6f8a-4f59-a6c9-e59c98fdd5e8,"Cupcake Holder, Mini, clear - 12 ct.",174,$38.16 ,Packaging,Cupcake holders,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.22 ,,185,25,,12/20/2022 10:55,Wholesale Sugar Flowers dot com,FALSE,,,$40.58 
e2f0347a-12e2-4037-94ef-0cfe61fb2a45,"Cupcake Holder, Mini, clear - 24 ct.",20,$21.60 ,Packaging,Cupcake holders,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.08 ,,31,25,,12/20/2022 15:22,Wholesale Sugar Flowers dot com,FALSE,,,$33.48 
952405d7-6134-4469-bbc6-73b324c1fce0,"Cupcake holder, Standard, clear - 12 ct.",84,$55.48 ,Packaging,Cupcake holders,,4.00E+11,$1.79 ,TRUE,TRUE,TRUE,$0.66 ,,103,75,,12/22/2022 12:13,Wholesale Sugar Flowers dot com,FALSE,,,$68.03 
74aec352-ee87-4bdb-a7dd-a7cd8e849443,"Cupcake holder, Standard, clear - 24 ct. (2 piece)",0,$0.00 ,Packaging,Cupcake holders,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.69 ,,0,0,,9/23/2021 10:19,DecoPac,FALSE,,,$0.00 
1259e41a-0aae-4460-8888-a90a7552606c,"Cupcake holder, Standard, clear - 24ct. (Hinged)",50,$64.50 ,Packaging,Cupcake holders,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.29 ,,56,40,,12/20/2022 15:32,DecoPac,FALSE,,,$72.24 
c7666d1d-4083-4483-b41f-b11e9993f82f,"Cupcake holder, Standard, clear - 4ct.",59,$10.43 ,Packaging,Cupcake holders,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.18 ,,41,15,,12/20/2022 10:55,DecoPac,FALSE,,,$7.25 
4f9e5b82-7eac-43ff-a6f7-fa318065945c,"Cupcake holder, Standard, clear - 6 ct.",91,$22.85 ,Packaging,Cupcake holders,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.25 ,,76,25,,12/23/2022 15:44,DecoPac,FALSE,,,$19.08 
24d498f9-3c08-4b54-8320-2316bb7c7663,"Cupcake holder, Standard, clear - Double",391,$82.11 ,Packaging,Cupcake holders,,4.00E+11,$0.65 ,TRUE,TRUE,TRUE,$0.21 ,,423,25,,12/23/2022 12:01,Wholesale Sugar Flowers dot com,FALSE,,,$88.83 
4234e4ce-6e31-4a95-b06b-7909e5b42525,"Cupcake holder, Standard, clear - Single",342,$112.71 ,Packaging,Cupcake holders,,4.00E+11,$0.65 ,TRUE,TRUE,TRUE,$0.33 ,,274,50,,12/23/2022 15:44,Wholesale Sugar Flowers dot com,FALSE,,,$90.30 
d99e609e-a045-436f-b9e3-1bda951e4ac0,"Wilton Iridescent Cupcake Boxes, 3x6.25x6.25"", 3ct.",,$0.00 ,Packaging,Cupcake holders,70896035998,4.00E+11,$7.49 ,TRUE,TRUE,TRUE,$3.70 ,,2,1,3,12/14/2021 13:35,Webstaurant store,FALSE,,,$7.40 
