Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
E0F72217-1665-4CB1-BE1F-140677E6DFA3,"1""W Nylon Pastry Brush",4,$7.92 ,Decorating Tools,general,7.89E+11,4.00E+11,$4.29 ,TRUE,TRUE,TRUE,$1.98 ,,4,2,6,12/15/2022 11:48,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$7.92 
0FB82450-DE04-451E-B155-8C3E50D8F3D5,"10"" Plastic Scraper/Spatula",0,$0.00 ,Decorating Tools,Spatulas,7.89E+11,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.55 ,,0,0,0,,Choklit Molds dot com,FALSE,,,$0.00 
A47ECE8C-7F6A-4DB2-B4B3-086F515AA67A,"15"" Angled Spatula w/Wood Handle",0,$0.00 ,Decorating Tools,general,,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$4.56 ,,0,0,0,5/15/2021 12:00,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
C462DD15-72CC-472C-92E6-1776FC27D432,Americolor Gourmet Writer Decorating Pens,0,$0.00 ,Decorating Tools,general,6.80E+11,4.00E+11,$22.99 ,TRUE,TRUE,TRUE,$10.64 ,,0,1,10,9/17/2022 14:04,Amazon,FALSE,,,$0.00 
B24E0C80-04CF-447D-B72D-89CAACC860F9,"Angled Spatula - 12 1/2""",1,$3.84 ,Decorating Tools,general,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.84 ,,2,2,,12/22/2022 11:06,Linneas Inc dot com,FALSE,,,$7.68 
D1B16EC6-246A-4BB8-B4DA-083B0E8F3F0C,"Angled Spatula - 15""",4,$19.74 ,Decorating Tools,general,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.93 ,,4,2,,12/22/2022 16:48,Linneas Inc dot com,FALSE,,,$19.74 
A010296F-A33F-429C-9EFD-2AAE10093A44,"Angled Spatula - 8""",5,$15.40 ,Decorating Tools,general,,4.00E+11,$5.49 ,TRUE,TRUE,TRUE,$3.08 ,,5,4,,12/22/2022 16:57,Wholesale Sugar Flowers dot com,FALSE,,,$15.40 
098E96EC-5A53-41C0-99F1-FAC8154C05FD,Ateco 4oz. Stainless Steel Shaker,2,$8.02 ,Decorating Tools,general,14963013472,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$4.01 ,,2,1,2,12/21/2022 14:33,DecoPac,FALSE,,,$8.02 
87FAFD41-D9CF-450F-8B30-38A40B4C8319,"Ateco 5"" Lattice Dough Cutter",0,$0.00 ,Decorating Tools,general,,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.99 ,,2,1,1,,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$11.98 
11350A67-DFDE-488F-8D0C-2C60BF065E9B,"Ateco 608 11"" Revolving Plastic Cake Stand w/Non-Slip Base",1,$12.59 ,Decorating Tools,general,14963006085,4.00E+11,$25.99 ,TRUE,TRUE,TRUE,$12.59 ,,1,1,3,12/7/2022 13:52,Modele Derose (made in France) ,FALSE,,,$12.59 
57C719FA-ED1A-42FC-AAB5-5360D1B64B03,"Ateco 610 12"" Revolving Plastic Cake Stand",1,$17.97 ,Decorating Tools,general,14963006108,4.00E+11,$36.99 ,TRUE,TRUE,TRUE,$17.97 ,,1,1,2,12/21/2022 15:25,Linneas Inc dot com,FALSE,,,$17.97 
