Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
90a32fd6-2c5d-476a-8bb7-158cc9bb090c,Wilton Easter baking cups 75ct - green/white with bunny & squirrel,2,$0.00 ,Seasonal,Easter,70896446442,4.00E+11,$2.09 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,2/25/2022 11:43,Sweet Stamp,FALSE,,,$0.00 
1a67bfc7-fda5-4b00-9fc3-dad66577825d,Wilton Easter baking cups 75ct. - bright pink bunny & eggs,,$0.00 ,Seasonal,Easter,70896006868,4.00E+11,$2.19 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,4/16/2022 12:07,Sweet Stamp,FALSE,,,$0.00 
10538756-d36a-4830-9ba0-f94d4e57a1ab,Wilton Easter baking cups 75ct. - purple bunny,,$0.00 ,Seasonal,Easter,70896809209,4.00E+11,$2.19 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,4/16/2022 12:07,Sweet Stamp,FALSE,,,$0.00 
2d517dc9-703a-4c05-bdff-a4d7656e3b18,Wilton Easter Cupcake Combo,,$0.00 ,Seasonal,Easter,70896006882,4.00E+11,$2.39 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,4/16/2022 11:56,not tracked,FALSE,,,$0.00 
27e876d8-5178-42b4-b9e0-555a97d5bd7d,Wilton Easter Cupcake Decorating Kit,,$0.00 ,Seasonal,Easter,70896006844,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,3/13/2021 15:06,not tracked,FALSE,,,$0.00 
a2eefd83-bfe7-4569-ae46-cf15a5fa97b8,Wilton Easter mini baking cups 48ct. - bunny prints,2,$0.00 ,Seasonal,Easter,70896260758,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,4/9/2022 13:45,DecoPac,FALSE,,,$0.00 
42fd0271-8ffe-474a-be1d-b5f5e53a8ee3,Wilton Peeps mini baking cups 50ct.,2,$0.00 ,Seasonal,Easter,70896523686,4.00E+11,$2.09 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,4/2/2022 12:48,Porsha Kimble (email PKCrew at gmail dot com) 682-804-4096,FALSE,,,$0.00 
b6313725-79d7-4f68-b1fc-1a0219acd040,Wilton Spring Sprinkles Bunny Carrot Mix 4.4oz.,,$0.00 ,Seasonal,Easter,70896380692,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,0,3/27/2021 15:12,Porsha Kimble (email PKCrew at gmail dot com) 682-804-4096,FALSE,,,$0.00 
9284a130-2635-4673-a036-9fb93f90a2be,Wilton Sprinkles Bunny & Carrot Mix 3.5oz.,,$0.00 ,Seasonal,Easter,70896170873,4.00E+11,$4.49 ,TRUE,FALSE,TRUE,$0.00 ,,0,1,0,4/2/2022 11:35,Porsha Kimble (email PKCrew at gmail dot com) 682-804-4096,FALSE,,,$0.00 
c8687026-c203-4966-8192-b3a8af22aee4,Wilton Sprinkles Pastel Bunny Mix 3.4oz.,,$0.00 ,Seasonal,Easter,70896713414,4.00E+11,$4.49 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,0,7/6/2022 16:35,Roxy & Rich,FALSE,,,$0.00 
72aece58-edab-449f-8cd1-62521308f301,Cookie Countess Bunny & Egg PYO Stencil,3,$8.67 ,Stencils,Easter,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.89 ,,3,1,3,3/15/2022 12:16,Sweets & Treats,FALSE,,,$8.67 
89a6945a-c410-4b32-8cce-356eb2063cf3,Cookie Countess Eggs & Bunnies Vertical Stencil,3,$8.58 ,Stencils,Easter,8.40E+11,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.86 ,,3,1,3,3/25/2022 16:53,Sweets & Treats,FALSE,,,$8.58 
92ff13e4-9ff4-4b1b-a018-8dc96b4e6e06,Cookie Countess Happy Easter w/ Eggs Stencil,3,$8.25 ,Stencils,Easter,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.75 ,,3,1,3,,Evil Cake Genius,FALSE,,,$8.25 
de08965b-45cb-4439-a780-d80eae0eb770,Cookie Countess Stencil - Easter - Carrot & Bunny Buddies,2,$5.50 ,Stencils,Easter,8.40E+11,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.75 ,,2,1,,4/7/2022 15:14,Nashville Wraps,FALSE,,,$5.50 
ec92c844-c6c4-4a97-b8f4-f8a2e68ec389,Cookie Countess Stencil - Easter - Carrot & Bunny w/Cutter,,$0.00 ,Stencils,Easter,,4.00E+11,$11.49 ,TRUE,TRUE,TRUE,$5.74 ,,0,1,,3/19/2022 13:44,Nashville Wraps,FALSE,,,$0.00 
6e5d90e3-ea83-4586-b7b2-8ac57dcdd4da,Cookie Countess Stencil - Easter - Easter Egg 1 PYO,1,$2.75 ,Stencils,Easter,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.75 ,,1,1,,3/26/2022 12:49,Nashville Wraps,FALSE,,,$2.75 
da164474-91ad-43c3-8a8d-7042e6a06313,Cookie Countess Stencil - Easter - Easter Egg Flowers PYO,4,$11.28 ,Stencils,Easter,8.40E+11,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.82 ,,4,1,,4/12/2022 17:02,Nashville Wraps,FALSE,,,$11.28 
d6f9e9c9-36e1-4ee9-9a08-5e9099a121d5,Cookie Countess Stencil - Easter - Eyelet Easter Egg,2,$5.50 ,Stencils,Easter,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.75 ,,2,1,,4/9/2022 11:35,Nashville Wraps,FALSE,,,$5.50 
d0c62ddf-e4bf-4da3-9f83-68953697e8a0,Cookie Countess Stencil - Easter - Happy Easter Fun Font,3,$8.45 ,Stencils,Easter,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.82 ,,3,1,,4/5/2022 12:25,Nashville Wraps,FALSE,,,$8.45 
