Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
6DE79CDA-F039-435E-912D-3F1B7D2D9A93,Message Stamper Kit,9,$38.16 ,Decorating Tools,Embossers,7.69E+11,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$4.24 ,,9,1,6,9/13/2022 11:43,not tracked,FALSE,,,$38.16 
A8CE22B3-704B-415F-A2DF-F87EC71F5554,"Sweet Stamp ""Classic"" Letter Embossing Set",0,$0.00 ,Decorating Tools,Embossers,5.39E+12,4.00E+11,$54.99 ,TRUE,TRUE,TRUE,$26.56 ,,0,0,0,6/21/2022 13:21,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
9525A37F-FEBD-47E1-894B-E074AC5351F3,"Sweet Stamp ""Giant Elegant"" Number Embossing Set",1,$15.31 ,Decorating Tools,Embossers,,4.00E+11,$30.99 ,TRUE,TRUE,TRUE,$15.31 ,,1,0,0,,Viera & Garcia Enterprise Ince - Idalia at BWB-usa dot com,FALSE,,,$15.31 
5B561750-0D9B-456B-90BF-B25AF8E6A6EF,"Sweet Stamp ""Hooray!"" Embosser",2,$10.32 ,Decorating Tools,Embossers,,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.16 ,,2,1,3,,Viera & Garcia Enterprise Ince - Idalia at BWB-usa dot com,FALSE,,,$10.32 
0208AD9B-149D-4797-B604-859353641AD3,"Sweet Stamp ""Magical"" Letter Embossing Set",2,$52.22 ,Decorating Tools,Embossers,5.39E+12,4.00E+11,$54.99 ,TRUE,TRUE,TRUE,$26.11 ,,2,1,2,5/26/2021 14:42,DecoPac,FALSE,,,$52.22 
7FCD8800-75C8-4D9B-B4EB-131B0334D5FA,"Sweet Stamp ""Spell Bound"" Letter Embossing Set",2,$52.22 ,Decorating Tools,Embossers,7.95E+11,4.00E+11,$54.99 ,TRUE,TRUE,TRUE,$26.11 ,,2,1,2,,Poppy Paint - Travis Curry - sales at poppypaint dot com,FALSE,,,$52.22 
FEBC0D35-5B9C-42E2-9B6B-22EF457CE539,"Sweet Stamp ""Stylish"" Letter Embossing Set",1,$26.11 ,Decorating Tools,Embossers,5.39E+12,4.00E+11,$54.99 ,TRUE,TRUE,TRUE,$26.11 ,,1,0,0,12/1/2021 13:38,Wholesale Sugar Flowers dot com,FALSE,,,$26.11 
A6086973-0C42-4A23-B8E9-A95DE2A1D18A,Sweet Stamp Elegant Number Embossing Set,1,$10.94 ,Decorating Tools,Embossers,5.39E+12,4.00E+11,$24.99 ,TRUE,TRUE,TRUE,$10.94 ,,1,0,0,,CK Products,FALSE,,,$10.94 
C6D20078-81B8-4FD0-BB7E-24E3706034EB,Sweet Stamp Elements Set - Happy Birthday,0,$0.00 ,Decorating Tools,Embossers,,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$8.75 ,,1,0,,10/29/2021 12:52,CK Products,FALSE,,,$8.75 
FE484F9C-3A5C-40F2-94F0-3B92D2BC90A0,Sweet Stamp Elements Set - Mystic Mermaids,0,$0.00 ,Decorating Tools,Embossers,,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$8.75 ,,0,0,,5/21/2022 12:45,Life of the Party,FALSE,,,$0.00 
