Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
3DBAADA0-1FA3-47D6-86BA-BF2AB1198CFD,Bird 11-Cavity Mold 90-11908,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,10/2/2021 16:25,Linneas Inc dot com,FALSE,,,$0.00 
BC96BC85-5EA1-475C-A8B2-62FD641201D6,Blue Tang Fish 6-Cavity Mold N065,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,11,1,3,2/12/2022 11:44,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
EC39C632-3E57-41AB-9A49-22996C10A92B,Eagle 2.5” Medallion 5-Cavity Mold 90-11960,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
79AD4D7C-4761-41D7-9180-CFEE85D7BC25,Eagle Head 3-Cavity Sucker Mold 90-11927,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,,not tracked,FALSE,,,$0.00 
9E8AEADE-E0A2-4387-B079-0DCA154FBE24,Fish Choc Mold 90-12849,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
91F5019D-CCD9-4B26-ADEA-294ED95111DE,Hummingbird 4-Cavity Sucker Mold A137,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,6,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
23016E6C-2FFE-4AD3-96A9-E88C3394D369,Penguin 5-Cavity Sucker Mold C159,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
23A32344-A685-4156-8958-14A479F4CD27,"Shark 4.75"" Sucker Mold 90-12826",,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.82 ,,3,1,3,4/9/2022 16:03,R&M International - MoreThanBaking dot com,FALSE,,,$2.46 
E04BAC15-AFF5-4ED0-866A-3D2141C847D9,Shark Family Choc Mold 90-952,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.15 ,,4,1,3,8/13/2022 10:48,R&M International - MoreThanBaking dot com,FALSE,,,$4.60 
EE996F17-4F80-4C08-9B80-3D74ED7D38DF,Striped Clownfish 6-Cavity Mold N064,,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,8,1,3,8/13/2022 10:48,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
7287EDE0-2CD5-4631-8493-A78BD63B5F8C,"Trout Fish Choc Mold 2.5"" 90-12814",,$0.00 ,Chocolate Molds,Fish & Birds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,R&M International - MoreThanBaking dot com,FALSE,,,$2.40 
