Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
48ED76FE-7055-4D78-8EE4-EB1BCFFE024B,"Anchor Cookie Cutter 4.5"" B1110",6,$5.82 ,Cookie Cutters,Fish and Sea Life,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,6,1,6,,Cookie Cutters dot Com,FALSE,,,$5.82 
BF576194-0926-4E49-8877-B02B68246A13,"Anchor Cookie Cutter, painted blue 4.5""x4.5""",0,$0.00 ,Cookie Cutters,Fish and Sea Life,71581713085,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,9/1/2022 15:54,not tracked,FALSE,,,$0.00 
0D8975B7-738A-44B9-AF87-CE911E298E5A,"Ann Clark Cute Alligator Cookie Cutter 5""x2""",7,$6.79 ,Cookie Cutters,Fish and Sea Life,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.97 ,,7,2,12,6/24/2022 15:37,CK Products,FALSE,,,$6.79 
58C798E8-0266-4596-A6ED-D6E5BCC85EC3,Ann Clark Whale 5.5” Cookie Cutter,4,$0.00 ,Cookie Cutters,Fish and Sea Life,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,8/31/2022 11:18,DecoPac,FALSE,,,$0.00 
5A850A40-2D0B-42FF-9ECB-CD2CA0CDEDC6,"Cute Fish Cookie Cutter 3.25""",7,$4.48 ,Cookie Cutters,Fish and Sea Life,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.64 ,,7,2,12,8/31/2022 11:18,CK Products,FALSE,,,$4.48 
1BD8C6A8-3516-406C-8AA7-D4C52F6077BD,Fish 3.5” Metal Cookie Cutter,0,$0.00 ,Cookie Cutters,Fish and Sea Life,71581013796,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,12/24/2021 11:42,CK Products,FALSE,,,$0.00 
5C7EC85C-AEDC-4F5E-AC22-B4BB6F1849F9,Gone Fishing 3pc. Cookie Cutter Set,6,$36.00 ,Cookie Cutters,Fish and Sea Life,7.69E+11,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$6.00 ,,6,1,6,,CK Products,FALSE,,,$36.00 
98741910-5FFA-45B8-B758-167461C83F08,"Mini Frog Cookie Cutter 1.5"" 1673",11,$7.15 ,Cookie Cutters,Fish and Sea Life,71581016735,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.65 ,,11,1,1,10/29/2022 14:23,CK Products,FALSE,,,$7.15 
D0D7D615-C13B-4D64-B43F-B761172F35BA,"Seahorse Cookie Cutter 2.25""x5.25""",1,$0.00 ,Cookie Cutters,Fish and Sea Life,71581013093,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,3/3/2022 13:05,Fredal 586-773-3133,FALSE,,,$0.00 
9D85CECE-644A-4E49-82C5-DF2FD460EF7C,"Seahorse Cookie Cutter 4.5"" B1539",11,$8.58 ,Cookie Cutters,Fish and Sea Life,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.78 ,,11,2,12,5/10/2022 13:55,Fredal 586-773-3133,FALSE,,,$8.58 
C80BB52B-DD11-4287-8563-23A69B9D3729,"Starfish Cookie Cutter 4""",4,$1.92 ,Cookie Cutters,Fish and Sea Life,71581013284,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.48 ,,4,2,12,8/19/2022 15:15,AnnClarkCookieCutters dot com,FALSE,,,$1.92 
2FACB4AC-E00D-47B1-B6E3-46D737E72376,"Sting Ray 4.75""x4""",0,$0.00 ,Cookie Cutters,Fish and Sea Life,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,6/10/2022 10:26,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
7477F7A2-0634-4862-978E-BEC8953344D6,"Surfboard Cookie Cutter 4.5""x2""",8,$4.72 ,Cookie Cutters,Fish and Sea Life,71581007573,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.59 ,,8,2,12,8/10/2021 13:39,Linneas Inc dot com,FALSE,,,$4.72 
