Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
7a5e45be-d124-4f0e-b336-ebdb5d544675,"Celebakes Creme Bouquet Flavor, 2oz.",0,$0.00 ,Ingredients,Flavorings,7.45E+11,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$1.53 ,,0,0,0,9/16/2021 16:06,DecoPac,FALSE,,,$0.00 
2b6c60e2-a902-4840-85f5-2f777006b9df,"Celebakes Imitation Powdered Vanilla, 2.5oz. ",0,$0.00 ,Ingredients,Flavorings,7.45E+11,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$1.13 ,,0,0,0,4/8/2022 14:43,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
2a6508e9-8374-42c5-8076-6e9c525a16ca,"Celebakes Vanilla Artificial Flavor, 16oz.",0,$0.00 ,Ingredients,Flavorings,7.45E+11,4.00E+11,$16.99 ,TRUE,FALSE,TRUE,$8.79 ,,2,1,2,8/10/2022 12:42,not tracked,FALSE,,,$17.58 
3d5048dd-fa6e-4fb9-8243-c552426ee371,"Celebakes Vanilla Artificial Flavor, 8oz.",5,$24.00 ,Ingredients,Flavorings,7.45E+11,4.00E+11,$9.99 ,TRUE,FALSE,TRUE,$4.80 ,,5,2,6,12/14/2022 14:23,not tracked,FALSE,,,$24.00 
b62ed886-817c-4e07-a1be-6c99df0cf4d5,CK Coconut Flavor 2oz.,0,$0.00 ,Ingredients,Flavorings,7.45E+11,4.00E+11,$3.49 ,TRUE,FALSE,FALSE,,0,0,0,0,8/18/2020 11:54,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
7986ac50-bcbc-459d-890f-c388600c8a41,CK Vanilla Artificial Flavor (Clear) 4oz.,0,$0.00 ,Ingredients,Flavorings,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,0,10/8/2020 16:34,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
a4e50b65-b8cc-4047-8d60-33471c76ad53,Cookie Nip Flavoring - 4 oz.,7,$34.99 ,Ingredients,Flavorings,7.28E+11,4.00E+11,$10.49 ,TRUE,FALSE,TRUE,$5.00 ,,8,4,,12/13/2022 11:25,Linneas Inc dot com,FALSE,,,$39.99 
712bb672-58ac-4660-8e40-a7978d26efff,Creme Bouquet 2oz.,4,$7.96 ,Ingredients,Flavorings,11417020369,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.99 ,,4,1,4,10/7/2022 14:24,Linneas Inc dot com,FALSE,,,$7.96 
de5be89c-a5ef-494f-af9e-13fbc1022b3c,Lorann Almond Bakery Emulsion 4oz.,3,$8.70 ,Ingredients,Flavorings,23535748087,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.90 ,,3,1,0,12/14/2022 12:06,Linneas Inc dot com,FALSE,,,$8.70 
cedb5489-41d9-48b6-a422-6f5c39e26c53,Lorann Anise Oil 1oz.,2,$11.34 ,Ingredients,Flavorings,23535100052,4.00E+11,$10.99 ,TRUE,FALSE,TRUE,$5.67 ,,2,1,3,12/14/2022 13:34,Linneas Inc dot com,FALSE,,,$11.34 
859527f3-ab48-4538-96b8-5d00b263a34b,Lorann Banana Bakery Emulsion 4oz.,4,$10.20 ,Ingredients,Flavorings,23535740081,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.55 ,,4,1,3,12/17/2022 10:33,Linneas Inc dot com,FALSE,,,$10.20 
a32e7910-9f2a-46f3-9914-b7f0aa83b9b8,Lorann Blueberry Bakery Emulsion 4oz.,3,$8.97 ,Ingredients,Flavorings,23535998857,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.99 ,,3,1,0,11/23/2022 10:37,Linneas Inc dot com,FALSE,,,$8.97 
febc2423-2b40-40d4-a4a3-fe6eafe69115,Lorann Butter Vanilla Bakery Emulsion 16oz.,0,$0.00 ,Ingredients,Flavorings,23535742108,4.00E+11,$22.99 ,TRUE,FALSE,TRUE,$11.95 ,,0,1,2,12/20/2022 16:49,Linneas Inc dot com,FALSE,,,$0.00 
069f6af1-c882-4581-ab4d-5311bd20a51f,Lorann Butter Vanilla Bakery Emulsion 4oz.,4,$13.04 ,Ingredients,Flavorings,23535742085,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.26 ,,4,1,0,12/17/2022 15:02,Linneas Inc dot com,FALSE,,,$13.04 
f3000e0d-637e-474d-b5b8-48efae34b9f6,"Lorann Caramel Bakery Emulsion, 4oz.",3,$9.78 ,Ingredients,Flavorings,23535993739,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.26 ,,4,2,6,12/15/2022 13:58,Linneas Inc dot com,FALSE,,,$13.04 
e0612594-49fc-426e-9805-4888bfea638d,Lorann Caramel Flavor 1oz.,0,$0.00 ,Ingredients,Flavorings,23535600057,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.17 ,,0,0,0,7/23/2020 12:00,Linneas Inc dot com,FALSE,,,$0.00 
26bf0f91-dca8-495e-9aff-6a111214a338,Lorann Cherry Bakery Emulsion 4oz.,5,$15.65 ,Ingredients,Flavorings,23535995818,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.13 ,,5,1,0,12/16/2022 14:25,Linneas Inc dot com,FALSE,,,$15.65 
2a93c8df-b03e-4445-b6bc-3f4d295214f7,"Lorann Cinnamon Spice Bakery Emulsion, 4oz.",3,$8.40 ,Ingredients,Flavorings,23535738088,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.80 ,,3,1,4,12/22/2022 15:06,Linneas Inc dot com,FALSE,,,$8.40 
d432926f-15dd-4b5a-bf80-1254162e9763,"Lorann Clear Imitation Vanilla Extract, 4oz.",2,$6.14 ,Ingredients,Flavorings,23535302081,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$3.07 ,,2,2,6,12/17/2022 15:00,Linneas Inc dot com,FALSE,,,$6.14 
35b7675a-8153-4011-9cd3-e3abfa4032e4,Lorann Coconut Bakery Emulsion 4oz.,8,$25.52 ,Ingredients,Flavorings,23535744089,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.19 ,,8,1,3,11/17/2022 16:57,Linneas Inc dot com,FALSE,,,$25.52 
e5901d67-e575-45cd-95c3-020a8543d83a,Lorann Coffee Bakery Emulsion 4oz.,0,$0.00 ,Ingredients,Flavorings,23535754088,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.30 ,,2,1,1,12/21/2022 13:00,Linneas Inc dot com,FALSE,,,$6.60 
9bdea5b1-e86d-4320-90d4-0711c6e0ddde,Lorann Cookie Butter Bakery Emulsion 4oz.,0,$0.00 ,Ingredients,Flavorings,23535995795,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.81 ,,1,1,3,12/17/2022 10:33,Linneas Inc dot com,FALSE,,,$2.81 
d5e97da9-b448-4140-8c61-1f83af6a167a,Lorann Cream Cheese Bakery Emulsion 4oz.,3,$8.82 ,Ingredients,Flavorings,23535745086,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.94 ,,3,1,4,12/20/2022 15:47,Linneas Inc dot com,FALSE,,,$8.82 
b9229f98-443a-467f-bc91-0c56db2c140a,"Lorann Gourmet Clear Artificial Vanilla Extract, 16oz.",4,$35.88 ,Ingredients,Flavorings,23535302012,4.00E+11,$18.99 ,TRUE,FALSE,TRUE,$8.97 ,,3,1,3,12/10/2022 12:58,Linneas Inc dot com,FALSE,,,$26.91 
b721ef89-f1df-4b89-9eb2-e60a38c8e617,"Lorann Gourmet Concentrated Flavor, 1 Dram - Black Walnut",4,$3.70 ,Ingredients,Flavorings,2936838,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.92 ,,4,1,,12/11/2021 13:53,Linneas Inc dot com,FALSE,,,$3.70 
b45e1599-2999-485a-9933-32f53ffcbf0a,"Lorann Gourmet Concentrated Flavor, 1 Dram - Blue Raspberry",0,$0.00 ,Ingredients,Flavorings,2935334,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.95 ,,1,0,,11/23/2022 12:11,Linneas Inc dot com,FALSE,,,$0.95 
b150e1ab-073b-4e05-9664-0c6a17e62be4,"Lorann Gourmet Concentrated Flavor, 1 Dram - Bourbon",0,$0.00 ,Ingredients,Flavorings,2935538,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.86 ,,0,0,,5/25/2022 10:41,Linneas Inc dot com,FALSE,,,$0.00 
9f5fa652-9cb9-459a-85e7-e5c85e2002cd,"Lorann Gourmet Concentrated Flavor, 1 Dram - Brandy",6,$5.18 ,Ingredients,Flavorings,2935237,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.86 ,,6,1,,9/2/2022 14:42,Linneas Inc dot com,FALSE,,,$5.18 
980c9f8a-5cfc-4f63-82ff-6510c3eb351f,"Lorann Gourmet Concentrated Flavor, 1 Dram - Butter",4,$3.32 ,Ingredients,Flavorings,2936731,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.83 ,,4,2,,8/9/2022 15:56,Linneas Inc dot com,FALSE,,,$3.32 
5527a3e9-b921-4079-87da-6220c6e98ef8,"Lorann Gourmet Concentrated Flavor, 1 Dram - Butterscotch",0,$0.00 ,Ingredients,Flavorings,2931532,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.83 ,,0,0,,6/1/2021 16:52,Linneas Inc dot com,FALSE,,,$0.00 
2ba7e2aa-e737-40f1-b0cf-abccfef650a4,"Lorann Gourmet Concentrated Flavor, 1 Dram - Chocolate",5,$4.50 ,Ingredients,Flavorings,2931231,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.90 ,,5,1,,12/7/2022 11:08,Linneas Inc dot com,FALSE,,,$4.50 
0ff58a63-3819-478f-b8ef-e4ba9486d36d,"Lorann Gourmet Concentrated Flavor, 1 Dram - Chocolate Hazelnut",4,$3.64 ,Ingredients,Flavorings,2933734,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.91 ,,4,1,,12/21/2022 14:56,Linneas Inc dot com,FALSE,,,$3.64 
f40f91b6-f04e-4359-9db7-0da4ddc06766,"Lorann Gourmet Concentrated Flavor, 1 Dram - Cookies & Cream",6,$6.35 ,Ingredients,Flavorings,2934539,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$1.06 ,,6,1,,12/16/2022 13:19,Linneas Inc dot com,FALSE,,,$6.35 
f2e72ac4-4769-4b1f-8c39-dd9c8370df60,"Lorann Gourmet Concentrated Flavor, 1 Dram - Eggnog",8,$6.88 ,Ingredients,Flavorings,2938438,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.86 ,,8,1,,12/14/2022 14:14,Linneas Inc dot com,FALSE,,,$6.88 
ef4ddf00-d17e-4f46-be9e-5c5cc396fcdf,"Lorann Gourmet Concentrated Flavor, 1 Dram - Key Lime",0,$0.00 ,Ingredients,Flavorings,2934937,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.86 ,,0,0,,3/22/2022 11:52,Linneas Inc dot com,FALSE,,,$0.00 
ec6336b3-0bcd-4576-81b7-c53e698b7456,"Lorann Gourmet Concentrated Flavor, 1 Dram - Lemonade",4,$3.73 ,Ingredients,Flavorings,2933938,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.93 ,,5,1,,12/21/2022 13:22,Linneas Inc dot com,FALSE,,,$4.66 
b5cbf188-a7e0-4e40-b605-0b2a823a562b,"Lorann Gourmet Concentrated Flavor, 1 Dram - Melon",2,$1.88 ,Ingredients,Flavorings,2935431,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.94 ,,2,1,,7/23/2022 10:40,Linneas Inc dot com,FALSE,,,$1.88 
aa4b2385-aaa6-4fb3-b44f-fcca7a007622,"Lorann Gourmet Concentrated Flavor, 1 Dram - Mint Chocolate Chip",4,$4.34 ,Ingredients,Flavorings,2934034,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$1.09 ,,4,1,,12/21/2022 13:22,Linneas Inc dot com,FALSE,,,$4.34 
94c10902-d435-4d7b-8021-5ec0df0100dc,"Lorann Gourmet Concentrated Flavor, 1 Dram - Orange Cream",2,$1.86 ,Ingredients,Flavorings,2933530,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.93 ,,2,1,,12/13/2022 11:25,Linneas Inc dot com,FALSE,,,$1.86 
7fac7377-3465-4ecd-9e71-3ab91b394a66,"Lorann Gourmet Concentrated Flavor, 1 Dram - Peanut Butter",4,$3.32 ,Ingredients,Flavorings,2939437,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.83 ,,4,2,,12/21/2022 13:00,Linneas Inc dot com,FALSE,,,$3.32 
54ba0dea-35f4-49df-af9c-05d6c4a6b56d,"Lorann Gourmet Concentrated Flavor, 1 Dram - Pear",4,$3.76 ,Ingredients,Flavorings,2937332,4.00E+11,$1.69 ,TRUE,FALSE,TRUE,$0.94 ,,4,1,,,Linneas Inc dot com,FALSE,,,$3.76 
