Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
3AC37587-D560-4A8C-B18C-8C4018F1300B,"Ann Clark Daisy Cookie Cutter 3""",8,$7.36 ,Cookie Cutters,Flowers Leaves and Trees,8.71E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.92 ,,13,2,12,8/16/2022 12:14,Wilton (WiltonForBusiness dot com),FALSE,,,$11.96 
328277D3-45E9-43EB-8188-0AD10E1E76AF,"Ann Clark Palm Tree Cookie Cutter 4 1/8""x3.5"" 8059A",11,$12.43 ,Cookie Cutters,Flowers Leaves and Trees,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.13 ,,13,2,12,12/16/2022 12:45,PME,FALSE,,,$14.69 
120A1ABA-617D-4180-9D4C-86929DE1B121,"Ann Clark Sunflower Cookie Cutter 3.5"" 1811A",7,$7.70 ,Cookie Cutters,Flowers Leaves and Trees,8.71E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.10 ,,9,2,12,11/30/2022 14:57,Sweet Stamp,FALSE,,,$9.90 
67BEAAFB-A9E3-4C7B-9560-F0E0D4A6CE85,"Eucalyptus Leaf Cookie Cutter 4""",2,$1.76 ,Cookie Cutters,Flowers Leaves and Trees,71581013864,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.88 ,,2,2,1,12/1/2022 13:51,CK Products,FALSE,,,$1.76 
8DAF9C66-E778-45B0-813E-EF50B79A2614,"Hibiscus Cookie Cutter 3.5"" 0758",11,$9.02 ,Cookie Cutters,Flowers Leaves and Trees,71581007580,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.82 ,,11,2,1,8/9/2022 11:53,CK Products,FALSE,,,$9.02 
8147CC7A-9BA3-4DAB-A497-CDFF259C6045,"Marijuana Leaf 4""",6,$5.04 ,Cookie Cutters,Flowers Leaves and Trees,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.84 ,,6,2,12,7/19/2022 12:31,CK Products,FALSE,,,$5.04 
13E16A18-932E-4D2D-A14A-546435052EDE,"Mini Marijuana Leaf Cookie Cutter 1.5""",15,$9.75 ,Cookie Cutters,Flowers Leaves and Trees,71581016537,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.65 ,,20,2,12,12/16/2022 12:45,CK Products,FALSE,,,$13.00 
8BA3A2DC-051C-4B46-B0FC-3A2C9E38B3E1,"Oak Leaf Cookie Cutter 3.5"" B1388X",1,$1.20 ,Cookie Cutters,Flowers Leaves and Trees,71581013888,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.20 ,,1,1,1,12/16/2022 12:45,Whimsy Cookie Company - Aaron Suriff (aaron at whimsydistro dot com) ,FALSE,,,$1.20 
126BAE2A-AEAB-45D7-8001-D2C9916D0D4A,"Oak Leaf Cookie Cutter 3.75"" B1170",6,$5.40 ,Cookie Cutters,Flowers Leaves and Trees,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.90 ,,6,1,6,11/8/2022 13:33,Whimsy Cookie Company - Aaron Suriff (aaron at whimsydistro dot com) ,FALSE,,,$5.40 
3721AEDD-A095-4E75-8B56-5802428B5384,"Palm Tree Cookie Cutter 4""x5.5""",11,$0.00 ,Cookie Cutters,Flowers Leaves and Trees,71581010481,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,5,1,12,7/15/2021 13:58,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
ED4938F6-09C6-42EA-B81E-139353684AEE,PME Eucalyptus Wreath Cutter 3pc. set,3,$20.64 ,Cookie Cutters,Flowers Leaves and Trees,5.06E+12,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.88 ,,3,1,1,,R&M International - MoreThanBaking dot com,FALSE,,,$20.64 
A417B913-6D24-4B81-B95D-CB284E92ADBA,Poinsettia 4” Metal Cookie Cutter,9,$0.00 ,Cookie Cutters,Flowers Leaves and Trees,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,9,1,12,12/7/2022 15:36,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
EFD80509-8290-40DF-8827-F7DA899D925E,"Rose Tulip 3.25""x3""",7,$3.15 ,Cookie Cutters,Flowers Leaves and Trees,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.45 ,,7,2,12,8/10/2022 14:41,R&M International - MoreThanBaking dot com,FALSE,,,$3.15 
C01FF95A-6AAC-4E3C-84F4-9DCBA653E0DA,"Tropical Leaf Cookie Cutter 4.5"" 1239",11,$9.90 ,Cookie Cutters,Flowers Leaves and Trees,71581012393,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.90 ,,11,2,1,12/1/2022 13:51,AnnClarkCookieCutters dot com,FALSE,,,$9.90 
F4E68EAE-CB6D-40CF-A09C-12A5F4CC6CAC,Wilton Comfort Grip Flower Cookie Cutter,2,$4.14 ,Cookie Cutters,Flowers Leaves and Trees,70896056139,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.07 ,,2,1,4,12/23/2022 17:15,Lipari,FALSE,,,$4.14 
