Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
C5A2C692-4A89-4E60-B16D-40ACA92F312E,Asst'd Flowers Choc Mold LOTP F005,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,2,1,6,7/19/2022 13:05,Wilton (WiltonForBusiness dot com),FALSE,,,$1.80 
C197383D-A626-4168-82C5-DDF03C1F5CD5,Asters Choc Mold LOTP F032,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.01 ,,7,1,6,8/20/2022 14:54,Wilton (WiltonForBusiness dot com),FALSE,,,$7.07 
8301B400-69F0-4D9E-B64A-6FC28EA7FE65,Daffodil Sucker Choc Mold CML 3451,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.98 ,,3,1,4,6/10/2022 13:07,Wilton (WiltonForBusiness dot com),FALSE,,,$2.94 
3321421A-0A7A-41A2-82E1-FD1236DE1B47,Daisy Asst Choc Mold LOTP F106,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,6,8/27/2022 15:35,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
2802FEA0-A0A8-4C2E-9E2D-199EA1AE4188,Daisy Oreo Mold LOTP F121,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,6,6/23/2022 15:42,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
363C2ABC-FAE2-47F3-8E4E-A4892098AFE5,"Dogwood 1 3/8"" Choc Mold 90-13022",,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,3,1,3,11/4/2022 16:39,Wilton (WiltonForBusiness dot com),FALSE,,,$2.97 
2B22180F-1546-4B30-8965-AB09E33A96E3,Flower Choc Mold LOTP F082,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.01 ,,6,1,6,10/4/2022 13:53,Wilton (WiltonForBusiness dot com),FALSE,,,$6.06 
6297CC0E-8FEB-42BC-AEF9-63B1CA08A142,Iris 3-Cavity Sucker Mold F043,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,13,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
53B32EBA-41BD-4B98-8F59-9914F1F9D4D0,Iris 4-Cavity Sucker Mold 987,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
63A97F05-C1A2-49FE-BA2E-DB2C916A75E0,Mini Rose Asst Choc Mold 90-13018,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.21 ,,3,1,3,9/23/2022 15:31,not tracked,FALSE,,,$3.63 
7C637A99-BB28-4C90-A04C-511D73FA6769,Oval Roses Choc Mold LOTP F024,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,4,1,6,12/15/2022 14:12,R&M International - MoreThanBaking dot com,FALSE,,,$3.60 
4BC16704-33B3-4E1E-9408-2D2AEF58D2FC,"Rose Choc Sucker Mold 2.25"" 90-13114",,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.13 ,,2,1,3,10/5/2022 10:17,not tracked,FALSE,,,$2.26 
974D3E60-5B8D-4523-83C8-C1A100604834,Rose Mocha Spoon 4-Cavity Mold 90-9981,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
23CCD972-F83F-4237-84BD-F00EC4DFB0CA,Rosebud Single Sucker Mold,,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
61BA28CB-3EB4-4534-AE9C-FA17120958BC,"Sunflower 1.5"" Sucker Choc Mold 90-13124",,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.25 ,,3,1,3,,not tracked,FALSE,,,$3.75 
309EBC56-AA4F-479C-A25F-C7144EBA9E1E,"Sunflower 2.25"" Sucker Choc Mold 90-13126",,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.25 ,,2,1,3,9/6/2022 16:47,R&M International - MoreThanBaking dot com,FALSE,,,$2.50 
9ABC1CBC-8493-4E77-B6AC-305E0CDFC08C,"Sunflower 3"" Choc Mold 90-13184",,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.25 ,,3,1,3,,R&M International - MoreThanBaking dot com,FALSE,,,$3.75 
5E43B4E1-C6C1-4052-9DEE-29579670BC30,"Wild Rose 1.25"" Choc Mold 90-13026",,$0.00 ,Chocolate Molds,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.24 ,,3,1,3,12/7/2022 11:08,R&M International - MoreThanBaking dot com,FALSE,,,$3.72 
d159abc6-7cb0-4e68-8a14-fe4d8aebee27,Gum Paste Apple Blossom Spray with Leaves,,$0.00 ,Gumpaste,Flowers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.85 ,,5,1,6,,CK Products,FALSE,,,$14.25 
4b3e4539-233f-4d11-bc33-a436ae9f5e7b,"Gum Paste Bright Lily - Large 3.5""",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.35 ,,6,1,,5/20/2022 12:22,Oh Sweet Art,FALSE,,,$20.10 
4e41fc48-e444-426e-a3f2-0149010530b5,"Gum Paste Bright Lily - Medium 2.5""",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.35 ,,4,1,,12/14/2022 13:04,Oh Sweet Art,FALSE,,,$9.40 
1b33a24c-09c6-486d-b589-eab1cf167929,"Gum Paste Bright Lily - Small 1.5""",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.35 ,,2,1,,12/14/2022 13:04,Oh Sweet Art,FALSE,,,$2.70 
54fc02b2-2d3b-4ade-9c67-998ab0aa35b6,"Gum Paste Carnation 2.5"", Antique Yellow",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$12.99 ,TRUE,TRUE,TRUE,$5.41 ,,0,0,0,9/15/2022 16:59,Oh Sweet Art,FALSE,,,$0.00 
6b6c1108-4f5e-4424-aafb-f13d900c079f,"Gum Paste Charming Blossom, Coral, 1.5"", 3ct.",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.75 ,,11,0,0,5/4/2022 16:32,Oh Sweet Art,FALSE,,,$8.25 
186c11c3-ab19-495a-81af-b9514fe29a39,"Gum Paste Cosmos 4"" - Purple",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.23 ,,7,2,,7/13/2022 16:12,Oh Sweet Art,FALSE,,,$15.61 
102fbfdd-b24b-4e5e-8836-a2ab47757be0,"Gum Paste Daffodil on Wire, Medium",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.67 ,,30,2,1,,Linneas Inc dot com,FALSE,,,$20.10 
d05d347f-8092-402e-ac2f-0d69b31cabee,"Gum Paste Forget-Me-Not Filler, Pink",,$0.00 ,Gumpaste,Flowers,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.81 ,,7,1,6,9/22/2022 12:12,CK Products,FALSE,,,$12.67 
