Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
B1D68027-ABD3-497F-99DE-43136F75E848,"JEM Veiner Set 1, set of 11",1,$4.44 ,Decorating Tools,Fondant Molds,6.01E+12,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.44 ,,1,1,1,10/20/2022 16:50,Amazon,FALSE,,,$4.44 
C403F108-CEF7-48A3-9209-4ACBE35D22C4,"PME Geometric Multicutter, Diamond XL",1,$5.00 ,Decorating Tools,Fondant Molds,5.06E+12,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$5.00 ,,1,1,1,,DecoPac,FALSE,,,$5.00 
2314CB6B-3B22-42C3-8A44-5EFE23F3F958,PME Snowflake Plunger Cutter 3pc. set,0,$0.00 ,Decorating Tools,Fondant Molds,5.06E+12,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.55 ,,0,1,1,12/6/2022 13:13,Sweets & Treats,FALSE,,,$0.00 
A052BE17-12BC-4B10-832F-895519E32802,PME Star Plunger Cutter 3pc. set,11,$61.05 ,Decorating Tools,Fondant Molds,5.06E+12,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.55 ,,1,1,1,12/3/2022 14:55,DecoPac,FALSE,,,$5.55 
6B84E185-6CAF-48C5-9DB6-15C1E93A6B4C,PME Veined Rose Leaf Plunger Cutter 3pc. set,2,$11.00 ,Decorating Tools,Fondant Molds,5.06E+12,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.50 ,,2,1,1,,CK Products,FALSE,,,$11.00 
CEE4E1DB-C836-4CFB-A595-D70F9CF5E024,"Silicone Wood Grain Impression Mat 9x17""",6,$59.94 ,Decorating Tools,Fondant Molds,,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.99 ,,6,1,1,,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$59.94 
EB9364B5-A7B6-4CEB-AFF4-55E2396C9405,Veined Rose Leaf Plunger Cutter 3pc set - Larger Size,2,$12.10 ,Decorating Tools,Fondant Molds,5.06E+12,4.00E+11,$12.99 ,TRUE,TRUE,TRUE,$6.05 ,,2,1,1,,Cookie Countess Wholesale dot com,FALSE,,,$12.10 
46EEC01E-8AD3-4EAA-BD10-7D5C67E4601A,Wilton Ball Tool for Fondant,28,$42.00 ,Decorating Tools,Fondant Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.50 ,,28,0,0,11/29/2022 11:13,Life of the Party,FALSE,,,$42.00 
1B2DAF16-DC49-41A3-8A84-DEE8D449E4CE,Wilton Buttons & Bows Fondant & Gum Paste Silicone Mold,2,$14.58 ,Decorating Tools,Fondant Molds,70896431899,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.29 ,,4,1,3,8/13/2022 12:07,Life of the Party,FALSE,,,$29.16 
D90D5E9A-EC05-43D3-8318-1A63165CE0A5,"Wilton Jewelry Fondant & Gum Paste Silicone Mold, 25cavity",0,$0.00 ,Decorating Tools,Fondant Molds,70896431882,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.72 ,,0,1,3,2/1/2022 14:28,Life of the Party,FALSE,,,$0.00 
77C2EDC1-4EBD-4E02-BA71-327391DE0CE7,"Wilton Lace Fondant & Gum Paste Silicone Mold, 23cavity",2,$11.44 ,Decorating Tools,Fondant Molds,70896431905,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.72 ,,2,1,3,4/9/2022 11:13,Life of the Party,FALSE,,,$11.44 
3F61275B-E906-4503-9725-71BF3A770813,"Wilton Lace Silicone Pattern Roller, 13""",1,$4.58 ,Decorating Tools,Fondant Molds,70896108722,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.58 ,,2,1,3,12/1/2021 13:55,Life of the Party,FALSE,,,$9.16 
3FE2BA16-C95D-44E0-8173-B9EED3C015E9,"Wilton Sea Life Fondant & Gum Paste Silicone Mold, 8cavity",4,$29.16 ,Decorating Tools,Fondant Molds,70896131867,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.29 ,,4,1,3,9/15/2022 12:40,DecoPac,FALSE,,,$29.16 
9F1C58E0-7D95-4976-9CF0-3FC7970B7AE3,Wilton Trellis Pattern Silicone Mold,1,$2.86 ,Decorating Tools,Fondant Molds,70896330833,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.86 ,,1,0,0,11/27/2021 16:18,Choklit Molds dot com,FALSE,,,$2.86 
B458949E-CC49-4532-9385-10961BFC5FB3,"Wilton Wave Silicone Pattern Roller, 13""",1,$4.58 ,Decorating Tools,Fondant Molds,70896108814,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.58 ,,1,0,0,7/16/2022 12:46,DecoPac,FALSE,,,$4.58 
7E54215B-DED2-4576-8C00-A417A0D31D39,"Wilton Wood Panel & Stone Texture Silicone Mat, 2ct.",0,$0.00 ,Decorating Tools,Fondant Molds,70896325723,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.21 ,,0,1,3,11/4/2022 12:08,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
