Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
64A472F2-F6BA-4C79-9357-693F3B2BA67E,Celebrate Champagne Glasses 3-Cavity Sucker Mold AO153,,$0.00 ,Chocolate Molds,Food & Drink,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,1,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
C881C6D5-3506-419F-9DE3-C8F9CA196DE2,Cupcake Sucker Choc Mold LOTP K166,,$0.00 ,Chocolate Molds,Food & Drink,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,5,0,0,12/17/2022 14:19,Wilton (WiltonForBusiness dot com),FALSE,,,$4.50 
58878946-8415-436F-844E-40113701DD7D,Liquor Bottles Choc Mold LOTP AO051,,$0.00 ,Chocolate Molds,Food & Drink,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,1,,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
432D224D-CCB0-48B7-8274-2E5ABFA4E650,Martini Oreo Choc Mold LOTP AO134,,$0.00 ,Chocolate Molds,Food & Drink,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$2.25 ,,5,1,6,1/13/2022 16:08,Wilton (WiltonForBusiness dot com),FALSE,,,$11.25 
54175235-8B94-47BB-B64D-A033D666C55A,Wrapped Candies Choc Mold LOTP AO156,,$0.00 ,Chocolate Molds,Food & Drink,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,5,1,1,12/20/2022 14:29,not tracked,FALSE,,,$5.15 
43B81441-BBDF-4462-8191-6A7A98C3EBD2,"Ann Clark Beer Bottle Cookie Cutter 4.5"" 8304A",13,$12.74 ,Cookie Cutters,Food & Drink,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.98 ,,13,2,12,10/22/2022 13:43,R&M International - MoreThanBaking dot com,FALSE,,,$12.74 
EF34F9D6-B9F1-47E6-AC4F-6F42CDEF7BE3,"Ann Clark Beer Mug 4.25""x3 3/8""",4,$3.32 ,Cookie Cutters,Food & Drink,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.83 ,,3,2,12,10/21/2022 11:54,R&M International - MoreThanBaking dot com,FALSE,,,$2.49 
AD1083E6-78BA-4F4B-93DE-4F8D36082CE4,"Ann Clark Cake w/Stand Cookie Cutter 4.5""x3.25"" 7846A",11,$11.99 ,Cookie Cutters,Food & Drink,8.71E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.09 ,,11,1,12,9/29/2022 15:22,Fox Run,FALSE,,,$11.99 
24D05881-DB07-4151-A20C-507A3FD5E793,"Ann Clark Ice Cream Cone Cookie Cutter 3 3/8""x4.25""",9,$8.73 ,Cookie Cutters,Food & Drink,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.97 ,,9,2,12,7/12/2022 16:18,CK Products,FALSE,,,$8.73 
74FDC3AC-FCB3-4C00-92EC-07AB59BA6594,"Ann Clark Soft Serve Ice Cream 4""x2.5"" 8268A",10,$10.50 ,Cookie Cutters,Food & Drink,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,10,2,12,12/1/2022 16:07,Sweet Stamp,FALSE,,,$10.50 
876F52E1-7084-4AC1-BFCF-F34C98A6C8CB,"Ann Clark Teacup Cookie Cutter 3.5""x2.5"" 8322A",9,$9.90 ,Cookie Cutters,Food & Drink,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.10 ,,10,1,12,12/9/2022 16:04,Sweet Stamp,FALSE,,,$11.00 
93CBC592-90EE-4171-A60F-2C0D930261D3,"Ann Clark Teapot Cookie Cutter 4.25""x3"" 8323A",12,$11.88 ,Cookie Cutters,Food & Drink,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,12,2,1,,PME,FALSE,,,$11.88 
3FE8A638-F616-4D9D-AE19-7FC91DF4830C,"Candy Wrapper/Party Cracker Cookie Cutter 3.25"" B1742",11,$7.70 ,Cookie Cutters,Food & Drink,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.70 ,,11,2,1,12/6/2022 14:19,CK Products,FALSE,,,$7.70 
62A97F05-24B1-47D3-8B7A-EF126F28EBCD,"Cupcake w/Candle Cookie Cutter 4""x3""",0,$0.00 ,Cookie Cutters,Food & Drink,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.86 ,,2,0,0,11/8/2022 11:21,CK Products,FALSE,,,$1.72 
7A35DF36-23DC-425B-AE7E-D0D41BED203D,"Cupcake/Muffin Cookie Cutter 3.5""x3.25"" 0925",4,$3.20 ,Cookie Cutters,Food & Drink,71581009256,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.80 ,,4,2,6,12/16/2022 12:01,CK Products,FALSE,,,$3.20 
A022E13A-6A17-442D-B8E4-69025A92D892,"Mixer Cookie Cutter 3.25""x3.5""",6,$20.94 ,Cookie Cutters,Food & Drink,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.49 ,,6,1,10,8/27/2022 15:49,CK Products,FALSE,,,$20.94 
22FAAE54-0BE5-46AC-ABF2-00171DB5ED1B,"Pitcher Cookie Cutter 3.5""x3.25""",4,$2.24 ,Cookie Cutters,Food & Drink,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.56 ,,4,2,6,6/1/2022 13:23,R&M International - MoreThanBaking dot com,FALSE,,,$2.24 
DC025924-516A-47A5-80FB-C8F5D840F0E8,"Soda/Beer Can Cookie Cutter 4"" B1749",6,$4.32 ,Cookie Cutters,Food & Drink,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.72 ,,6,1,6,9/6/2022 14:34,Fat Daddio,FALSE,,,$4.32 
37E71426-2AFD-4912-9232-EC145581ECFD,"Wrapped Candy Cookie Cutter 3.25""x2""",2,$0.00 ,Cookie Cutters,Food & Drink,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,6/23/2022 14:17,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
