Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
25C8B5F4-51EF-446E-A3D1-4336583E2219,Americolor Airbrush Color 4.5 oz - Copper (Fleshtone),0,$0.00 ,Decorations,Food Color,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,1,,,CK Products,FALSE,,,$0.00 
B8CD8F24-1D2A-47EC-96DA-0817E26BE242,Americolor Airbrush Color 4.5 oz - Lavender Sheen,0,$0.00 ,Decorations,Food Color,,4.00E+11,$9.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,1,,,CK Products,FALSE,,,$0.00 
38CADA10-1135-49DE-BFAB-C2FE709C2D15,Americolor Airbrush Color 4.5 oz - Orange,0,$0.00 ,Decorations,Food Color,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,CK Products,FALSE,,,$0.00 
4A3008C3-5DF0-44F2-AF50-D29D181168FE,Americolor Airbrush Color 4.5 oz - Pearl Sheen,5,$24.10 ,Decorations,Food Color,6.80E+11,4.00E+11,$9.99 ,TRUE,FALSE,TRUE,$4.82 ,,5,1,,,CK Products,FALSE,,,$24.10 
0F6D4A9A-20C0-4D12-9110-DBFEC482B539,Americolor Airbrush Color 4.5 oz - Silver Sheen,7,$33.74 ,Decorations,Food Color,6.80E+11,4.00E+11,$9.99 ,TRUE,FALSE,TRUE,$4.82 ,,7,1,,,CK Products,FALSE,,,$33.74 
E116215E-BC51-4D78-9092-D9BBF33374DF,Americolor Amerimist 12 pc Airbrush Color Kit,2,$28.64 ,Decorations,Food Color,6.80E+11,4.00E+11,$28.99 ,TRUE,TRUE,TRUE,$14.32 ,,2,1,3,6/7/2022 14:32,CK Products,FALSE,,,$28.64 
1BD16C4D-5986-437A-9DB0-89E72D890B72,Americolor Amerimist 4 pc Essential Sheen Airbrush Color Kit,7,$63.49 ,Decorations,Food Color,6.80E+11,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$9.07 ,,7,1,2,6/7/2022 14:32,AnnClarkCookieCutters dot com,FALSE,,,$63.49 
35E7B55C-0554-41FC-A309-145BE49632DC,Americolor Amerimist 8 pc Airbrush Color Kit,2,$20.40 ,Decorations,Food Color,6.80E+11,4.00E+11,$21.99 ,TRUE,TRUE,TRUE,$10.20 ,,2,1,2,,Parrishs Magic Line,FALSE,,,$20.40 
63500ED3-D496-4EBF-86AD-8FCEF5334BCB,Candy-N-Cake Powdered Food Color 18g - Black,0,$0.00 ,Decorations,Food Color,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,5/15/2021 13:33,CK Products,FALSE,,,$0.00 
D7369877-607B-41FA-9AEC-9F5A44EB9CA4,Candy-N-Cake Powdered Food Color 18g - Brown,0,$0.00 ,Decorations,Food Color,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,11/27/2021 16:18,CK Products,FALSE,,,$0.00 
