Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
4E059EDC-94F1-4F45-943C-BF76594C7592,Americolor Junior Kit Gel Colors 8/0.75 oz,0,$0.00 ,Decorations,Gel,6.80E+11,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$10.17 ,,0,1,2,11/29/2022 11:33,JAR Technology,FALSE,,,$0.00 
41EB1243-5CE7-4AB9-8691-341FAC768403,CK Prod Write On Gel - Baby Blue Shimmering,,$0.00 ,Decorations,Gel,7.45E+11,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,12/11/2021 10:52,Choklit Molds dot com,FALSE,,,$0.00 
FB3A403D-AE94-4360-A373-CC2BB13ECE91,CK Prod Write On Gel - Clear,,$0.00 ,Decorations,Gel,7.45E+11,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,5/1/2021 12:45,Choklit Molds dot com,FALSE,,,$0.00 
500A5A45-18CD-4782-B737-BC5AD76A3B8E,CK Prod Write On Gel - Glacier Blue Shimmering,,$0.00 ,Decorations,Gel,7.45E+11,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,4/3/2021 12:43,Choklit Molds dot com,FALSE,,,$0.00 
EEF7846E-6BA2-46EC-866D-C13B51859199,CK Prod Write On Gel - Sea Foam Shimmering,,$0.00 ,Decorations,Gel,7.45E+11,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,1/13/2021 17:11,Choklit Molds dot com,FALSE,,,$0.00 
07F39239-09E7-4044-8968-5540F0DADE1E,Wilton Piping Gel 10 oz Tub,,$0.00 ,Decorations,Gel,70896399878,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.05 ,,2,1,0,12/2/2022 16:30,not tracked,FALSE,,,$6.10 
5EC935E1-055F-443C-9E36-C0F3B5EE3A73,Wilton Sparkle Gel 3.5 oz Tube - Blue,,$0.00 ,Decorations,Gel,70896741103,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.87 ,,4,1,,10/15/2022 15:02,not tracked,FALSE,,,$7.48 
15EB1800-AE49-4A36-B3C1-5D29D4A24E58,Wilton Sparkle Gel 3.5 oz Tube - Gold,,$0.00 ,Decorations,Gel,70896410603,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.72 ,,5,1,,10/15/2022 15:02,not tracked,FALSE,,,$8.60 
A1EAEE25-DCE5-4BFA-93D1-19A8589B40B7,Wilton Sparkle Gel 3.5 oz Tube - Light Blue,,$0.00 ,Decorations,Gel,70896460134,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.87 ,,0,0,,12/21/2022 16:10,CK Products,FALSE,,,$0.00 
62CC56BA-ECC5-4480-9B73-A1516E87E3D6,Wilton Sparkle Gel 3.5 oz Tube - Orange,,$0.00 ,Decorations,Gel,70896741097,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,9/12/2020 11:08,not tracked,FALSE,,,$0.00 
E7CBBF77-DB8D-4629-B112-0E5F8ED9C21F,Wilton Sparkle Gel 3.5 oz Tube - Pink,,$0.00 ,Decorations,Gel,70896703569,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,7/31/2020 15:34,not tracked,FALSE,,,$0.00 
B15A82BB-AB2C-48B6-97C4-8896143C12A7,Wilton Sparkle Gel 3.5 oz Tube - Red,,$0.00 ,Decorations,Gel,70896741127,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,7/2/2020 15:27,not tracked,FALSE,,,$0.00 
75299EDA-F9DD-48FF-AA63-35EF11437DAF,Wilton Sparkle Gel 3.5 oz Tube - White,,$0.00 ,Decorations,Gel,70896741073,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.83 ,,3,1,,9/30/2022 15:15,Linneas Inc dot com,FALSE,,,$5.50 
8A3F9680-90D0-49EA-A51D-C155B90D4157,Wilton Sparkle Gel 3.5 oz Tube - Yellow,,$0.00 ,Decorations,Gel,70896741080,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,9/19/2020 14:19,not tracked,FALSE,,,$0.00 
