Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
8228822E-3097-42DF-9A38-73398DD0E2FE,"Celebakes Edible Glitter Flakes Black, 1oz.",0,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.66 ,,0,0,0,3/25/2022 12:39,DecoPac,FALSE,,,$0.00 
6721F341-AFE3-4807-AE7E-747566C2D35E,"Celebakes Edible Glitter Flakes Metallic Gold, 1oz.",0,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.86 ,,0,0,0,3/12/2022 10:44,DecoPac,FALSE,,,$0.00 
65F759FC-7EE0-4CCA-ACFD-A3DB80E3D984,"Celebakes Edible Glitter Flakes Metallic Silver, 1oz.",0,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.75 ,,0,0,0,2/18/2022 12:18,DecoPac,FALSE,,,$0.00 
478AF653-F6AB-488B-BF1A-5B23DA2F6D49,"Celebakes Edible Glitter Flakes Whimsical White, 1oz.",0,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.66 ,,0,0,0,8/28/2021 12:27,DecoPac,FALSE,,,$0.00 
8D7DD4C6-6342-4E92-98A8-73201CDEF514,"Celebakes Edible Glitter Gold Squares, 0.25oz.",0,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$2.47 ,,0,0,0,10/9/2021 11:11,DecoPac,FALSE,,,$0.00 
1EF4605A-F71E-4106-844B-E4DF1FDC2B79,Celebakes Edible Glitter Silver Stars,2,$8.48 ,Decorations,Glitter,7.45E+11,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$4.24 ,,2,1,0,12/14/2022 10:28,DecoPac,FALSE,,,$8.48 
2ECB60D9-CA54-472D-B3F9-4CDD0FAE3EA4,"Celebakes Edible Glitter, 0.25oz. - Black",2,$2.30 ,Decorations,Glitter,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.15 ,,2,1,,,Amazon,FALSE,,,$2.30 
8DE4CB1B-ABE9-4D64-9701-352F7B0F0779,"Celebakes Edible Glitter, 0.25oz. - Blue",3,$5.64 ,Decorations,Glitter,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.88 ,,3,2,,,CK Products,FALSE,,,$5.64 
C535A7E8-8A0C-4776-B35A-4B1FE0B99131,"Celebakes Edible Glitter, 0.25oz. - Brown",0,$0.00 ,Decorations,Glitter,,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,Cookie Cutter dot Com Off the beaten path,FALSE,,,$0.00 
7D65E6D0-DC23-4680-A05E-E8C70DB13085,"Celebakes Edible Glitter, 0.25oz. - Burgundy",1,$1.52 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.52 ,,1,0,,10/12/2021 11:55,DecoPac,FALSE,,,$1.52 
921B1F55-8331-4F7A-A06D-EE5E230E5234,"Celebakes Edible Glitter, 0.25oz. - Green",3,$7.14 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.38 ,,3,2,,12/16/2022 16:31,Life of the Party,FALSE,,,$7.14 
62435E04-C13C-450B-A4BB-800B8B4AC6CA,"Celebakes Edible Glitter, 0.25oz. - Lavender",5,$13.41 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.68 ,,5,2,,9/21/2022 16:36,DecoPac,FALSE,,,$13.41 
E8AC96BE-5330-4B7F-B2E5-8DD780DD83E7,"Celebakes Edible Glitter, 0.25oz. - Metallic Gold",4,$10.44 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.61 ,,4,2,,11/23/2022 15:46,DecoPac,FALSE,,,$10.44 
A02ACFD1-8D4B-43C9-AEC9-5181E2801762,"Celebakes Edible Glitter, 0.25oz. - Metallic Silver",0,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.52 ,,0,0,,1/15/2022 11:51,CK Products,FALSE,,,$0.00 
4273ED3A-9CF9-42D6-A2AE-64DABE569F26,"Celebakes Edible Glitter, 0.25oz. - Orange",4,$4.60 ,Decorations,Glitter,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.15 ,,4,1,,,CK Products,FALSE,,,$4.60 
B4459678-9184-40D5-93E0-DBDC9461E6CF,"Celebakes Edible Glitter, 0.25oz. - Pink",3,$5.06 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.69 ,,3,2,,12/23/2022 17:15,DecoPac,FALSE,,,$5.06 
7BECC894-6BFB-467C-9CA2-9BD448306E15,"Celebakes Edible Glitter, 0.25oz. - Red",3,$7.28 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.43 ,,3,2,,12/16/2022 16:31,Cookie Countess Wholesale dot com,FALSE,,,$7.28 
B7653B9E-0C5C-47B7-891C-4B8B528E2865,"Celebakes Edible Glitter, 0.25oz. - White",3,$5.53 ,Decorations,Glitter,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.84 ,,3,2,,12/2/2022 11:07,Cookie Countess Wholesale dot com,FALSE,,,$5.53 
A1E30F9E-CBA4-4C58-9C02-71B3EA59DCB5,CK Edible Glitter 0.25 oz - Black,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,10/28/2021 11:03,DecoPac,FALSE,,,$0.00 
9F6F8EF8-BD00-4A53-BE4D-F933A6DC4A11,CK Edible Glitter 0.25 oz - Blue,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,12/12/2020 12:05,CK Products,FALSE,,,$0.00 
ED97E327-F14F-4C6F-A992-D36C15DB6749,CK Edible Glitter 0.25 oz - Brown,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.00 ,,1,0,,8/17/2021 16:25,CK Products,FALSE,,,$0.00 
9C1A06E0-184A-4080-9ADE-4674C47E7FB9,CK Edible Glitter 0.25 oz - Lavender,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.99 ,,0,0,,8/20/2020 12:05,CK Products,FALSE,,,$0.00 
07B76118-DAD6-4215-A721-450C3F5B9241,CK Edible Glitter 0.25 oz - Metallic Gold,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.59 ,TRUE,FALSE,TRUE,$1.52 ,,0,0,,12/22/2020 13:54,CK Products,FALSE,,,$0.00 
7FB2E1AF-2FE0-4131-865E-989C37C5A8E3,CK Edible Glitter 0.25 oz - Metallic Silver,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.59 ,TRUE,FALSE,TRUE,$1.52 ,,0,0,,5/18/2021 10:31,CK Products,FALSE,,,$0.00 
E8A01DA7-98E5-46BC-87C6-E230BFEC7667,CK Edible Glitter 0.25 oz - Orange,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$1.15 ,,3,0,,6/28/2022 10:57,CK Products,FALSE,,,$3.45 
6A0F7FC4-7E91-49E6-9F80-B7FDD315ECC2,CK Edible Glitter 0.25 oz - Pink,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$1.15 ,,0,0,,5/9/2020 16:17,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$0.00 
5ABB6860-9B4D-48D4-86F8-8993FD06A343,CK Edible Glitter 0.25 oz - White,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.99 ,,0,0,,,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
53AC631A-C9FA-48DD-9DC0-8F1540A3854E,CK Edible Glitter 0.25 oz - Yellow,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$3.19 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,8/15/2020 11:45,Linneas Inc dot com,FALSE,,,$0.00 
9BECA078-E486-48EC-A2CB-099603A46509,Ck Edible Glitter Flakes 1oz. Blue,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.40 ,,3,1,0,6/26/2021 10:59,Cookie Cutter dot Com Off the beaten path,FALSE,,,$7.20 
CB452FD4-0C17-476E-871D-5451B24D3265,"CK Metallic Gold Edible Glitter Flakes, 1oz.",,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.61 ,,2,0,0,4/2/2021 14:17,CK Products,FALSE,,,$5.22 
7D0DBE18-3B9B-42F1-809D-1ABEC5CB69A6,CK Techno Glitter (*For Decorative Use Only*) - Baby Green,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,10/9/2020 13:28,CK Products,FALSE,,,$0.00 
0269A9D6-6476-4E70-8D6F-665619A185A3,CK Techno Glitter (*For Decorative Use Only*) - Baby Yellow Disco Glitter,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,8/18/2020 11:02,Choklit Molds dot com,FALSE,,,$0.00 
55A093DB-EF19-4A74-B3A1-1ED897BC7696,CK Techno Glitter (*For Decorative Use Only*) - Black Sparkle,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,5/22/2020 14:27,Choklit Molds dot com,FALSE,,,$0.00 
C6FBC1EC-96F4-4589-B977-D6BC429B5DEB,CK Techno Glitter (*For Decorative Use Only*) - Bright Pink,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,9/16/2020 12:52,Choklit Molds dot com,FALSE,,,$0.00 
05DC0591-BB62-4BD9-B28A-F70D3308EC03,CK Techno Glitter (*For Decorative Use Only*) - Burgundy Disco Glitter,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,8/15/2020 12:36,Choklit Molds dot com,FALSE,,,$0.00 
52BDB8EA-E9E7-4518-A951-E628210C6713,CK Techno Glitter (*For Decorative Use Only*) - Burnt Orange Disco Dust,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,8/11/2021 10:08,Choklit Molds dot com,FALSE,,,$0.00 
5EA5663C-7FEB-47E4-9BED-20753A980ADD,CK Techno Glitter (*For Decorative Use Only*) - Emerald Green,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,Choklit Molds dot com,FALSE,,,$0.00 
E6FD6C62-1873-4EF4-B1B7-8653DC2A5B6B,CK Techno Glitter (*For Decorative Use Only*) - Glamorous Pink,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,5/19/2020 12:09,CK Products,FALSE,,,$0.00 
AD67FCF6-C19B-47F7-B543-7BA9A43DDDA2,CK Techno Glitter (*For Decorative Use Only*) - Gold,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,11/25/2020 12:20,CK Products,FALSE,,,$0.00 
9CE815B4-862B-4CAC-93D6-1496DDC20480,CK Techno Glitter (*For Decorative Use Only*) - Heat Green,,$0.00 ,Decorations,Glitter,7.45E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,5/19/2020 12:09,Genies Dream - StencilGenie dot com PW is GENIE321,FALSE,,,$0.00 
