Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
F479B4C6-644D-4082-9DA8-36E4CD0CCD72,"""You Did It Grad!"" Layon",9,$16.74 ,Decorations,Graduation,,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.86 ,,9,2,1,6/11/2022 11:05,Choklit Molds dot com,FALSE,,,$16.74 
5704FB4A-E2B0-42E0-885A-EBCD9DF0E3B6,"2022 Foil DecoPics, 6ct.",0,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.68 ,,2,0,0,7/22/2022 15:47,Choklit Molds dot com,FALSE,,,$1.36 
64D88FF0-F374-4FA8-B3EC-045FE32F2D5E,"'22 Foil Rings, 6ct.",0,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.68 ,,16,2,1,12/3/2022 15:46,Choklit Molds dot com,FALSE,,,$10.88 
F58CC55E-C53C-417E-8C33-D53909EDC0C0,Congratulations Script Lay-on - Gold,,$0.00 ,Decorations,Graduation,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.35 ,,5,2,,6/11/2022 16:11,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$1.75 
86E282D9-D57E-4C69-BFA7-6A95BE512167,Congratulations Script Lay-on - Silver,,$0.00 ,Decorations,Graduation,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.35 ,,3,2,,8/3/2022 16:11,Pfiel & Holing,FALSE,,,$1.05 
77AA9B7C-78C7-40F2-ACB6-3B638ADFF5D8,Fusion Mix - Graduation 3oz.,,$0.00 ,Decorations,Graduation,,4.00E+11,$3.89 ,TRUE,FALSE,TRUE,$0.80 ,,0,3,8,10/12/2022 12:49,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$0.00 
1D161178-7E7A-4983-9983-B22592DC9BB7,"Grad Foil Picks, 6ct. - Black",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.53 ,,8,1,,7/9/2022 10:30,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$4.24 
CFCEABA5-8938-4016-8750-ED7FC6D64658,"Grad Foil Picks, 6ct. - Gold",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.53 ,,4,1,,6/22/2022 15:50,Donna Rabe - Sweet Stuff Shoppe - Text (313) 720-2659,FALSE,,,$2.12 
C8A10E33-5D56-474F-9AB0-9653145012D0,"Grad Foil Picks, 6ct. - Silver",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.53 ,,0,1,,6/14/2022 10:40,Donna Rabe - Sweet Stuff Shoppe - Text (313) 720-2659,FALSE,,,$0.00 
5E2256B1-0196-4AA7-8FA3-310052B4288B,"Graduation Cap Rings, 6ct.",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.56 ,,23,2,24,8/16/2022 11:01,Wilton (WiltonForBusiness dot com),FALSE,,,$12.88 
F65DCB93-0E6F-41AA-AA66-92B4BD618BCE,"Graduation Caps & Diplomas Royal Icings, 6ct.",,$0.00 ,Decorations,Graduation,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$1.54 ,,21,2,1,9/9/2022 13:41,CK Products,FALSE,,,$32.34 
58A24F81-590D-45F8-B9C6-AD5E05132129,"Jumping Grad Graduation Picks, 6ct.",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.44 ,,6,3,24,6/22/2022 15:39,not tracked,FALSE,,,$2.64 
0C3AF65A-2863-4070-9E7E-5793E570EF99,"Metallic Black Grad Cap Picks, 6ct.",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.44 ,,0,3,24,7/9/2022 10:21,Cookie Cutters dot Com,FALSE,,,$0.00 
FA2C428A-D929-4689-9F2F-5B6862965FC1,"Star Cupcake Rings, 6ct",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.48 ,,15,2,24,5/28/2022 12:57,not tracked,FALSE,,,$7.20 
32EB9B80-D3FF-4664-88FA-342EF1FC9400,"Sweet Decor Graduation Hat Printed Edible Decorations, 4ct.",,$0.00 ,Decorations,Graduation,,4.00E+11,$1.49 ,TRUE,FALSE,TRUE,$0.49 ,,2,3,1,7/28/2022 11:28,Clear Bags,FALSE,,,$0.98 
49DFEDBF-086C-4594-A920-99AC856FA090,"Sweets & Treats Graduation Caps Candy Sprinkles, 3oz.",,$0.00 ,Decorations,Graduation,,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.80 ,,0,1,5,6/24/2022 15:37,Choklit Molds dot com,FALSE,,,$0.00 
A23EDEC2-ADBD-4EBB-ACAB-B2B6CCECA4AF,"The Future is Bright DecoSet, 4pc.",,$0.00 ,Decorations,Graduation,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$4.90 ,,1,1,6,7/6/2022 15:53,CK Products,FALSE,,,$4.90 
8E64DD32-D959-4FFA-9BD2-26309BA45310,"Traditional Plain Black Grad Cap w/Gold Tassel Lay-on, 4""",,$0.00 ,Decorations,Graduation,,4.00E+11,$2.69 ,TRUE,TRUE,TRUE,$1.18 ,,2,3,24,12/17/2022 15:27,Cookie Countess Wholesale dot com,FALSE,,,$2.36 
