Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
EC090036-F43A-4D13-93FB-3BACF655B7C3,Gum Paste Bows - Black Large,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.37 ,,2,2,,10/22/2022 10:29,Linneas Inc dot com,FALSE,,,$2.74 
00F8FD7C-F163-410B-BD85-EFBCE13102EE,Gum Paste Bows - Pink Large,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.99 ,,-1,0,,2/4/2022 16:04,DecoPac,FALSE,,,($1.99)
2CCDD3DC-1BAD-40F3-BA51-FD5E3D9A1883,Gum Paste Bows - Primary Colors Large,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.99 ,,2,0,,3/12/2022 14:56,DecoPac,FALSE,,,$3.98 
776C1289-0A50-4C03-A176-84197CCA9EA4,Gum Paste Bows - White Large,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.73 ,,3,2,,12/8/2022 17:07,DecoPac,FALSE,,,$5.19 
0922C2EB-7EF8-477F-BC37-45A5C261FC33,Gum Paste Butterfly - Large,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.12 ,,7,2,,7/21/2022 15:48,Choklit Molds dot com,FALSE,,,$7.82 
BA742116-124C-4B30-9450-8F0FE70D9A6A,Gum Paste Butterfly - Small,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$2.19 ,TRUE,FALSE,TRUE,$1.05 ,,2,2,,7/21/2022 15:48,CK Products,FALSE,,,$2.10 
5582A124-4408-41B1-98A2-F35D235AF5E1,Gum Paste Flowers,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$0.00 ,TRUE,FALSE,FALSE,,0,0,0,0,12/21/2022 15:46,CK Products,FALSE,,,$0.00 
A94688CC-041B-4305-922A-38ED724F1BB1,"Gum Paste White Succulent Flower 4""",,$0.00 ,Decorations,Gum Paste,,4.00E+11,$17.99 ,TRUE,FALSE,TRUE,$8.37 ,,5,1,4,9/10/2022 13:49,CK Products,FALSE,,,$41.85 
755E158C-0111-4A7C-B29F-CB03DFD51D33,"Lg. Fall Leaves, 5ct.",,$0.00 ,Decorations,Gum Paste,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,0,10/15/2021 14:11,Lipari,FALSE,,,$0.00 
C5548E76-A794-4CC1-91C6-BA39DDE707CC,Oak Leaves w/Acorns,,$0.00 ,Decorations,Gum Paste,,4.00E+11,$0.99 ,TRUE,FALSE,TRUE,$0.00 ,,43,12,45,11/17/2022 14:27,CK Products,FALSE,,,$0.00 
