Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
233d04e5-5afc-441d-bd2c-5ef466f4c37b,Asst'd Gum Paste Stars Gold/Black/Silver,,$0.00 ,Gumpaste,general,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$1.62 ,,8,0,0,11/9/2022 11:35,Fredal 586-773-3133,FALSE,,,$12.96 
c5de75d8-87d4-4e0f-80fb-288622b5e58f,"Fall Flowers Gumpaste 3.5""",,$0.00 ,Gumpaste,Fall,,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.94 ,,8,2,6,9/15/2022 16:59,Fredal 586-773-3133,FALSE,,,$23.52 
099a4bae-47bc-4f01-aec1-53f4731d7148,"Gum Paste ""Tiger Paw"" Shell 2.5""",,$0.00 ,Gumpaste,general,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.46 ,,10,0,0,,Fredal 586-773-3133,FALSE,,,$4.60 
90c80438-65ee-467c-b588-7473710c430e,"Gum Paste 5 Petal Diamante Flowers, 3ct.",,$0.00 ,Gumpaste,general,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.44 ,,5,1,4,4/22/2022 13:08,Fredal 586-773-3133,FALSE,,,$7.20 
45d7e3e2-72ac-4736-ac2c-51527c89850f,"Gum Paste Airy Ferns, 2ct.",,$0.00 ,Gumpaste,Leaves,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.40 ,,4,1,6,9/15/2022 16:59,Fredal 586-773-3133,FALSE,,,$9.60 
c8b2b1df-ea82-4a9d-a226-0a521b422a60,"Gum Paste Anemone 3.25"" - Black",,$0.00 ,Gumpaste,general,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$3.21 ,,6,1,,3/25/2022 12:08,Fredal 586-773-3133,FALSE,,,$19.26 
34b9b2bf-1505-40f8-b74f-dfeac2be8197,"Gum Paste Anemone 3.25"" - Purple",,$0.00 ,Gumpaste,general,,4.00E+11,$10.99 ,TRUE,FALSE,TRUE,$5.56 ,,4,1,,6/17/2022 16:12,Fredal 586-773-3133,FALSE,,,$22.24 
44f6a043-b988-435c-8931-4d20e9094380,"Gum Paste Anemone 3.25"" - Red",,$0.00 ,Gumpaste,general,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$4.36 ,,4,1,,,CK Products,FALSE,,,$17.44 
2dc8b8df-6133-475c-b3b3-f40b2a103e47,"Gum Paste Anemone 3.25"" - White",,$0.00 ,Gumpaste,general,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$3.21 ,,8,1,,3/25/2022 12:08,CK Products,FALSE,,,$25.68 
d159abc6-7cb0-4e68-8a14-fe4d8aebee27,Gum Paste Apple Blossom Spray with Leaves,,$0.00 ,Gumpaste,Flowers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.85 ,,5,1,6,,CK Products,FALSE,,,$14.25 
8c185687-2fbd-413f-ad8d-78ee6a27f8c4,Gum Paste Apricot Nectar Rose - Large,,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$1.94 ,,7,1,,9/15/2022 16:59,CK Products,FALSE,,,$13.58 
