Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
b2b63f4a-cba4-4690-8a0f-594e6d1d6fea,Jack O Lantern Sucker Hard Candy Mold 8H-3239,1,$1.59 ,Hard Candy Molds,Halloween,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.59 ,,1,1,3,10/4/2022 13:53,DecoPac,FALSE,,,$1.59 
8867ad68-a4fc-47bb-a35d-09944b145474,Skull Sucker Hard Candy Mold 8H-3262,2,$3.18 ,Hard Candy Molds,Halloween,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$1.59 ,,2,1,3,10/23/2021 13:32,DecoPac,FALSE,,,$3.18 
fa3b6fff-eb4f-4c1d-9f95-6bb6355b044c,"Black & Orange Sprinkles, 4oz.",,$0.00 ,Seasonal,Halloween,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.60 ,,0,0,0,10/31/2020 11:19,Sweet Stamp,FALSE,,,$0.00 
1ebe0c8a-d7f6-4d42-964d-19955b7571f4,BOO Silk Screen Stencil & Cutter combo,5,$33.75 ,Seasonal,Halloween,,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.75 ,,2,1,1,8/24/2022 15:03,Sweet Stamp,FALSE,,,$13.50 
702b57c5-5196-42ea-ae30-98de50c5675a,Halloween Fusion Mix 3oz.,,$0.00 ,Seasonal,Halloween,,4.00E+11,$3.89 ,TRUE,FALSE,TRUE,$0.80 ,,0,0,0,10/5/2021 15:47,Sweet Stamp,FALSE,,,$0.00 
9409c292-d8d3-4fd6-b97c-5104545e4db5,"Halloween Pumpkin Sprinkle Mix, 3oz.",,$0.00 ,Seasonal,Halloween,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$0.60 ,,0,0,0,10/27/2020 15:35,not tracked,FALSE,,,$0.00 
77890a54-885d-41b8-99fa-cbfefb313270,"Spooky Halloween Quins, 3oz.",,$0.00 ,Seasonal,Halloween,,4.00E+11,$3.29 ,TRUE,TRUE,TRUE,$0.29 ,,0,0,0,10/20/2021 15:02,Ateco,FALSE,,,$0.00 
47abf140-aef2-4eef-bff1-0a27d904c659,"Trick or Treat Quins, 3oz.",,$0.00 ,Seasonal,Halloween,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$0.74 ,,0,0,0,10/27/2021 16:53,Ateco,FALSE,,,$0.00 
35652a34-cc73-4d02-8ccd-c6a8772cd4df,Wilton 100ct 1.25” Skull/Crossbones Mini Baking Cups,,$0.00 ,Seasonal,Halloween,70896512680,4.00E+11,$2.19 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,,Ateco,FALSE,,,$0.00 
19a2ba40-277b-4a2f-af36-f9ea048c2818,Wilton 100ct 1” Bat Eyes Mini Baking Cups,,$0.00 ,Seasonal,Halloween,70896004437,4.00E+11,$2.19 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,10/14/2020 16:52,Ateco,FALSE,,,$0.00 
