Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
E38C6DB5-395E-42E1-B787-E5063F0B78C7,"1.25"" Plain Heart Choc Mold 90-1027",,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,3,1,3,9/27/2022 11:00,Wilton (WiltonForBusiness dot com),FALSE,,,$2.97 
7CE2D071-EC36-4B76-B486-D5B7E57689B5,"1-5/8"" Hearts Choc Mold 90-1035",,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.15 ,,4,1,3,8/4/2022 15:55,Wilton (WiltonForBusiness dot com),FALSE,,,$4.60 
3E9B0002-B898-4E20-9C20-D1E82B5C63C0,"3.75"" Heart Choc Mold 90-1300",,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,2,1,3,6/14/2022 14:59,Wilton (WiltonForBusiness dot com),FALSE,,,$1.98 
A40D2E85-7B33-4035-933E-CE245E5270C1,Deep Heart Choc Sucker Mold 90-1229,,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.54 ,,6,1,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$3.24 
F734E0C8-B42A-4A7C-A5F2-334BC125155F,Heart Oreo Choc Mold LOTP V153,,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,3,1,6,12/15/2021 10:31,Wilton (WiltonForBusiness dot com),FALSE,,,$2.70 
A4970800-B7D3-4A93-B2EB-F7DC122AB90F,Puffed Heart Choc Mold 90-1005,,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.20 ,,4,1,3,8/4/2022 15:55,not tracked,FALSE,,,$4.80 
6B963492-A602-471B-8611-839827BF060A,Small Plain Heart Choc Mold 90-1004,,$0.00 ,Chocolate Molds,Hearts,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.19 ,,3,1,3,6/30/2022 15:17,R&M International - MoreThanBaking dot com,FALSE,,,$3.57 
0A6B4E84-DAFA-4E96-9864-FAC0632AD98D,Duo Heart Dark Chocolate,,$0.00 ,Decorations,Hearts,,4.00E+11,$0.99 ,TRUE,FALSE,TRUE,$0.40 ,,126,2,1,,CK Products,FALSE,,,$50.40 
D58B6E61-E66A-4A11-BB74-E64C9C186AA1,"Gold Heart Cake Kit, 3pc.",,$0.00 ,Decorations,Hearts,,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.04 ,,2,1,2,10/7/2022 14:49,CK Products,FALSE,,,$10.08 
919B8EDF-3B69-4F3F-886F-D94E58A90F59,"Pink Tiny Icing Hearts 1/2"", 8ct.",,$0.00 ,Decorations,Hearts,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.78 ,,9,3,1,10/26/2022 16:07,not tracked,FALSE,,,$7.02 
F78AE0F8-2478-4751-8C27-0BF16055AFC9,"Rainbow Prism Heart Rings, 6ct.",,$0.00 ,Decorations,Hearts,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.65 ,,19,2,1,9/2/2022 14:09,Choklit Molds dot com,FALSE,,,$12.35 
4C5ADBF0-275B-43DA-9663-02155F10F598,"Red & Pink Teardrop Heart Asst, 6ct.",,$0.00 ,Decorations,Hearts,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.66 ,,13,2,24,2/12/2022 12:09,Choklit Molds dot com,FALSE,,,$8.58 
40239DE2-3C85-41AF-9A98-ED19F5A2FBBF,"Red Heart Sugars, 6ct.",,$0.00 ,Decorations,Hearts,,4.00E+11,$1.49 ,TRUE,FALSE,TRUE,$0.60 ,,21,3,1,2/12/2022 14:26,CK Products,FALSE,,,$12.60 
