Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
153C522B-094B-4AD0-9FBC-6BFB3E7E3BD2,"Holiday Color Cake Drums - Blue 10""",,$0.00 ,Drums,Holiday,,4.00E+11,$4.50 ,TRUE,TRUE,TRUE,$1.75 ,,0,0,,3/10/2021 15:15,not tracked,FALSE,,,$0.00 
4F94BC6A-7163-4DAE-9A7D-95AFD5202EB2,"Holiday Color Cake Drums - Blue 12""",,$0.00 ,Drums,Holiday,,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$2.25 ,,1,0,,4/16/2021 15:39,CK Products,FALSE,,,$2.25 
8E6C043F-E982-4AA1-B990-E5D44EA50C41,"Holiday Color Cake Drums - Blue 14""",,$0.00 ,Drums,Holiday,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.44 ,,0,0,,4/28/2021 11:03,CK Products,FALSE,,,$0.00 
61FB1A68-4D00-45A9-8972-E0B827084CB0,"Holiday Color Cake Drums - Blue 16""",,$0.00 ,Drums,Holiday,,4.00E+11,$7.00 ,TRUE,TRUE,TRUE,$3.47 ,,0,0,,9/17/2021 10:42,not tracked,FALSE,,,$0.00 
EE394D0B-AF75-4CC1-928F-3F0A86B0FA1F,"Holiday Color Cake Drums - Blue 6""",,$0.00 ,Drums,Holiday,,4.00E+11,$3.00 ,TRUE,TRUE,TRUE,$1.04 ,,3,0,,7/29/2022 13:36,CK Products,FALSE,,,$3.12 
870F7266-64B8-4A2A-A145-788ADA44328F,"Holiday Color Cake Drums - Blue 8""",,$0.00 ,Drums,Holiday,,4.00E+11,$3.50 ,TRUE,TRUE,TRUE,$1.26 ,,0,0,,4/27/2021 13:18,not tracked,FALSE,,,$0.00 
0A99C797-F61D-44A5-BBF1-61DC006BA063,"Holiday Color Cake Drums - Green 10""",,$0.00 ,Drums,Holiday,,4.00E+11,$4.50 ,TRUE,TRUE,TRUE,$1.75 ,,0,0,,3/16/2021 13:50,not tracked,FALSE,,,$0.00 
677F339C-6EFC-434C-A81E-5976C889E79B,"Holiday Color Cake Drums - Green 12""",,$0.00 ,Drums,Holiday,,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$2.25 ,,0,0,,3/12/2021 15:17,not tracked,FALSE,,,$0.00 
2F6BE6FD-2AB8-4DB4-AB97-6276F87F7BA4,"Holiday Color Cake Drums - Green 14""",,$0.00 ,Drums,Holiday,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.44 ,,0,0,,7/14/2021 13:26,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
4CA32448-256A-4E96-85DB-D1F3D4B059D8,"Holiday Color Cake Drums - Green 16""",,$0.00 ,Drums,Holiday,,4.00E+11,$7.00 ,TRUE,TRUE,TRUE,$3.47 ,,0,0,,12/14/2021 10:45,not tracked,FALSE,,,$0.00 
BF5F9FF5-11DA-4478-A156-5E2AB0CCFD72,"Holiday Color Cake Drums - Green 6""",,$0.00 ,Drums,Holiday,,4.00E+11,$3.00 ,TRUE,TRUE,TRUE,$1.04 ,,4,0,,10/4/2022 11:59,not tracked,FALSE,,,$4.16 
DCDD5705-6B3B-4D3D-A925-26927730BBCB,"Holiday Color Cake Drums - Green 8""",,$0.00 ,Drums,Holiday,,4.00E+11,$3.50 ,TRUE,TRUE,TRUE,$1.26 ,,0,0,,10/28/2021 16:44,not tracked,FALSE,,,$0.00 
CA49305C-1100-469E-9597-F1A9D9FB9DB6,"Holiday Color Cake Drums - Red 10""",,$0.00 ,Drums,Holiday,,4.00E+11,$4.50 ,TRUE,TRUE,TRUE,$1.75 ,,0,0,,2/17/2021 13:04,DecoPac,FALSE,,,$0.00 
00D0FCD6-61B4-4A14-93D8-F5C50AA3B980,"Holiday Color Cake Drums - Red 12""",,$0.00 ,Drums,Holiday,,4.00E+11,$5.00 ,TRUE,TRUE,TRUE,$2.25 ,,0,0,,5/4/2021 13:36,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
EF979ADE-291B-407F-85FA-0849B050B1D5,"Holiday Color Cake Drums - Red 14""",,$0.00 ,Drums,Holiday,,4.00E+11,$5.50 ,TRUE,TRUE,TRUE,$2.44 ,,0,0,,7/2/2021 14:14,not tracked,FALSE,,,$0.00 
9A89FA18-54E3-481D-B373-B5EC847A49E3,"Holiday Color Cake Drums - Red 16""",,$0.00 ,Drums,Holiday,,4.00E+11,$7.00 ,TRUE,TRUE,TRUE,$3.47 ,,0,0,,9/9/2022 15:56,not tracked,FALSE,,,$0.00 
356FE279-EB69-4C1D-AD4C-9CB85634C170,"Holiday Color Cake Drums - Red 6""",,$0.00 ,Drums,Holiday,,4.00E+11,$3.00 ,TRUE,TRUE,TRUE,$1.04 ,,0,0,,2/1/2022 10:33,not tracked,FALSE,,,$0.00 
50AEDE58-D376-4486-80CD-4619FEF19F3C,"Holiday Color Cake Drums - Red 8""",,$0.00 ,Drums,Holiday,,4.00E+11,$3.50 ,TRUE,TRUE,TRUE,$1.26 ,,1,0,,2/9/2021 15:51,not tracked,FALSE,,,$1.26 
