Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
c2e86e29-2e2b-4162-b25a-5b549d559663,"Buddy Valastro Italian Buttercream Icing, Vanilla, 13oz.",0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.96 ,,0,0,0,,DecoPac,FALSE,,,$0.00 
5b961ff9-20de-45d5-a878-dfa326813cc0,"Bulk CK White Royal Icing Mix, 16oz.",0,$0.00 ,Icing,general,,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.36 ,,0,0,0,2/19/2021 15:50,DecoPac,FALSE,,,$0.00 
783ad0fd-342b-493a-b4f6-7a9b73e32abc,"Caramel Icing, 24oz.",16,$53.28 ,Icing,general,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$3.33 ,,16,1,1,12/21/2022 10:23,DecoPac,FALSE,,,$53.28 
9c40ae15-2fc4-4c0c-89a8-0de988085ba5,Celebakes Black Royal Icing Mix 16oz.,0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.72 ,,0,8,12,4/26/2022 12:54,DecoPac,FALSE,,,$0.00 
9afdb563-2640-44a0-8426-219cebcbbaf8,Celebakes Buttercream Garden Green 14oz.,0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,7/22/2020 13:35,DecoPac,FALSE,,,$0.00 
393d0e9e-07ed-45f6-b9f2-e327ca043613,Celebakes Buttercream Icing Booming Black 14oz. ,0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,0,8/13/2020 11:51,DecoPac,FALSE,,,$0.00 
60ab546f-da5e-43a2-b63e-511bfde0d721,Celebakes Buttercream Icing Whimsical White 3.5lbs.,0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$19.99 ,TRUE,FALSE,TRUE,$8.68 ,,1,1,0,12/21/2022 16:10,DecoPac,FALSE,,,$8.68 
e83e06fe-9f84-4d94-acc2-1e7e91c5d02e,Celebakes Buttercream Icing Whimsical White 8lbs.,2,$45.60 ,Icing,general,7.45E+11,4.00E+11,$45.99 ,TRUE,FALSE,TRUE,$22.80 ,,2,1,0,12/10/2022 13:52,DecoPac,FALSE,,,$45.60 
8c6698c9-ea80-4469-915e-3e47c2cb92a2,"Celebakes Cookie Icing Tube, 10oz. - Blue",0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.27 ,,0,0,,12/18/2021 16:10,DecoPac,FALSE,,,$0.00 
9e758b83-9f57-4478-856b-3b10508ee4e3,"Celebakes Cookie Icing Tube, 10oz. - Pink",0,$0.00 ,Icing,general,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$2.27 ,,0,0,,4/13/2021 13:12,DecoPac,FALSE,,,$0.00 
