Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
c44d5b0c-c839-48f8-9cfb-fb286eb4e3cc,"Almond Flour, 1lb. ",0,$0.00 ,Ingredients,Nuts,,4.00E+11,$9.99 ,TRUE,FALSE,TRUE,$5.38 ,,3,1,5,3/2/2022 15:26,not tracked,FALSE,,,$16.14 
82e2fdab-5084-4c66-85e0-3f858f5e5b78,Almonds - Whole - 1 lb Raw,0,$0.00 ,Ingredients,Nuts,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$4.47 ,,0,0,,,not tracked,FALSE,,,$0.00 
20e7d56d-8b24-4db4-9c17-f401371800cb,Almonds - Whole - 1 lb Roasted,0,$0.00 ,Ingredients,Nuts,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$4.62 ,,1,0,,2/2/2021 11:33,not tracked,FALSE,,,$4.62 
35aab305-c2da-4d25-84f5-8672686b5355,Almonds - Whole - 1 lb Roasted/Salted,0,$0.00 ,Ingredients,Nuts,,4.00E+11,$8.99 ,TRUE,FALSE,TRUE,$4.62 ,,-1,0,,1/27/2021 16:46,not tracked,FALSE,,,($4.62)
c78cf0a8-973e-4e52-8257-a52331c36ee4,Almonds - Whole - 5 lb Raw,0,$0.00 ,Ingredients,Nuts,,4.00E+11,$39.99 ,TRUE,FALSE,TRUE,$22.35 ,,0,0,,,not tracked,FALSE,,,$0.00 
fecd7a08-a1a6-4950-a10d-d67b78c45e8d,Almonds - Whole - 5 lb Roasted,0,$0.00 ,Ingredients,Nuts,,4.00E+11,$39.99 ,TRUE,FALSE,TRUE,$23.10 ,,0,0,,,not tracked,FALSE,,,$0.00 
00a81c7b-729d-4948-b850-d6fd950bf1ad,Almonds - Whole - 5 lb Roasted/Salted,0,$0.00 ,Ingredients,Nuts,,4.00E+11,$39.99 ,TRUE,FALSE,TRUE,$23.10 ,,0,0,,,not tracked,FALSE,,,$0.00 
d089fcae-ad4f-4349-9bb3-105198024a9f,Americolor Flo-Coat Oil Candy Color,4,$13.00 ,Ingredients,general,6.80E+11,4.00E+11,$6.99 ,TRUE,FALSE,TRUE,$3.25 ,,4,2,12,8/4/2022 17:01,not tracked,FALSE,,,$13.00 
b0c40c27-3bd8-4f2f-ac90-0445b8adc839,"Americolor Soft Gel Paste Food Color - Bright White, 20oz.",11,$106.70 ,Ingredients,Colors,6.80E+11,4.00E+11,$19.99 ,TRUE,FALSE,TRUE,$9.70 ,,11,3,12,12/9/2022 16:20,not tracked,FALSE,,,$106.70 
ba44a6f3-b137-4110-97ab-832f2787d99b,Americolor Soft Gel Paste Food Color 4.5oz. - Regal Purple 230,5,$19.15 ,Ingredients,Colors,6.80E+11,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.83 ,,4,1,,10/22/2022 13:43,not tracked,FALSE,,,$15.32 
