Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
2ac04cd8-1c6c-43b6-b777-84b332364828,"Curling Ribbon 66ft, Morex/Berwick - Burgundy",,$0.00 ,Packaging,Keg-Curling,7.50E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.32 ,,4,1,,12/21/2022 15:23,CK Products,FALSE,,,$1.28 
1e93094e-a83f-4867-b7ac-0a610c0d552e,"Curling Ribbon 66ft, Morex/Berwick - Forest Green",,$0.00 ,Packaging,Keg-Curling,7.50E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.31 ,,12,2,,12/21/2022 15:23,CK Products,FALSE,,,$3.76 
e2e04df9-89ea-4f83-8900-58cc8193a683,"Curling Ribbon 66ft, Morex/Berwick - Gold",,$0.00 ,Packaging,Keg-Curling,7.50E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.34 ,,5,1,,10/28/2022 15:21,CK Products,FALSE,,,$1.70 
606cf3ca-89cd-41ba-95f8-a18457fea707,"Curling Ribbon 66ft, Morex/Berwick - Holographic Royal Blue",,$0.00 ,Packaging,Keg-Curling,26521237886,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.39 ,,8,1,,10/1/2022 11:59,CK Products,FALSE,,,$3.12 
4882d2d3-e78d-42c2-b0a4-fe779f90d53f,"Curling Ribbon 66ft, Morex/Berwick - Iridescent Pink",,$0.00 ,Packaging,Keg-Curling,26521028514,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.39 ,,13,1,,11/8/2022 15:23,CK Products,FALSE,,,$5.07 
19729648-f5c9-4145-be4b-28d5db6da3d8,"Curling Ribbon 66ft, Morex/Berwick - Iridescent White",,$0.00 ,Packaging,Keg-Curling,26521011585,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.38 ,,14,1,,12/6/2022 11:11,CK Products,FALSE,,,$5.36 
d28b4a61-3d12-4f49-8e47-0892275aad08,"Curling Ribbon 66ft, Morex/Berwick - Lavender",,$0.00 ,Packaging,Keg-Curling,7.50E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.32 ,,9,1,,11/15/2022 15:43,CK Products,FALSE,,,$2.88 
a3c9ce6d-91d3-4678-af33-24619302fb27,"Curling Ribbon 66ft, Morex/Berwick - Magenta/Beauty",,$0.00 ,Packaging,Keg-Curling,7.50E+11,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.31 ,,15,1,,7/16/2022 15:40,CK Products,FALSE,,,$4.68 
8f89f7e9-5efa-4768-8b0e-e8c69f03d26d,"Curling Ribbon 66ft, Morex/Berwick - Metallic Black",,$0.00 ,Packaging,Keg-Curling,26521099187,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.39 ,,3,1,,10/28/2022 15:21,CK Products,FALSE,,,$1.17 
a4a9b339-dfa7-469e-a338-9fab1288acb0,"Curling Ribbon 66ft, Morex/Berwick - Metallic Emerald Green",,$0.00 ,Packaging,Keg-Curling,26521028569,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.39 ,,1,2,,12/15/2022 14:43,CK Products,FALSE,,,$0.39 
