Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
A85A1EA9-AAAA-4C58-81B4-A031EC0A0CDB,Leaf Asst. Choc Mold 90-13064,,$0.00 ,Chocolate Molds,Leaves,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.83 ,,1,1,3,11/4/2022 14:26,not tracked,FALSE,,,$0.83 
9245B40A-68C1-47F0-AFB3-D40FFF02177E,"Leaf Choc Mold 1 3/8"" 90-13030",,$0.00 ,Chocolate Molds,Leaves,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.22 ,,2,1,3,11/17/2022 14:27,not tracked,FALSE,,,$2.44 
B05DED25-EF55-4873-B421-D7B32FCCED2B,"Leaf Choc Mold 1.25"" 90-13034",,$0.00 ,Chocolate Molds,Leaves,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.15 ,,2,1,3,12/7/2022 11:08,not tracked,FALSE,,,$2.30 
F74BEB2E-3F59-4683-8539-5349B81FA7CB,"Maple Leaf Choc Mold 1.75"" 90-13013",,$0.00 ,Chocolate Molds,Leaves,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.83 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.49 
837D1014-B1D4-4E96-807A-F9774AE21B98,"Rose Leaf Choc Mold 2 3/8"" 90-13040",,$0.00 ,Chocolate Molds,Leaves,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.00 ,,2,1,3,10/26/2022 11:23,R&M International - MoreThanBaking dot com,FALSE,,,$2.00 
548CD9BE-9FAA-47EA-B114-5DCAA8345798,Rose/Leaf Asst. Choc Mold 90-13069,,$0.00 ,Chocolate Molds,Leaves,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.04 ,,3,1,3,5/21/2022 12:45,not tracked,FALSE,,,$3.12 
45d7e3e2-72ac-4736-ac2c-51527c89850f,"Gum Paste Airy Ferns, 2ct.",,$0.00 ,Gumpaste,Leaves,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.40 ,,4,1,6,9/15/2022 16:59,Fredal 586-773-3133,FALSE,,,$9.60 
020b0a93-0d51-4228-a143-9e831ea29f19,"Gum Paste Eucalyptus Leaves, 2ct.",,$0.00 ,Gumpaste,Leaves,,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$4.70 ,,4,1,6,10/11/2022 17:07,CK Products,FALSE,,,$18.80 
959d10e2-b368-402f-8e53-f1aaf0445b0b,"Gum Paste Lily Leaves 3"" w/wire, 3ct.",,$0.00 ,Gumpaste,Leaves,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.78 ,,9,2,1,12/14/2022 13:04,CK Products,FALSE,,,$7.02 
495a32ac-9967-48f8-a559-d4f601d79b48,"Gum Paste Medium Rose Leaf, White, 1.75"", 6ct.",,$0.00 ,Gumpaste,Leaves,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.92 ,,5,2,1,8/4/2022 14:17,not tracked,FALSE,,,$4.60 
97c50ec8-f876-41cf-a3e3-7d68880dba2c,Gum Paste Rose Filler Leaves - Large,,$0.00 ,Gumpaste,Leaves,,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.69 ,,0,1,,10/18/2022 12:34,CK Products,FALSE,,,$0.00 
26bc9219-3fa6-4553-9b13-431cc1734727,Gum Paste Rose Filler Leaves - Small,,$0.00 ,Gumpaste,Leaves,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.85 ,,0,1,,12/15/2022 13:36,CK Products,FALSE,,,$0.00 
034ba98f-d44d-4860-8c47-e17933622a89,"Gum Paste Rose Leaf Filler 3""",,$0.00 ,Gumpaste,Leaves,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.31 ,,3,1,1,12/14/2022 13:04,CK Products,FALSE,,,$3.93 
