Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
C04CDCB9-D3C4-4510-98E4-CF43FA6F6422,"Ann Clark Dollar Sign Cookie Cutter 3.75""x2.25""",11,$8.80 ,Cookie Cutters,Letters and Numbers,8.18E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.80 ,,11,2,12,3/24/2022 11:04,CK Products,FALSE,,,$8.80 
36356CB4-1879-4903-97AF-AFEC9198C625,"Large State S Cookie Cutter 4.25""",0,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.75 ,,1,0,0,7/7/2022 10:35,CK Products,FALSE,,,$3.75 
188A6FCA-FE0C-4236-AFD9-296AA92D7ABA,"Michigan M Cookie Cutter 3"" Wide",0,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.00 ,,12,0,0,4/26/2022 16:52,CK Products,FALSE,,,$36.00 
7E4069CE-156F-4F84-8EF6-DA681FF919F5,Mini Alphabet Cutter set,0,$0.00 ,Cookie Cutters,Letters and Numbers,7.69E+11,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$9.25 ,,1,1,3,11/9/2022 10:40,CK Products,FALSE,,,$9.25 
2BEBFC6D-5411-4868-BBAC-0D58213738F9,Mom 3pc. Cookie Cutter Set,3,$12.48 ,Cookie Cutters,Letters and Numbers,7.69E+11,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.16 ,,3,1,6,4/29/2022 12:39,CK Products,FALSE,,,$12.48 
ECE878D7-FF36-4B86-B474-2BA739459888,"Number 6/9 Cookie Cutter, painted blue 2""x3"" ",0,$0.00 ,Cookie Cutters,Letters and Numbers,71581714662,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,-1,0,0,5/19/2022 13:09,CK Products,FALSE,,,$0.00 
DFAB4D75-5262-4E8F-8830-C2DA5B03A6EB,"Number 8 Cookie Cutter, painted red 3""x2 1/8""",10,$7.70 ,Cookie Cutters,Letters and Numbers,71581714686,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.77 ,,10,0,0,7/21/2022 14:21,CK Products,FALSE,,,$7.70 
2EFDB863-A105-4F77-9A30-053DE6F2B11B,"Number Cookie Cutters 3"" - 0",7,$4.86 ,Cookie Cutters,Letters and Numbers,71581014601,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.69 ,,7,2,,12/16/2022 14:30,CK Products,FALSE,,,$4.86 
84A20B4A-1C15-4FEE-B48E-4521FB844776,"Number Cookie Cutters 3"" - 1",11,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,7,2,,,CK Products,FALSE,,,$0.00 
16211959-1840-4063-81E2-E8F3917CA1BB,"Number Cookie Cutters 3"" - 2",10,$8.10 ,Cookie Cutters,Letters and Numbers,71581014625,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.81 ,,10,2,,12/10/2022 10:42,CK Products,FALSE,,,$8.10 
5CD2BD9E-FA46-4D50-9AC9-9A2116EB2211,"Number Cookie Cutters 3"" - 3",6,$4.92 ,Cookie Cutters,Letters and Numbers,71581014632,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.82 ,,6,2,,12/16/2022 14:30,CK Products,FALSE,,,$4.92 
770FCFB0-906D-4669-A693-532BCB1B990F,"Number Cookie Cutters 3"" - 4",12,$8.43 ,Cookie Cutters,Letters and Numbers,71581014649,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.70 ,,12,2,,9/14/2022 15:43,CK Products,FALSE,,,$8.43 
9C0668D1-8E5A-4FF2-8A24-F0DBACE3ED42,"Number Cookie Cutters 3"" - 5",4,$3.24 ,Cookie Cutters,Letters and Numbers,71581014656,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.81 ,,4,2,,9/21/2022 12:57,CK Products,FALSE,,,$3.24 
1B1199C7-8EC2-4E20-BE53-1D9931927E0A,"Number Cookie Cutters 3"" - 6",11,$5.72 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.52 ,,11,2,,7/21/2022 14:21,Webstaurant store,FALSE,,,$5.72 
2294F74B-BE16-42BC-AE4F-4E2D340DE022,"Number Cookie Cutters 3"" - 7",6,$2.58 ,Cookie Cutters,Letters and Numbers,71581014670,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.43 ,,6,2,,8/27/2022 15:25,Nashville Wraps,FALSE,,,$2.58 
9CF68B24-2F42-43D8-BD16-16B898A1A200,"Number Cookie Cutters 3"" - 8",12,$6.24 ,Cookie Cutters,Letters and Numbers,71581014687,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.52 ,,12,2,,,not tracked,FALSE,,,$6.24 
15C4FBE0-3803-41EF-A172-B37A64158D7C,"Number Cookie Cutters 3"" - 9",0,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,,not tracked,FALSE,,,$0.00 
A469AC9B-38CA-4B59-86E4-A5DBD8241C96,"Ohio O Cookie Cutter 3"" Tall",5,$13.75 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.75 ,,5,1,6,3/11/2022 12:56,R&M International - MoreThanBaking dot com,FALSE,,,$13.75 
762D5D8C-5778-4361-9CD3-E45992FDE389,"Pi Symbol Cookie Cutter 3.75""",10,$9.20 ,Cookie Cutters,Letters and Numbers,8.18E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.92 ,,10,2,12,3/5/2022 16:05,R&M International - MoreThanBaking dot com,FALSE,,,$9.20 
545BF8B3-5AF5-4A77-9E99-EAF8FD6C975B,"Question Mark Cookie Cutter, 4""",10,$25.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.50 ,,10,2,12,1/4/2022 10:52,R&M International - MoreThanBaking dot com,FALSE,,,$25.00 
D5DB1FD5-BBBD-4CC0-9C4D-58D2D080F226,"State S Cookie Cutter 3"" Tall",0,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.75 ,,0,0,0,6/30/2022 14:33,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
CE4FC20E-B2A5-4A89-A778-913FF58B2CA4,"Sweet Stuff Large ""S"" Cutter, 4.25""x3.25",4,$15.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.75 ,,4,2,6,10/26/2022 12:18,AnnClarkCookieCutters dot com,FALSE,,,$15.00 
A0F4CE6F-4E5A-40F7-8AFB-7F579DED29DC,"Sweet Stuff Medium ""M"" Cutter 3.75""x2.75""",0,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.25 ,,0,2,12,10/7/2022 11:31,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
BB10585C-07AA-4247-BFD5-D2C2D4BCA3AF,"Sweet Stuff Small M Cutter 3""x2.5""",5,$13.75 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.75 ,,5,2,2,12/7/2022 15:56,AnnClarkCookieCutters dot com,FALSE,,,$13.75 
6D167441-BCAA-4270-81C4-308FF398B0EF,"Sweet Stuff Small S Cutter 3""x2.25""",0,$0.00 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.75 ,,0,2,6,9/16/2022 12:25,Linneas Inc dot com,FALSE,,,$0.00 
8480FE2C-F116-4B1B-8FD4-7E78C55306A8,"Varsity ""S"" Cookie Cutter, 3.5""x2.5""",7,$31.50 ,Cookie Cutters,Letters and Numbers,,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.50 ,,1,1,0,10/7/2022 11:31,AnnClarkCookieCutters dot com,FALSE,,,$4.50 
