Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
FBFFB33E-7D2E-46FC-87B8-BF3E379BFEFF,"4"" Letter A-B-C Choc Mold 90-14250",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,4,2/22/2022 15:52,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
4A8B7453-1BA4-4F0F-A6EA-B2A800006D00,"4"" Letter D-E-F Choc Mold 90-14251",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,3,2/22/2022 15:52,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
3CA8D326-3172-4985-B9C9-8EACF4A60D14,"4"" Letter G-H-I Choc Mold 90-14252",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,13,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$10.40 
CB3566F3-5FD3-466B-8834-D500D7F5B1C2,"4"" Letter P-Q-R Choc Mold 90-14255",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,7/29/2021 16:48,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
EBC7E1DF-D647-4FF3-95CF-D81FFF8A05E2,"4"" Letter S-T-U-V Choc Mold 90-14256",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,5,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$4.00 
9FD5A376-2E31-438D-A018-353CFC406E7F,"4"" Letter X-Y-Z Choc Mold 90-14257",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,6,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$4.80 
F96F9909-5E21-436D-9824-6C615451132D,"Collegiate ""F"" Chocolate Mold 90-14325",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
2AE31FB0-1E2B-464A-92CF-75949CFE73FB,"Collegiate ""I"" Chocolate Mold 90-14328",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
D2AD800B-5F15-4ED0-87DE-C05B6B201D08,"Collegiate ""U"" 90-14340",,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
F2D145AB-2EA9-4A5A-8592-04C570B3FF4B,Greek Letters N-Omega Choc Mold LOTP L055,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,0,1,6,4/8/2021 11:39,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
304D6F81-15DA-42E5-A886-2962B7277D35,Initial E-F-G-H Sucker Choc Mold 90-14281,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,1,,not tracked,FALSE,,,$0.80 
CB75EC83-A3B5-4754-8996-CCA05D97A30D,Initial I-J-K-L Sucker Choc Mold 90-14282,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,5/18/2022 15:17,not tracked,FALSE,,,$3.15 
189F9ED4-F99C-4110-8801-4CA6F6E62BFA,Initial M-N-O-P Sucker Choc Mold 90-14283,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,5/18/2022 15:17,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
3F4DC5DC-4482-44CA-B649-C925209C3EC3,Initial Q-R-S-T Sucker Choc Mold 90-14284,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,2,5/18/2022 15:17,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
E9B63154-D470-4ADC-A499-982D9BACDBF3,Initial U-V-W-X Sucker Choc Mold 90-14285,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,5/18/2022 15:17,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
C22788D5-4348-4760-B8AD-165CFD26F69C,Letter A-I Choc Mold 90-14274,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.19 ,,3,1,3,6/14/2022 10:26,Wilton (WiltonForBusiness dot com),FALSE,,,$3.57 
A145BC1E-C9F7-4023-B83E-94A8109C6D9D,Letter J-R Choc Mold 90-14275,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,,not tracked,FALSE,,,$1.60 
87990F82-F67D-4F1E-AD73-6C512E82EE2C,Letter S-Z Choc Mold 90-14276,,$0.00 ,Chocolate Molds,Letters,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,7/31/2021 11:10,not tracked,FALSE,,,$2.40 
