Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
782d9600-7fc6-4075-9549-2bb6d001fb09,Make-N-Take December 2020 - Dark/Silver & Gold,,$0.00 ,Events,Make-N-Take,,4.00E+11,$6.00 ,TRUE,TRUE,TRUE,$1.50 ,,0,0,,12/4/2020 14:42,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
82e8d296-e14e-47a5-bed5-92fc55cb248d,Make-N-Take December 2020 - Milk/Hot Chocolate,,$0.00 ,Events,Make-N-Take,,4.00E+11,$6.00 ,TRUE,TRUE,TRUE,$1.50 ,,0,0,,12/5/2020 13:47,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
8d995d97-abf6-464f-829e-ac19cde71f84,Make-N-Take December 2020 - Surprise Me!,,$0.00 ,Events,Make-N-Take,,4.00E+11,$6.00 ,TRUE,TRUE,TRUE,$1.50 ,,0,0,,12/2/2020 17:17,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
18f0d0b1-7886-490b-ae06-749acfe72c8e,Make-N-Take December 2020 - White/Peppermint,,$0.00 ,Events,Make-N-Take,,4.00E+11,$6.00 ,TRUE,TRUE,TRUE,$1.50 ,,0,0,,12/5/2020 15:38,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
9c5266f2-0d45-4c9f-8bd9-2a591c9a5830,Make-N-Take December 2021,,$0.00 ,Events,Make-N-Take,,4.00E+11,$10.00 ,TRUE,TRUE,FALSE,,3,0,0,0,12/4/2021 14:41,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
8782d9bc-d6a5-4eb7-8ea1-2971cae74821,Make-N-Take December 2022,,$0.00 ,Events,Make-N-Take,,4.00E+11,$6.00 ,TRUE,FALSE,FALSE,,1.5,0,0,0,12/9/2022 16:23,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
3ef169b4-6158-4e3e-9f95-84462c4f6f22,Make-N-Take February 2021,,$0.00 ,Events,Make-N-Take,,4.00E+11,$10.00 ,TRUE,TRUE,TRUE,$4.00 ,,0,0,0,2/6/2021 11:45,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
b63b1439-a314-4ebe-873b-d08be0f6ab90,Make-N-Take February 2022,,$0.00 ,Events,Make-N-Take,,4.00E+11,$10.00 ,TRUE,TRUE,TRUE,$3.00 ,,-3,0,0,1/27/2022 13:55,Wilton (WiltonForBusiness dot com),FALSE,,,($9.00)
79c227f0-1cdd-416a-a90b-ee527ab40623,Make-N-Take July 2021,,$0.00 ,Events,Make-N-Take,,4.00E+11,$2.00 ,TRUE,TRUE,TRUE,$0.40 ,,0,0,0,7/17/2021 16:12,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
53094c17-38bc-464a-b5cc-df53bfa3f2ec,Make-N-Take July 2022,,$0.00 ,Events,Make-N-Take,,4.00E+11,$7.00 ,TRUE,FALSE,FALSE,,4.75,0,0,0,7/16/2022 15:49,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
