Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
9f8268d4-fa74-4bf4-b62a-b2c4ffba8b2a,Wilton 24 cup Mini Muffin Pan,,$0.00 ,Pans,Muffin & Mini muffin,70896593139,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,1,1,7/12/2022 14:08,CK Products,FALSE,,,$0.00 
ff2b1d2c-8080-404a-9a2d-cf643d59e1a6,Wilton Ever Glide 12cup Muffin Pan,,$0.00 ,Pans,Muffin & Mini muffin,70896179449,4.00E+11,$22.99 ,TRUE,TRUE,TRUE,$11.71 ,,3,1,3,9/28/2022 19:17,Cookie Countess Wholesale dot com,FALSE,,,$35.13 
3a30e415-9889-4fee-991f-6149a4f49d94,Wilton Ever Glide Mini Muffin Pan 24 cavity,,$0.00 ,Pans,Muffin & Mini muffin,70896179470,4.00E+11,$26.99 ,TRUE,TRUE,TRUE,$13.19 ,,3,1,3,,Cookie Countess Wholesale dot com,FALSE,,,$39.57 
6a0cdd58-a8cb-4781-ab8b-2b77a24ef232,"Wilton Jumbo Muffin Pan, 6 cavity",,$0.00 ,Pans,Muffin & Mini muffin,70896218209,4.00E+11,$23.99 ,TRUE,TRUE,TRUE,$11.39 ,,2,1,3,7/19/2022 12:31,DecoPac,FALSE,,,$22.78 
4fe81a2b-0a52-4749-8719-f1773ee53102,Wilton Perfect Results Non-stick Mini Muffin Pan 48 cavity,,$0.00 ,Pans,Muffin & Mini muffin,70896167460,4.00E+11,$29.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,1,1,6/9/2022 14:11,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$0.00 
f632b924-d490-4ce3-ade2-295deded631e,Wilton Perfect Results Non-stick Muffin Pan 24 cavity,,$0.00 ,Pans,Muffin & Mini muffin,70896069665,4.00E+11,$18.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,6/8/2021 12:00,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$0.00 
d4cb3bbf-b745-4869-b9b9-6e3c020b681f,Wilton Recipe Right Jumbo Muffin Pan 6-cavity,,$0.00 ,Pans,Muffin & Mini muffin,70896590558,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.13 ,,4,1,6,12/23/2022 15:36,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$20.52 
df3abe40-c2b3-4109-b858-b8c58d058b05,Wilton Recipe Right Non-Stick 12-Cup Muffin Pan,,$0.00 ,Pans,Muffin & Mini muffin,70896590541,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.13 ,,0,0,0,9/10/2022 14:21,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$0.00 
6f041dfd-7b0e-4346-bbf8-85dcab9ad060,Wilton Recipe Right Non-Stick 24-Cup Mini-Muffin Pan,,$0.00 ,Pans,Muffin & Mini muffin,70896219145,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,7/29/2021 13:35,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$0.00 
c09268c9-6669-4d56-ad31-7efc68737735,Wilton Recipe Right Non-Stick 6-Cup Muffin Pan,,$0.00 ,Pans,Muffin & Mini muffin,70896590534,4.00E+11,$5.49 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,8/18/2020 11:02,Yum Crumbs - HelloAbound dot com - search for Yum Crumbs,FALSE,,,$0.00 
