Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
894352b2-8fc6-4b8a-8fe4-da0b4a13dd37,"Celebakes Caramel Bits, 16oz.",,$0.00 ,Non-Taxable General,Non-Taxable General,7.45E+11,4.00E+11,$9.99 ,TRUE,FALSE,TRUE,$4.84 ,,0,0,0,11/26/2021 10:48,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
35fa0321-c366-4fd0-a4ea-473b5bcb4ae1,Celebakes CMC Powder 1.76oz.,,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$4.99 ,TRUE,FALSE,TRUE,$1.55 ,,5,1,6,12/2/2022 10:40,Wholesale Sugar Flowers dot com,FALSE,,,$7.75 
ad18aaa1-be5c-491a-a293-f05bc22412bd,"Celebakes Pan Grease, 14oz.",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$7.99 ,TRUE,FALSE,TRUE,$3.99 ,,0,1,3,3/1/2022 13:41,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
2b59bc19-24a5-48e5-946b-033e6b97f0c7,Celebakes Piping Gel 16oz.,0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$11.49 ,TRUE,FALSE,TRUE,$5.60 ,,0,1,4,6/30/2022 10:52,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
ec8d92fb-1fab-42c8-b27e-82dd0c662f28,"Celebakes Shimmering Write-On Gel, 1.5oz. - Blue",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.91 ,,0,0,,6/22/2021 12:19,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
9641535f-a8f4-44c7-b80e-c381050697b1,"Celebakes Shimmering Write-On Gel, 1.5oz. - Gold",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.91 ,,0,0,,4/8/2022 16:19,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
cea94bf0-4103-4fff-8b93-8554f89bf309,"Celebakes Shimmering Write-On Gel, 1.5oz. - Green",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.91 ,,0,0,,12/16/2021 16:01,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
76363721-4c32-4494-be3e-388933eeef3c,"Celebakes Shimmering Write-On Gel, 1.5oz. - Silver",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.91 ,,0,0,,10/4/2022 13:51,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
222f787a-4d20-4185-a0dc-1d585bfc3eea,"Celebakes Shimmering Write-On Gel, 1.5oz. - White",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.91 ,,0,0,,12/22/2021 13:55,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
f9b87ee6-6bb9-4426-851c-5fea21c9320c,"Celebakes Shimmering Write-On Gel, 1.5oz. - Yellow",0,$0.00 ,Non-Taxable General,general,7.45E+11,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.91 ,,0,0,,3/26/2022 11:39,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
