Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
B7F685C3-C839-49EA-A068-220EDAC244A3,"""1"" Sucker Choc Mold CML3429",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.94 ,,3,1,4,12/8/2021 10:35,Wilton (WiltonForBusiness dot com),FALSE,,,$2.82 
99B574A0-D3EE-480E-A863-28C1E7078D36,"""13"" Sucker Choc Mold LOTP L10",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,2,1,3,4/7/2021 17:04,Wilton (WiltonForBusiness dot com),FALSE,,,$1.80 
0F2C3BCD-AE89-4543-862E-2D65378EC7DD,"""15"" Sucker Choc Mold 90-12120",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,4,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$3.20 
54004152-4D59-4693-8A00-135B928B7C71,"""2"" Sucker Choc Mold CML 3430",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,10,1,12,9/24/2021 13:03,Wilton (WiltonForBusiness dot com),FALSE,,,$8.00 
C470BD83-72E8-4530-9438-E5D7FCC10F89,"""21"" Choc Sucker Mold 2"" 90-12122",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,3,9/29/2022 12:19,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
9011AB20-5314-4D15-BCF5-95FDD0EB012E,"""25"" Cookie Choc Mold LOTP L042",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,0,0,,not tracked,FALSE,,,$2.40 
B5F6EAC7-0D30-4EB9-BFA9-B418D7AC4436,"""3"" Sucker Choc Mold CML3431",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.97 ,,2,1,4,9/24/2022 14:58,Wilton (WiltonForBusiness dot com),FALSE,,,$1.94 
FBF6DEC3-787A-46D3-AE8F-F7832263CF02,"""3"" Sucker Choc Mold LOTP L048",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,1,5/15/2021 13:33,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
496D3C66-0581-4539-8A7E-A728C76295C0,"""30"" Plain Lolly Choc Mold LOTP L059",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
39823844-FCD6-45CF-8E9B-551210157FB6,"""40"" Choc Mold 90-11340",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,5/12/2022 13:20,Wilton (WiltonForBusiness dot com),FALSE,,,$3.15 
7A6CA674-9489-4550-95D4-996009C3DEF2,"""50"" Choc Mold 90-11352",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,3,11/9/2022 13:27,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
6918D7AF-B6E0-40E3-9FD6-A3CE474EAA39,"""50"" Cookie Choc Mold 90-161104",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,4,1,3,3/12/2022 15:56,Wilton (WiltonForBusiness dot com),FALSE,,,$3.20 
750F27C0-EEF6-446B-9CA3-00BA60C8C96E,"""50"" Sucker Choc Mold 90-12124",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,4,1,5,3/12/2022 15:56,Wilton (WiltonForBusiness dot com),FALSE,,,$3.20 
2E24FA73-AFE6-475E-A7A6-D47C9CEA31AC,"""60"" Choc Mold 90-11360",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,2,4/19/2022 16:10,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
E2C156D7-2267-4259-9E5E-DA340AFEFA0D,"""80"" Choc Mold 90-11380",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,0,0,0,11/2/2022 16:07,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
F122DE26-E77B-448E-B2EF-2A25D247B9D5,"""9"" Sucker Choc Mold LOTP L058",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,6,5/15/2021 13:33,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
57C32E6C-19E7-4BDE-B055-BBEE7FBC0C0E,Asst'd Numbers Choc Mold 90-14237,,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.16 ,,1,1,3,11/17/2022 14:27,Wilton (WiltonForBusiness dot com),FALSE,,,$1.16 
159BB82B-EB49-4F98-9142-92D5DAE346CB,"Collegiate ""1"" Choc Mold 90-14311",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,5,1,3,5/19/2021 12:10,Wilton (WiltonForBusiness dot com),FALSE,,,$4.00 
998936DA-F41F-4C07-96E5-FB121DEFA767,"Collegiate ""3"" Choc Mold 90-14313",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,3,3/22/2022 10:53,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
A68EC86D-95F7-479F-94A9-ADE931447973,"Collegiate ""4"" Choc Mold 90-14314",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,9/7/2022 10:44,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
A63FB595-954D-4007-AC41-1E23E58A431B,"Collegiate ""6"" Choc Mold 90-14316",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.80 
A35CE64A-6618-451A-8430-1803F4D40BD4,"Collegiate ""7"" Choc Mold 90-14317",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$3.15 
1BD9FFA9-FD5F-426B-B9A5-342737463E41,"Collegiate ""8"" Choc Mold 90-14318",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
3B8A321F-F51A-42E3-A1D4-421797BA07E8,"Large #1 Choc Mold 7""x5.75""x0.5"" LOTP L002",,$0.00 ,Chocolate Molds,Numbers,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.90 ,,4,1,6,5/1/2021 15:56,Wilton (WiltonForBusiness dot com),FALSE,,,$3.60 
