Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
49042C07-B9FC-4F17-ABAB-D7D192F6D123,"False Teeth 2.5"" Choc Mold 90-9654",,$0.00 ,Chocolate Molds,Occupation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,2,1,3,5/18/2022 15:17,Wilton (WiltonForBusiness dot com),FALSE,,,$2.10 
B4A3CF68-1E44-4814-BEF3-34A167326032,"Fire Truck 1 3/4"" Choc Mold 90-14614",,$0.00 ,Chocolate Molds,Occupation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,0,1,3,12/20/2022 14:29,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
628806A4-52A2-45DF-8876-C925921F6611,"Police Badge 3"" Choc Mold 90-14691",,$0.00 ,Chocolate Molds,Occupation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.11 ,,3,1,3,11/4/2022 14:39,not tracked,FALSE,,,$3.33 
F47414DB-86EB-44B9-A541-E8B6811921EE,"Ann Clark Crayon Cookie Cutter 3.75""x1.5""",5,$4.70 ,Cookie Cutters,Occupation,8.18E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.94 ,,5,1,12,9/3/2022 14:02,not tracked,FALSE,,,$4.70 
BC01CB41-6C51-4AA3-AFC1-F5AF795DA205,"Ann Clark Flour Box Camera 4""x3""",10,$9.40 ,Cookie Cutters,Occupation,8.72E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.94 ,,10,1,12,5/10/2022 16:48,PME,FALSE,,,$9.40 
0AA6D2EC-8AC0-41C9-86EE-1E110AEFF74C,"Drill Cookie Cutter 5""x3.5""",2,$0.00 ,Cookie Cutters,Occupation,71581010931,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,12,5/26/2021 14:02,CK Products,FALSE,,,$0.00 
20D53FC9-D89D-4C3E-9592-807182AE70FD,"Fire Truck Cookie Cutter, 5""",12,$11.64 ,Cookie Cutters,Occupation,71581013871,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.97 ,,12,2,1,,CK Products,FALSE,,,$11.64 
460996D1-987B-4CC4-9B40-176F6050DEAE,"Lab Coat Cookie Cutter 4""x2.75""",5,$2.80 ,Cookie Cutters,Occupation,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.56 ,,5,2,12,8/12/2022 13:04,CK Products,FALSE,,,$2.80 
4AF46484-88D7-4F7E-A762-DEBC24497544,"Pill Oblong Cookie Cutter 3.75"" (1046)",12,$9.72 ,Cookie Cutters,Occupation,71581010467,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.81 ,,12,2,1,,R&M International - MoreThanBaking dot com,FALSE,,,$9.72 
DAF14B3D-4B1C-42E8-AC6A-4FE4859226C9,"Pill Rx Bottle 3.75""",2,$0.10 ,Cookie Cutters,Occupation,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.05 ,,2,1,6,9/10/2022 11:21,R&M International - MoreThanBaking dot com,FALSE,,,$0.10 
6E25F222-1642-4BC0-B1BD-D3B2E9B065C7,R&M Home Sweet Home Cookie Cutter 3pc. Set,6,$24.96 ,Cookie Cutters,Occupation,7.69E+11,4.00E+11,$8.49 ,TRUE,TRUE,TRUE,$4.16 ,,6,1,1,,R&M International - MoreThanBaking dot com,FALSE,,,$24.96 
FCA4368D-B270-485C-B51C-AA1EE6E5E895,"Toothbrush Cookie Cutter 5.5""x1.75""",0,$0.00 ,Cookie Cutters,Occupation,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
