Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
BB0ADBEF-8CCF-410B-8EB5-D385A3A8C404,Acorn and Oak Leaf 5-Cavity Oreo Mold 90-16311,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,11/9/2021 11:39,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
1F4EA6CC-E0AE-4A0B-B362-341225D3CB16,Autism 5-Cavity Oreo Mold 90-16804,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,10/29/2022 13:25,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
3FD65FAA-B3CC-4A50-AB76-071422378258,Bells Oreo Mold 90-161501,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.29 ,,3,1,3,12/10/2022 14:26,Wilton (WiltonForBusiness dot com),FALSE,,,$3.87 
59895022-ED7A-419B-B7CF-F3DAB8DDC059,Dinosaur Oreo Mold 90-169102,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,2,1,3,2/17/2022 12:28,Wilton (WiltonForBusiness dot com),FALSE,,,$2.10 
772D3C9D-2A02-4A9A-BC0C-7B0994F95CF3,Dollar Sign ($) Oreo Choc Mold 90-161341,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,,not tracked,FALSE,,,$3.15 
1A52DFC3-6CD6-4456-AC81-63080EC38824,Double Heart Oreo Mold 90-16002,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,3,2/5/2022 12:07,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
32CD0061-E4F4-4BBA-9FEA-CE2C52B6AE99,Girl Scout 4-Cavity Oreo Mold 1657,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,6,1,3,12/10/2021 15:36,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
C687138F-38D9-4303-BC5F-728DEAB1274D,Lighthouse and Anchors 5-Cavity Oreo Mold 90-161288,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,0,10/15/2022 11:31,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
F5544EBF-A128-43D0-8ACC-207F6E9DA085,L-O-V-E Oreo Choc Mold 90-16001,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.01 ,,7,1,3,2/5/2022 12:07,Wilton (WiltonForBusiness dot com),FALSE,,,$7.07 
17A24500-D416-463B-B097-85657F00F004,Mini Oreo Choc Mold LOTP AO146,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,0,1,6,12/20/2022 14:29,not tracked,FALSE,,,$0.00 
C435E4E8-6EE6-47F7-ADF3-D123F2589648,Nutter Butter Choc Mold CML 1680,,$0.00 ,Chocolate Molds,Oreo Molds,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,0,0,4/22/2021 12:19,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
