Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
0362a07c-5ea7-48dd-a479-59e262e93324," Clear Cylinder  - 1 7/8"" x 1 7/8""",,$0.00 ,Packaging,general,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,26,0,,10/19/2022 13:39,not tracked,FALSE,,,$0.00 
177a0161-b40b-4bf0-9fc2-4b534ec16900," Clear Cylinder  - 2""x2""",,$0.00 ,Packaging,general,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.96 ,,2,0,,10/6/2022 11:13,not tracked,FALSE,,,$1.92 
05bcd258-3394-49ee-8b14-24f7f7f3887b," Clear Cylinder  - 3"" x 5""",,$0.00 ,Packaging,general,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.00 ,,2,0,,7/26/2022 16:07,not tracked,FALSE,,,$0.00 
b80dc3b4-adcf-4b37-814e-2b772c1ea754," Clear Cylinder  - 3"" x 7.5""",,$0.00 ,Packaging,general,,4.00E+11,$1.59 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,,12/18/2020 15:34,not tracked,FALSE,,,$0.00 
6c9f907e-b110-4d88-909f-4a083a075f1d," Clear Cylinder  - 3""x3""",,$0.00 ,Packaging,general,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.13 ,,1,0,,2/5/2022 15:01,not tracked,FALSE,,,$1.13 
f0c736b1-62fc-4d30-8665-72cc6eab5044,"#4 Gold Candy/Baking Cup, approx 115ct.",,$0.00 ,Packaging,general,,4.00E+11,$4.29 ,TRUE,TRUE,TRUE,$2.00 ,,13,3,17,12/16/2022 12:37,not tracked,FALSE,,,$26.00 
48ce3918-3d8d-4fe8-ab89-9447c55cc096,0.25lb Small Candy Box 4.5” x 2.38” x 1.13”,,$0.00 ,Packaging,general,,4.00E+11,$0.55 ,TRUE,TRUE,TRUE,$0.00 ,,0,10,200,12/13/2022 14:08,not tracked,FALSE,,,$0.00 
ba20e10f-cdd2-4bb4-9bd7-96aff1d1e4ed,"0.25lb, 1-piece, 1-layer Candy Box 4.5”x3.5”x1.13”",,$0.00 ,Packaging,general,,4.00E+11,$0.75 ,TRUE,TRUE,TRUE,$0.36 ,,28,0,0,12/10/2021 12:01,not tracked,FALSE,,,$10.08 
0bb1b089-9484-4a8f-8d70-40c10942316a,0.5# Gold Foil 1-pc 2-Layer Candy Box 5.5” x 2.75” x 1.75”,,$0.00 ,Packaging,Candy boxes,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.73 ,,16,5,25,12/21/2022 15:11,not tracked,FALSE,,,$11.68 
1f9ce849-3678-4511-ad66-c221516a44a8,"0.5# Leaf Green Candy Box, 5.5""x2.75""x1.75""",,$0.00 ,Packaging,Candy boxes,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.28 ,,8,0,0,3/2/2022 16:09,not tracked,FALSE,,,$2.24 
919b1e01-0cb1-4bb6-a15a-fec5f3ed88eb,0.5# Single Layer Two-piece Brown Base White Lid,,$0.00 ,Packaging,Candy boxes,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,40,10,125,12/10/2022 11:56,not tracked,FALSE,,,$0.00 
