Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
ECD1BB7D-1A56-4840-968F-5AD095614433,5-pack Candy Box Pad 4.25” x 2.38” ,4,$1.60 ,Candy Boxes,Pads,,4.00E+11,$1.09 ,TRUE,TRUE,TRUE,$0.40 ,,4,1,10,12/11/2021 12:09,Fox Run,FALSE,,,$1.60 
7D19EC33-ECA4-4A1A-A35C-951A0A6B8827,5-pack Candy Pad 3.375” Square,5,$2.40 ,Candy Boxes,Pads,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.48 ,,5,1,5,11/5/2022 10:29,Fox Run,FALSE,,,$2.40 
7DF94559-5FB2-4FC4-9424-A018937B5CC9,Candy Pad 0.25# 10ct 4.44” x 3.44”,10,$0.00 ,Candy Boxes,Pads,,4.00E+11,$1.59 ,TRUE,TRUE,TRUE,$0.00 ,,10,2,20,1/27/2022 12:04,Fox Run,FALSE,,,$0.00 
DDA6D8F6-69DB-4AB7-B3CF-A47320AAF45D,Candy Pad 10ct Gold Foil 0.5# 4.25” x 6.88”,4,$3.08 ,Candy Boxes,Pads,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.77 ,,4,2,12,10/5/2021 12:53,Linneas Inc dot com,FALSE,,,$3.08 
780613D7-1D63-43BD-A049-C9A37B89BA5D,Candy Pad 10ct White 1# 3.31” x 6.94”,10,$0.00 ,Candy Boxes,Pads,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.00 ,,10,2,10,6/9/2022 13:43,Fox Run,FALSE,,,$0.00 
95726F82-8EF6-4A05-9C92-FDC5E6E1E1C1,Candy Pad 5ct 1# or 2#  8.88” x 5.5” 9-125/50-1754 - Gold,8,$13.91 ,Candy Boxes,Pads,,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.74 ,,8,3,,10/14/2022 17:10,Fox Run,FALSE,,,$13.91 
AF671DA1-BCFA-4B84-9C87-5904CB7888AA,Candy Pad 5ct 1# or 2#  8.88” x 5.5” 9-125/50-1754 - White,5,$2.98 ,Candy Boxes,Pads,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.60 ,,5,5,,12/13/2022 11:16,Fox Run,FALSE,,,$2.98 
AD68D162-68A1-413D-81E3-780A3A023488,Candy Pad 5ct Gold Floral Print 1# 9.13” x 5.88”,13,$10.14 ,Candy Boxes,Pads,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.78 ,,13,5,20,11/16/2022 14:10,Fox Run,FALSE,,,$10.14 
814EEA4E-DE9D-471D-A96C-5EC02976B456,"Candy Pad 5ct Gold Foil 0.5#  4 1/4” x 6 5/8""",6,$7.14 ,Candy Boxes,Pads,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.19 ,,6,1,10,12/3/2022 10:23,Fox Run,FALSE,,,$7.14 
334E82FA-13E7-43A7-82E8-B5774E5FC860,Candy Pad 5ct White 0.5# 2.69” x 5.44”,2,$0.52 ,Candy Boxes,Pads,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.26 ,,2,2,20,12/21/2022 10:59,Fox Run,FALSE,,,$0.52 
2E6AF887-2FEC-40C1-91E5-EA3669A3A82A,Candy Pad 5ct White 2#  8.88” x 4.5”,3,$0.00 ,Candy Boxes,Pads,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,3,2,15,12/8/2022 14:50,Fox Run,FALSE,,,$0.00 
41A44D2A-6F60-4DFE-B928-00D664635E29,"Candy Pad 5ct. Gold 1# 9.13""x5.88""",6,$9.12 ,Candy Boxes,Pads,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.52 ,,6,2,10,12/3/2022 10:23,Fox Run,FALSE,,,$9.12 
BB4DCF2A-B207-4335-B534-92AE3C228DF1,"Candy Pad 5ct. White 0.5# 3""x5.88""",57,$12.54 ,Candy Boxes,Pads,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.22 ,,57,2,6,9/13/2022 13:53,Fox Run,FALSE,,,$12.54 
02B500CB-D2E1-46DA-8652-684FA1B24EA4,"Candy Pad 5ct. White 1# 3.31""x6.94""",0,$0.00 ,Candy Boxes,Pads,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,4,20,12/21/2022 14:59,Fox Run,FALSE,,,$0.00 
EDA0463A-04D1-475C-B2CA-AFA56851CF74,"White XL Candy Pad, 19.75"" x 20"", each",21,$13.86 ,Candy Boxes,Pads,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.66 ,,38,5,10,12/17/2022 14:30,Fox Run,FALSE,,,$25.08 
