Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
cd05a4ba-f424-4b42-a977-d39caf1bd6b2,"10"" x 3 3/4"" Solid Bottom Alum Angel Food Pan",1,$15.63 ,Pans,general,11417240361,4.00E+11,$31.99 ,TRUE,TRUE,TRUE,$15.63 ,,2,1,1,3/3/2022 12:51,Lorann Oils dot com,FALSE,,,$31.26 
1b9a96b0-e63c-4977-ae31-a1e34f6127e9,10x2 Round Alum Cake Pan Magic Line,3,$17.22 ,Pans,general,11417202109,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.74 ,,3,1,2,10/28/2022 10:29,Lorann Oils dot com,FALSE,,,$17.22 
ff2eb738-1011-49c1-b812-5dc636530782,10x3 Round Alum Cake Pan Magic Line,2,$15.16 ,Pans,general,11417205100,4.00E+11,$15.99 ,TRUE,TRUE,TRUE,$7.58 ,,2,1,2,12/13/2022 13:06,Lorann Oils dot com,FALSE,,,$15.16 
ca268cb1-33b5-4272-b93c-c0d00dcf93e1,"10x3.75"" Magic Line Angel Food Pan w/Removable bottom",0,$0.00 ,Pans,general,,4.00E+11,$32.99 ,TRUE,TRUE,TRUE,$16.30 ,,0,0,0,3/23/2021 13:03,Lorann Oils dot com,FALSE,,,$0.00 
57be8b4d-d663-4270-9fe0-86e42b8ea80e,11x2 Round Alum Cake Pan Magic Line,2,$19.40 ,Pans,general,11417202116,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$9.70 ,,2,1,1,7/21/2022 11:57,Lorann Oils dot com,FALSE,,,$19.40 
bcf9259d-00b3-4bdd-b033-e9ec33b641b4,12x2 Round Alum cake pan Magic Line,2,$16.70 ,Pans,general,11417202123,4.00E+11,$16.99 ,TRUE,TRUE,TRUE,$8.35 ,,2,2,2,9/7/2022 14:42,Lorann Oils dot com,FALSE,,,$16.70 
155288f1-f9df-45cb-b074-a5470ea7ac3b,14x2 Round Alum Cake Pan Magic Line,3,$29.64 ,Pans,general,11417202147,4.00E+11,$20.49 ,TRUE,TRUE,TRUE,$9.88 ,,3,1,2,8/25/2022 10:13,Lorann Oils dot com,FALSE,,,$29.64 
0b3b08a5-8c9f-4478-aacc-ec14e03b6078,16x2 Round Alum Cake Pan Magic Line,2,$26.56 ,Pans,general,11417202161,4.00E+11,$26.99 ,TRUE,TRUE,TRUE,$13.28 ,,2,1,2,7/6/2022 16:00,Lorann Oils dot com,FALSE,,,$26.56 
3449aa49-081a-41ab-bc22-5737c10dca7e,18x2 Round Alum Cake Pan Magic Line,2,$13.48 ,Pans,general,,4.00E+11,$27.99 ,TRUE,TRUE,TRUE,$6.74 ,,2,1,2,5/6/2021 10:27,Lorann Oils dot com,FALSE,,,$13.48 
e82c68a3-56d6-4b62-83f4-d1e803607fb3,2 lb. Gold Foil Loaf Pan w/ Plastic Lid,,$0.00 ,Pans,Disposable,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.52 ,,77,5,1,12/13/2022 10:22,not tracked,FALSE,,,$40.04 
5fb836a4-4edf-4502-8f6f-2735a636c61c,2x2 Round Alum Cake Pan Magic Line,2,$2.48 ,Pans,general,11417202024,4.00E+11,$7.49 ,TRUE,TRUE,TRUE,$1.24 ,,3,2,2,11/5/2022 10:29,not tracked,FALSE,,,$3.72 
e9f6c7cf-76ab-40de-86e6-7296f8e1ed90,3x2 Round Alum Cake Pan Magic Line,2,$7.34 ,Pans,general,11417202031,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.67 ,,2,1,2,9/10/2022 15:13,not tracked,FALSE,,,$7.34 
86555987-048f-4219-9b1f-325513cf773a,4x2 Round Alum cake pan Magic Line,4,$16.08 ,Pans,general,11417202048,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$4.02 ,,4,1,2,9/23/2022 11:37,not tracked,FALSE,,,$16.08 
5e234270-cc64-44d3-9f52-f8ae98a6bf74,6-Cavity Muffin Top/Whoopie Pie Pan,4,$0.00 ,Pans,general,,4.00E+11,$12.99 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,4/27/2022 14:01,Linneas Inc dot com,FALSE,,,$0.00 
c7b7079b-2eec-47e6-8f36-a1a84800efd1,6x2 Round Alum Cake Pan Magic Line,2,$8.24 ,Pans,general,11417202062,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.12 ,,2,1,2,10/19/2022 11:09,Linneas Inc dot com,FALSE,,,$8.24 
ba105211-5a48-4935-bf98-d43d997cd077,6x3 Round Alum Cake Pan Magic Line,4,$23.48 ,Pans,general,11417205063,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.87 ,,4,1,2,10/19/2022 12:23,Linneas Inc dot com,FALSE,,,$23.48 
2aa7276d-e27e-442a-a19b-6f99714c7e3a,7x2 Magic Line Round Cake Pan,0,$0.00 ,Pans,general,,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.87 ,,0,0,0,8/13/2021 12:13,not tracked,FALSE,,,$0.00 
9364a415-6c42-4bc0-b829-277a36012c1d,8x2 Round Alum Cake Pan Magic Line,1,$4.99 ,Pans,general,11417202086,4.00E+11,$10.49 ,TRUE,TRUE,TRUE,$4.99 ,,1,2,4,12/7/2022 15:20,not tracked,FALSE,,,$4.99 
72cf48f3-d4a5-4e51-9dc9-df8d21664fdd,8x3 Round Alum Cake Pan Magic Line,4,$24.64 ,Pans,general,11417205087,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.16 ,,4,1,2,9/28/2022 19:17,not tracked,FALSE,,,$24.64 
000c12b6-9654-49e7-ac7c-58bafddeaefe,"9"" Foil Pie Pan 1 1/16"" deep",,$0.00 ,Pans,Disposable,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.19 ,,99,5,50,12/21/2022 12:15,not tracked,FALSE,,,$18.81 
e5bb62ff-b17b-4c92-bca8-13e2587c217b,9x2 Round Alum Cake Pan Magic Line,2,$11.38 ,Pans,general,11417202093,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.69 ,,2,1,2,12/7/2022 15:20,not tracked,FALSE,,,$11.38 
6838c9da-fa98-4ee7-9f63-ade61a91eeb6,9x3 Round Alum Cake Pan Magic Line,0,$0.00 ,Pans,general,11417205094,4.00E+11,$12.99 ,TRUE,TRUE,TRUE,$6.42 ,,0,1,2,12/21/2022 13:11,not tracked,FALSE,,,$0.00 
80f9f161-0a31-491b-b501-4aefbfae3b80,Disposable 5oz. Cupcake Pan/Ramekin with Clear Lid - Red,,$0.00 ,Pans,Disposable,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.39 ,,25,1,,,not tracked,FALSE,,,$9.75 
4943b421-a697-4fa3-88eb-510ede70180b,"Disposable Extra Deep Foil Pie Pan 5.75""x1.75""",,$0.00 ,Pans,Disposable,,4.00E+11,$0.75 ,TRUE,TRUE,TRUE,$0.29 ,,11,10,100,11/23/2022 12:28,not tracked,FALSE,,,$3.19 
a4f90306-77f0-41ce-80ee-93a3751a58bb,"Disposable Foil Pie or Tart Pan 3 3/8""",,$0.00 ,Pans,Disposable,,4.00E+11,$0.25 ,TRUE,TRUE,TRUE,$0.08 ,,16,15,125,11/18/2022 15:44,not tracked,FALSE,,,$1.28 
b1e66f00-3d19-44a9-8f8c-57247ab8fe66,Fat Daddio’s 10x2 Teardrop Cake Pan,0,$0.00 ,Pans,general,,4.00E+11,$18.99 ,TRUE,TRUE,FALSE,,0,0,0,0,9/26/2020 13:23,not tracked,FALSE,,,$0.00 
b4ece8f5-b453-41fc-be80-12f98ccf7b15,Fat Daddio’s 10x2 Triangle Cake Pan,0,$0.00 ,Pans,general,,4.00E+11,$15.99 ,TRUE,TRUE,FALSE,,0,0,0,0,12/24/2020 10:54,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
58120ef0-421e-43cf-9f96-f0bc30ab77cf,Fat Daddio’s 10x4.25 Angel Food Pan,3,$44.37 ,Pans,general,8.12E+11,4.00E+11,$29.99 ,TRUE,TRUE,TRUE,$14.79 ,,3,1,0,7/1/2022 11:54,Cookie Countess Wholesale dot com,FALSE,,,$44.37 
2f15f5bd-051b-45d5-92b8-a9532402d569,Fat Daddio’s 11” x 3” Springform Pan,1,$0.00 ,Pans,general,8.12E+11,4.00E+11,$26.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,8/4/2022 13:19,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
094c8a1d-4367-4cb8-b505-2c6880c13b2f,Fat Daddio’s 12” Alum Ring Mold,,$0.00 ,Pans,general,8.12E+11,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,10/23/2021 15:05,CK Products,FALSE,,,$0.00 
0720519d-4235-497b-af05-cbdebfab571d,Fat Daddio’s 12x2 Teardrop Cake Pan,0,$0.00 ,Pans,general,,4.00E+11,$24.99 ,TRUE,TRUE,FALSE,,0,0,0,0,3/16/2021 13:36,CK Products,FALSE,,,$0.00 
