Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
6F26C47F-4F4E-44FD-AB90-C4A46DA10A52,"Wilton Hidden Pillars, 6"", 4pk.",3,$7.14 ,Decorating Tools,Plates & Pillars,70896303806,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.38 ,,3,1,1,,Life of the Party,FALSE,,,$7.14 
E96E2E39-D489-4859-AECC-9F0BCE110DF4,"Wilton Smooth Edge Round Separator Plate - 10""",0,$0.00 ,Decorating Tools,Plates & Pillars,,4.00E+11,$0.00 ,TRUE,TRUE,TRUE,$0.00 ,,0,1,,,not tracked,FALSE,,,$0.00 
DE43863C-6D52-46B9-99C1-61CF3742D9D8,"Wilton Smooth Edge Round Separator Plate - 12""",3,$10.29 ,Decorating Tools,Plates & Pillars,70896324146,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.43 ,,3,1,,10/11/2022 13:08,Pfiel & Holing,FALSE,,,$10.29 
82F28313-693E-4199-8187-FFB4AEFE2416,"Wilton Smooth Edge Round Separator Plate - 14""",0,$0.00 ,Decorating Tools,Plates & Pillars,,4.00E+11,$0.00 ,TRUE,TRUE,TRUE,$0.00 ,,0,1,,,DecoPac,FALSE,,,$0.00 
2CB20B57-42BF-46B7-AC9B-6354F00C2B58,"Wilton Smooth Edge Round Separator Plate - 16""",1,$4.02 ,Decorating Tools,Plates & Pillars,70896324160,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.02 ,,1,1,,,CK Products,FALSE,,,$4.02 
84EFEDD5-F02D-469F-AD52-E96F526567A6,"Wilton Smooth Edge Round Separator Plate - 18""",0,$0.00 ,Decorating Tools,Plates & Pillars,,4.00E+11,$0.00 ,TRUE,TRUE,TRUE,$0.00 ,,0,1,,,not tracked,FALSE,,,$0.00 
B8EBD3FF-5EE8-4E1B-9550-2FEB6750D842,"Wilton Smooth Edge Round Separator Plate - 4""",3,$5.16 ,Decorating Tools,Plates & Pillars,70896324115,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$1.72 ,,3,1,,8/13/2021 15:01,Donna Rabe - Sweet Stuff Shoppe - Text (313) 720-2659,FALSE,,,$5.16 
4F120693-8A87-4E3E-85E4-F9FD52D15737,"Wilton Smooth Edge Round Separator Plate - 6""",0,$0.00 ,Decorating Tools,Plates & Pillars,,4.00E+11,$0.00 ,TRUE,TRUE,TRUE,$0.00 ,,0,1,,,Linneas Inc dot com,FALSE,,,$0.00 
3F83918F-0E36-4844-AC41-633DB217EA65,"Wilton Smooth Edge Round Separator Plate - 8""",0,$0.00 ,Decorating Tools,Plates & Pillars,70896324122,4.00E+11,$5.49 ,TRUE,TRUE,TRUE,$2.72 ,,0,1,,7/20/2022 12:31,Life of the Party,FALSE,,,$0.00 
748CB9C6-4C1F-4446-BB9D-85609615748F,"Wilton Square Decorator Plate - 14""",1,$3.22 ,Decorating Tools,Plates & Pillars,70896318053,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.22 ,,1,1,,,Cookie Cutters dot Com,FALSE,,,$3.22 
