Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
8c185687-2fbd-413f-ad8d-78ee6a27f8c4,Gum Paste Apricot Nectar Rose - Large,,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$1.94 ,,7,1,,9/15/2022 16:59,CK Products,FALSE,,,$13.58 
29b74507-26cd-4857-ae9d-6c7763531847,Gum Paste Apricot Nectar Rose - Small,,$0.00 ,Gumpaste,Roses,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$1.94 ,,6,1,,9/15/2022 16:59,CK Products,FALSE,,,$11.64 
19dc8eba-c971-4475-be22-3597c88c558e,"Gum Paste Briar Rose, White, 3""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.45 ,,4,1,6,4/22/2022 13:08,Oh Sweet Art,FALSE,,,$9.80 
fff97dd7-5072-45f7-a893-f021189eebd4,"Gum Paste Dark Red Rose 4""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$15.99 ,TRUE,FALSE,TRUE,$7.53 ,,6,1,6,12/14/2022 13:04,Linneas Inc dot com,FALSE,,,$45.18 
6e0f1f5c-2288-414c-a99b-18571fc39cff,"Gum Paste Formal Rose - 1.5"" White",,$0.00 ,Gumpaste,Roses,,4.00E+11,$1.49 ,TRUE,TRUE,TRUE,$0.73 ,,24,2,,8/19/2022 16:55,CK Products,FALSE,,,$17.52 
0ffcf4bf-82ad-4a2d-ac50-93a79742d4e0,"Gum Paste Formal Rose - 2"" White",,$0.00 ,Gumpaste,Roses,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.95 ,,13,2,,7/16/2022 12:46,CK Products,FALSE,,,$12.35 
cdf3f8b6-8e14-463a-b7d1-062038355cab,"Gum Paste Red Garden Rose - Large 3""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$16.99 ,TRUE,TRUE,TRUE,$8.45 ,,5,1,,,CK Products,FALSE,,,$42.25 
64de9c67-fe59-4a5d-a65f-0512db65bfab,"Gum Paste Red Garden Rose - Medium 2""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$5.55 ,,5,1,,,CK Products,FALSE,,,$27.75 
f35ce5fb-eb64-4b39-9685-ea3a72d354f8,"Gum Paste Red Garden Rose - Small 1""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.75 ,,5,1,,,CK Products,FALSE,,,$13.75 
2dc97c02-2379-4997-9488-b0dbab71c4b8,Gum Paste Red Rose Trio Spray,,$0.00 ,Gumpaste,Roses,,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.79 ,,3,1,6,12/1/2021 17:09,CK Products,FALSE,,,$8.37 
14d4a714-018f-434d-a73f-db359a15b5ba,"Gum Paste Red Roses 5"" Spray",,$0.00 ,Gumpaste,Roses,,4.00E+11,$10.99 ,TRUE,FALSE,TRUE,$5.75 ,,1,0,0,6/3/2022 14:27,CK Products,FALSE,,,$5.75 
73389229-0d8a-4e50-8335-d4df5d412529,"Gum Paste Rose Trio Spray - Peach 4""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$2.89 ,,5,1,1,5/14/2022 12:54,CK Products,FALSE,,,$14.45 
2074203d-e82c-440f-8931-002295a3d5bf,"Gum Paste Rose Trio Spray - Pink 4""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,FALSE,TRUE,$2.76 ,,4,1,4,4/2/2022 10:50,CK Products,FALSE,,,$11.04 
1084b037-0afb-404f-ac3f-59e0f0a5f858,"Gum Paste Sugar Rose, 2.5"" - Ivory",,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.79 ,,4,1,,,CK Products,FALSE,,,$15.16 
95ab383b-d3df-4a6a-bdbc-f0032d8858f2,"Gum Paste Sugar Rose, 2.5"" - Pink",,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$3.79 ,,3,1,,2/24/2022 15:22,CK Products,FALSE,,,$11.37 
5a6cf94d-4f45-45f8-b44f-3f55b9e50a56,"Gum Paste Sugar Rose, 2.5"" - Red",,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$2.75 ,,14,1,,6/16/2022 13:36,CK Products,FALSE,,,$38.50 
06037bc7-87ff-44a3-a735-1bdd77fc5593,Gum Paste Tea Rose XL Pink Single w/wire,,$0.00 ,Gumpaste,Roses,,4.00E+11,$9.99 ,TRUE,TRUE,TRUE,$3.75 ,,5,2,1,12/15/2022 13:20,CK Products,FALSE,,,$18.75 
bea22745-d972-4cc4-8073-770176379484,"Gum Paste XL Black Rose 3""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.91 ,,12,1,1,2/23/2022 15:38,Linneas Inc dot com,FALSE,,,$10.92 
dc7c287b-1865-4e4b-be07-d8688b81470d,"Gumpaste ""Meghan's"" Rose, White",,$0.00 ,Gumpaste,Roses,,4.00E+11,$19.99 ,TRUE,TRUE,TRUE,$10.25 ,,4,1,1,10/20/2021 15:52,DecoPac,FALSE,,,$41.00 
bfafaf2b-d814-4ad6-94ab-1274e497b6ae,"Gumpaste Queen Elizabeth Rose, White, 2.5""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$1.69 ,,22,2,1,9/10/2022 13:49,Wilton (WiltonForBusiness dot com),FALSE,,,$37.18 
42442084-e2f9-4fae-9272-416ee74d45ba,"Gumpaste Queen Elizabeth Rose, White, 3.5""",,$0.00 ,Gumpaste,Roses,,4.00E+11,$7.99 ,TRUE,TRUE,TRUE,$2.67 ,,8,1,1,6/16/2022 13:36,Wilton (WiltonForBusiness dot com),FALSE,,,$21.36 
