Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
154CF8C3-3D69-49DD-8F40-3BF19D340F06,"Baby Feet Royal Icings 5/8"", 6 sets - Blue",15,$11.70 ,Decorations,Royal Icings,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.78 ,,15,3,,12/22/2022 12:12,Caljava,FALSE,,,$11.70 
EB7FC69C-CEB7-4567-90D5-8A68C00362E2,"Baby Feet Royal Icings 5/8"", 6 sets - Pink",23,$17.94 ,Decorations,Royal Icings,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.78 ,,23,3,,10/8/2022 11:25,DecoPac,FALSE,,,$17.94 
71B70EBA-9912-4118-9B3A-E957B01317CB,"Beauty Royal Icings 1.5"" 4pc. set",2,$2.60 ,Decorations,Royal Icings,,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.30 ,,2,1,1,11/18/2022 13:52,Avalon Deco - do NOT order from here,FALSE,,,$2.60 
C1E0EBBF-D780-4F5D-B8B9-B874385CDEAA,"Classic Icing Roses - Large 1.5"" (3ct.) Black",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.51 ,,8,2,,3/17/2022 12:53,Linneas Inc dot com,FALSE,,,$12.08 
B5D71E1C-4EA9-4FEE-ACA1-1E0E2670016B,"Classic Icing Roses - Large 1.5"" (3ct.) Burgundy",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$0.00 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,Webstaurant store,FALSE,,,$0.00 
1AA43005-69B3-46E0-9E1A-94ADB00EAFBD,"Classic Icing Roses - Large 1.5"" (3ct.) Coral",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.20 ,,10,2,,,Amazon,FALSE,,,$12.00 
FA60EAB8-8EE8-4C6F-8327-E0485B7DE3C7,"Classic Icing Roses - Large 1.5"" (3ct.) Hot Pink",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.24 ,,6,2,,8/2/2022 17:03,CK Products,FALSE,,,$7.44 
A53AD7DF-12AA-4D96-9AD8-BC66AF5936D1,"Classic Icing Roses - Large 1.5"" (3ct.) Ivory",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$3.49 ,TRUE,FALSE,TRUE,$3.36 ,,10,2,,,CK Products,FALSE,,,$33.60 
F33F8699-C449-4C65-A1D8-44D0896F36DE,"Classic Icing Roses - Large 1.5"" (3ct.) Lavender",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$0.00 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,DecoPac,FALSE,,,$0.00 
61E6B6B9-0CA4-4245-940E-0BE94380736D,"Classic Icing Roses - Large 1.5"" (3ct.) Pastel Blue",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.20 ,,9,2,,5/15/2021 12:04,DecoPac,FALSE,,,$10.80 
A1BAB8D3-7C0A-4EE5-BC23-384EB005C898,"Classic Icing Roses - Large 1.5"" (3ct.) Pastel Pink",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,Life of the Party,FALSE,,,$0.00 
1E9034CE-57B7-437A-8C02-B52E39B79BF3,"Classic Icing Roses - Large 1.5"" (3ct.) Peach",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.20 ,,9,0,,11/4/2022 13:58,not tracked,FALSE,,,$10.80 
60A66E9B-55A2-4B3E-BA64-714BB5B0D361,"Classic Icing Roses - Large 1.5"" (3ct.) Red",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.20 ,,9,2,,11/10/2022 14:05,CK Products,FALSE,,,$10.80 
5B1CFD71-0A1F-4B05-880D-E4265CB766EF,"Classic Icing Roses - Large 1.5"" (3ct.) White",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$0.00 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,Amazon,FALSE,,,$0.00 
FECCF31F-695E-4913-B3A3-C8A3A454CF8C,"Classic Icing Roses - Large 1.5"" (3ct.) Yellow",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$0.00 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,DecoPac,FALSE,,,$0.00 
FC3CA4B8-55ED-459C-A921-A0B54B5DAC7D,"Classic Icing Roses - Med 1.25"" (4ct.) Black",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.41 ,,6,2,,8/5/2022 14:59,Pfeil & Holing Cake Deco dot com 718 545 4600,FALSE,,,$8.46 
461B1C9A-5B36-4848-82D0-F1A7FBD2231D,"Classic Icing Roses - Med 1.25"" (4ct.) Burgundy",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$3.29 ,TRUE,FALSE,TRUE,$1.69 ,,4,0,,10/15/2022 13:57,DecoPac,FALSE,,,$6.76 
38D33F02-D5EF-45A3-BC55-6A669C8538EC,"Classic Icing Roses - Med 1.25"" (4ct.) Coral",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.56 ,,4,2,,7/13/2022 10:32,Linneas Inc dot com,FALSE,,,$2.24 
BB19124E-0CF1-4FC1-BF15-F513B7CE8B0C,"Classic Icing Roses - Med 1.25"" (4ct.) Hot Pink",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$1.19 ,,3,2,,10/29/2022 13:57,not tracked,FALSE,,,$3.57 
9CC5E80B-14E3-40C4-B2CF-58A1D6067CB3,"Classic Icing Roses - Med 1.25"" (4ct.) Ivory",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$3.49 ,TRUE,FALSE,TRUE,$1.69 ,,4,2,,10/28/2022 14:04,CK Products,FALSE,,,$6.76 
AF3E6C76-4E61-459B-9D39-47B45B30DC23,"Classic Icing Roses - Med 1.25"" (4ct.) Lavender",,$0.00 ,Decorations,Royal Icings,,4.00E+11,$0.00 ,TRUE,FALSE,TRUE,$0.00 ,,0,0,,,DecoPac,FALSE,,,$0.00 
