Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
96762F73-89D5-4380-81BA-04D795A4210A,Holly #601 Candy Cups 200ct,0,$0.00 ,Candy Liners,Seasonal - Christmas,,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$1.58 ,,0,0,0,12/7/2022 15:06,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
317F6515-C027-40B8-9321-145442F41C76,Ann Clark Christmas Moose Cookie Cutter 4.5”,5,$0.00 ,Cookie Cutters,Seasonal - Christmas,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,6,1,6,12/9/2021 13:52,Creative Expressions,FALSE,,,$0.00 
E39B4048-E157-47E9-ABAD-BDFBB3701FB7,Ann Clark Christmas Tree Large Cookie Cutter 4” 1062A,1,$1.16 ,Cookie Cutters,Seasonal - Christmas,8.71E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.16 ,,1,1,6,12/20/2022 12:02,Creative Expressions,FALSE,,,$1.16 
E7B65B0C-713E-4483-9684-A68E681A6F72,Ann Clark Christmas Tree w/Star Cookie Cutter 8199A,0,$0.00 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.16 ,,0,2,12,12/14/2022 14:09,Creative Expressions,FALSE,,,$0.00 
AA50C2C3-3075-4E2C-91AF-F513A6DF1370,"Ann Clark Gingerbread Girl Cutter 3.75""",6,$5.40 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.90 ,,6,2,12,12/16/2022 11:18,PME,FALSE,,,$5.40 
AE1ABDD2-8009-49C4-B607-7CC3B84F6971,"Ann Clark Gingerbread Man Cookie Cutter 3.75"" 7946A",9,$10.17 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.13 ,,8,2,12,12/21/2022 12:18,PME,FALSE,,,$9.04 
E5E5104D-895A-4F68-A21A-E3450AA05CFB,"Ann Clark Large Gingerbread Man Cookie Cutter 5""x4"" 7945",9,$10.35 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.15 ,,9,3,12,12/20/2022 14:13,CK Products,FALSE,,,$10.35 
E4FBE699-C63E-4467-A007-94415CA75D84,Ann Clark Large Penguin Cookie Cutter 5”,4,$0.00 ,Cookie Cutters,Seasonal - Christmas,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,5,0,6,12/22/2021 13:56,PME,FALSE,,,$0.00 
3FCA2FB2-EE19-4CFA-8889-EC1AE805A749,"Ann Clark Mini Gingerbread Man Cookie Cutter 2""x2.25""",8,$7.76 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.97 ,,8,2,12,12/20/2022 12:02,PME,FALSE,,,$7.76 
E9963E71-5C3E-4174-98B5-227511D91F1E,Ann Clark Santa Face Cookie Cutter 4.25”,2,$1.60 ,Cookie Cutters,Seasonal - Christmas,8.71E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.80 ,,1,1,6,12/9/2022 13:44,Sweet Stamp,FALSE,,,$0.80 
270C5E3B-A4BB-499C-93C5-B6B9A19C19A6,"Ann Clark Snowman Cookie Cutter 4""x2.25""",9,$7.20 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.80 ,,9,1,12,12/22/2022 14:07,Sweet Stamp,FALSE,,,$7.20 
58B3D10D-CC79-4DAD-A98A-087B64ADEEA3,Ann Clark Snowman Head Cookie Cutter 4” 8162A,10,$9.90 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,10,0,6,12/13/2022 11:26,Sweet Stamp,FALSE,,,$9.90 
A94CC718-BF50-4A10-89C0-17F6EDA27878,Ann Clark Truck w/Tree Cookie Cutter 5” 8244A,5,$5.55 ,Cookie Cutters,Seasonal - Christmas,8.18E+11,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$1.11 ,,8,1,1,12/22/2022 15:48,DecoPac,FALSE,,,$8.88 
2AF57EA2-7EFF-418D-A795-4CB2FCEF69BC,"Beanie Hat/Stocking Cap Cookie Cutter 3.5"" B1185",0,$0.00 ,Cookie Cutters,Seasonal - Christmas,,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.90 ,,1,1,1,12/22/2022 14:07,DecoPac,FALSE,,,$0.90 
5DE82CB3-0706-4947-A92D-9719AC7881D3,"Candy Cane Cookie Cutter 3.5""",1,$0.73 ,Cookie Cutters,Seasonal - Christmas,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.73 ,,1,2,12,12/21/2022 12:43,CK Products,FALSE,,,$0.73 
F4EFC62D-3F79-4742-9304-965D4D253F17,"Celebakes Christmas Light Bulb 4""",0,$0.00 ,Cookie Cutters,Seasonal - Christmas,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.97 ,,0,2,12,12/16/2022 13:11,CK Products,FALSE,,,$0.00 
A92614B6-4843-4353-8FB2-A3D4CD0201E7,"Celebakes Holly Leaf Cookie Cutter 3""",5,$3.60 ,Cookie Cutters,Seasonal - Christmas,7.06E+11,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.72 ,,7,2,12,12/11/2021 11:39,CK Products,FALSE,,,$5.04 
D4954207-125A-49AE-B463-ADC96753643F,"Celebakes Ornament Cookie Cutter 3.75""",4,$4.52 ,Cookie Cutters,Seasonal - Christmas,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.13 ,,4,2,12,12/17/2022 13:49,CK Products,FALSE,,,$4.52 
64E15B5C-E36F-43D3-B71C-716F75ADB3EB,"Celebakes Primitive Snowman Cookie Cutter 4.75""x2.5""",7,$6.65 ,Cookie Cutters,Seasonal - Christmas,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.95 ,,7,0,0,12/13/2022 12:26,CK Products,FALSE,,,$6.65 
30632760-005F-44D1-B3D8-7550A0135CA4,"Celebakes Reindeer Cookie Cutter 3.75""",3,$3.30 ,Cookie Cutters,Seasonal - Christmas,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.10 ,,1,2,12,12/21/2022 15:03,CK Products,FALSE,,,$1.10 
