Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
05CAA337-8A4B-487A-91D0-4DFA05ADDC5F,"1 7/8"" Chick in Egg Choc Mold 90-2014",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,9/15/2022 12:40,Wilton (WiltonForBusiness dot com),FALSE,,,$1.60 
4C9475E9-DD9D-41A3-8E86-47F73686BBB8,"2 3/8"" Bunny 3D Choc Mold 90-2320",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,3/24/2022 15:24,not tracked,FALSE,,,$3.15 
5E156AA9-60CA-4776-8E75-CB130177DBF0,"2"" 3D Floral Egg Choc Mold 90-2387",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.27 ,,3,1,3,4/9/2022 12:58,Wilton (WiltonForBusiness dot com),FALSE,,,$3.81 
CA3B4139-ADB2-45F2-B070-53C5D04EC253,"2.5"" Egg Choc Mold 90-2602",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.96 ,,0,2,6,4/9/2022 12:58,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
78FF0531-E3F8-4BE8-BC27-D52BAD2BB5DD,"3 3/8"" 3D Bunny Choc Mold 90-2316",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,2,1,3,4/13/2022 15:54,Wilton (WiltonForBusiness dot com),FALSE,,,$2.10 
64FB3A3B-D5B1-4651-8C14-01D8EE9B9E3A,"3"" 3D Egg w/Ribbon Choc Mold 90-2382",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,4,1,3,4/3/2021 14:49,Wilton (WiltonForBusiness dot com),FALSE,,,$3.96 
7F38D901-1198-42DE-9ABE-59DA180D706F,"3"" Bunny 3D Choc Mold 90-2318",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,2,1,3,4/7/2022 13:28,Wilton (WiltonForBusiness dot com),FALSE,,,$2.10 
FC702745-ABDA-43F7-8572-EBB6B29E91A5,"3"" Easter Egg Sucker Choc Mold 90-2246",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,2,1,3,4/1/2022 16:52,Wilton (WiltonForBusiness dot com),FALSE,,,$2.10 
A61BAC35-9AE0-4EFB-BD8C-B832EBA37BA1,"3D 3"" Egg Choc Mold 90-2340",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,0,1,3,4/12/2022 14:11,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
9D626DF1-B888-4E3D-8CE3-BB1E07333E1E,"3D 4"" Rabbit Choc Mold 90-2342",,$0.00 ,Chocolate Molds,Seasonal - Easter,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,2,1,3,4/6/2022 10:40,Wilton (WiltonForBusiness dot com),FALSE,,,$2.10 
