Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
3A63347B-F70F-47D3-BC33-3F8AA2F0608C,"1 5/8"" Pumpkin Sucker Chocolate Mold CK 90-3227",,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,5,2,6,10/15/2020 13:07,Wilton (WiltonForBusiness dot com),FALSE,,,$4.00 
13CA155C-4471-462B-822B-72E8D3F07ABD,"1.25"" Maple Leaf Choc Mold CK 90-13025",,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.95 ,,8,2,6,9/18/2021 16:07,Wilton (WiltonForBusiness dot com),FALSE,,,$7.60 
CBB484C6-B96C-4FBD-8DB3-6F3470D7999D,"1.75"" Maple Leaf Choc Mold CK 90-13013",,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
8FA89542-EEDB-4A7C-9B63-70DD9DD01634,Pine Cone Choc Mold,,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,3,8/25/2021 12:22,R&M International - MoreThanBaking dot com,FALSE,,,$1.60 
A1592EFF-2D5B-48D1-B374-71E10D8C7C16,Pumpkin Candy Mold CML916,,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,0,0,0,11/17/2020 11:25,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
CCB089C3-E4B3-465F-943E-49EA8CC1A5FC,Pumpkin Chocolate Mold T013,,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,0,0,11/5/2021 10:59,R&M International - MoreThanBaking dot com,FALSE,,,$1.60 
DB8254C7-0701-4B7B-A00A-FD1615E823E7,Pumpkin Mold 90-3004,,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,10/27/2022 11:14,R&M International - MoreThanBaking dot com,FALSE,,,$2.40 
50DA4556-6231-4A0E-A027-34C2849D044C,Pumpkin Oreo Mold CML1673,,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,0,0,0,9/25/2020 17:20,not tracked,FALSE,,,$0.00 
93368C7E-22A8-4061-A2D9-AA7E8D310C01,Pumpkin Sucker Chocolate Mold T-045,,$0.00 ,Chocolate Molds,Seasonal - Fall,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,0,1,3,9/25/2020 17:20,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
5E3F8F2B-C7C1-42FD-97E9-973C22980081,Candy Corn Metal Cookie Cutter 3.5” x 2.5” 0855,15,$11.55 ,Cookie Cutters,Seasonal - Fall,71581008556,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.77 ,,15,1,6,11/16/2022 16:02,CK Products,FALSE,,,$11.55 
98E11206-267C-4826-878A-DFE76A5761E4,"Celebakes Acorn Cookie Cutter 3.25"" B1479",8,$9.52 ,Cookie Cutters,Seasonal - Fall,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$1.19 ,,8,1,1,11/30/2022 14:57,Cookie Cutters dot Com,FALSE,,,$9.52 
9222E13F-A96B-45D0-82DB-74279DB5DB3F,"Celebakes Maple Leaf Cookie Cutter 3.5""",0,$0.00 ,Cookie Cutters,Seasonal - Fall,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.97 ,,1,2,12,11/23/2022 10:42,CK Products,FALSE,,,$0.97 
9675C929-5A42-4CA8-B2F9-80487BCF4776,"Celebakes Pumpkin Cookie Cutter 3""",5,$4.85 ,Cookie Cutters,Seasonal - Fall,7.06E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.97 ,,5,2,12,10/29/2022 10:46,CK Products,FALSE,,,$4.85 
964419AB-CA78-470C-99B4-5144722FD161,"Giant Maple Leaf Cutter 8.25""x7.25""",0,$0.00 ,Cookie Cutters,Seasonal - Fall,71581058896,4.00E+11,$3.99 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,1/19/2021 12:30,CK Products,FALSE,,,$0.00 
7D364A6F-E708-441A-BA90-1767520880DF,"LilaLoa Front Facing Turkey 3 5/8""- Ann Clark ",1,$0.52 ,Cookie Cutters,Seasonal - Fall,8.18E+11,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.52 ,,1,2,12,11/22/2022 12:18,CK Products,FALSE,,,$0.52 
897EC08A-F460-4AE8-A9FB-ECABE85A2028,"Mini Oak Leaf Painted Yellow Cutter 1.75""x1.25""",0,$0.00 ,Cookie Cutters,Seasonal - Fall,71581716888,4.00E+11,$1.59 ,TRUE,TRUE,TRUE,$0.00 ,,1,0,0,10/19/2021 11:40,CK Products,FALSE,,,$0.00 
7C18804D-4D94-4039-8EA8-DE26D61A85B6,Pumpkin Cookie Cutter Metal 4.75” x 5” R&M,3,$0.00 ,Cookie Cutters,Seasonal - Fall,71581010665,4.00E+11,$2.49 ,TRUE,TRUE,TRUE,$0.00 ,,3,1,6,9/10/2022 12:16,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
855974A3-E5A4-46E2-981B-AA3C396E05FB,Pumpkin Orange Painted Metal Cookie Cutter 4.75” x 5”,10,$0.00 ,Cookie Cutters,Seasonal - Fall,71581710664,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$0.00 ,,10,0,0,9/9/2022 14:15,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
018CCBC9-3BE6-4568-82B5-69F826E53231,"Turkey Cookie Cutter 3.5""",0,$0.00 ,Cookie Cutters,Seasonal - Fall,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.55 ,,0,2,12,12/16/2022 12:45,AnnClarkCookieCutters dot com,FALSE,,,$0.00 
2737899F-7BEC-4844-8D88-E2A3A0D1B072,Wilton Fall Cookie Cutter 4pc. Set,3,$9.39 ,Cookie Cutters,Seasonal - Fall,70896134394,4.00E+11,$6.49 ,TRUE,TRUE,TRUE,$3.13 ,,3,1,3,,not tracked,FALSE,,,$9.39 
9BC708D5-0DAF-420E-AA76-5E4C8ABC4336,Wilton Grippy Orange Pumpkin Cookie Cutter,0,$0.00 ,Cookie Cutters,Seasonal - Fall,70896163547,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.71 ,,0,1,6,11/3/2022 15:23,The Bakers Kitchen- wholesale at thebakerskitchen dot net,FALSE,,,$0.00 
3043A6C9-663A-4EB4-9A7F-38FADE897C57,"Wilton Mini Pie Crust Cookie Cutters, 6pc.",4,$8.80 ,Cookie Cutters,Seasonal - Fall,70896508935,4.00E+11,$4.69 ,TRUE,TRUE,TRUE,$2.20 ,,4,1,6,11/15/2022 13:09,Genies Dream - StencilGenie dot com PW is GENIE321,FALSE,,,$8.80 
