Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
B603E4E2-3509-4B06-8D3F-9D06E18A87EA,"3/4"" Halloween Asst Choc Mold 90-3133",2,$2.20 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.10 ,,2,1,3,10/13/2022 12:11,Wilton (WiltonForBusiness dot com),FALSE,,,$2.20 
901C1A5E-F874-407C-98AB-2A1BBCAD6AC2,"3D Brain 4"" Choc Mold 90-3310",,$0.00 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.09 ,,1,1,3,10/5/2022 11:56,Wilton (WiltonForBusiness dot com),FALSE,,,$1.09 
6D43F225-4020-4546-9A39-D0F828417113,3pc. BWB Cauldron/Pot of Gold w/Lid Mold 10211 65x53mm,,$0.00 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$6.65 ,,5,2,15,2/11/2022 16:48,Wilton (WiltonForBusiness dot com),FALSE,,,$33.25 
7FE1BCD4-F850-404C-8918-E18BE66BB63B,3pc. BWB Lg. Breakable Pumpkin Mold 3658,,$0.00 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$6.65 ,,16,2,25,10/20/2022 16:50,Wilton (WiltonForBusiness dot com),FALSE,,,$106.40 
21426EFB-E250-4E54-A1CA-5C29D08CEF52,3pc. BWB Pumpkin Cocoa Bomb Mold 10242 65x55mm,,$0.00 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$6.65 ,,19,3,20,10/20/2022 16:50,Wilton (WiltonForBusiness dot com),FALSE,,,$126.35 
73972CDA-7694-4C67-A7DD-EB845E877B22,Asst'd Halloween w/Hat Choc Mold LOTP H005,6,$6.18 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,1,,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
15380BCA-8F96-483B-BCF9-3A483B0D68D6,Bats & Pumpkins Choc Mold 90-981,3,$3.54 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.18 ,,3,1,3,9/10/2022 15:37,not tracked,FALSE,,,$3.54 
3094CC87-722D-42A5-B696-94755C2DA0B9,Bite Size Spider Choc Mold LOTP H061,5,$5.15 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,5,1,1,10/26/2022 11:23,not tracked,FALSE,,,$5.15 
E6BC4358-3418-4975-800F-01F59D168157,Boo Bars Mold 3-cavity H091,,$0.00 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,0,2/12/2022 10:55,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
B34AFD82-C9B3-4363-91CE-B14995C1C597,Day of the Dead Skulls Choc Mold LOTP H165,4,$4.12 ,Chocolate Molds,Seasonal - Halloween,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,4,1,1,10/20/2022 15:31,Wilton (WiltonForBusiness dot com),FALSE,,,$4.12 
