Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
B0758795-4642-41F1-B78C-F2A642E8424F,"Four Leaf Clover 2"" Choc Sucker Mold 90-13115",,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.54 ,,3,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$1.62 
E99D3ABE-5D97-48AD-9C7E-F328EF9CE062,Happy St Patrick's Day Choc Mold 90-14804,,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.22 ,,4,1,3,3/12/2022 15:41,Wilton (WiltonForBusiness dot com),FALSE,,,$4.88 
8AA553A4-9542-4550-849E-1B3E48FA4A64,"Large Shamrock Sucker Choc Mold 4.5""x4"" 90-14825",,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,4,1,3,12/2/2022 11:02,Wilton (WiltonForBusiness dot com),FALSE,,,$3.20 
0E8297B7-1A60-474A-B4E9-582F34E56CE2,Leprechaun Bear Sucker Choc Mold LOTP P22,,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,4,0,0,,not tracked,FALSE,,,$0.00 
58966D25-A6C7-4316-AB55-AA508315CEFD,Lucky Charms 2-Cavity Sucker Mold 90-13420,,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,5,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
5761435E-B669-4D13-9F7D-76A8185A953B,Mardi Gras Jester Sucker Choc Mold LOTP I29,,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.00 ,,5,1,0,6/16/2021 11:19,Wilton (WiltonForBusiness dot com),FALSE,,,$0.00 
AB6D3711-4197-4C47-B31B-F271B0A7C730,"Shamrock 1"" Choc Mold 90-14803",,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.17 ,,3,1,3,6/4/2022 11:37,R&M International - MoreThanBaking dot com,FALSE,,,$3.51 
0F0453E6-7765-4966-9E3B-69B2B8EF1AD6,"Shamrock 2"" Choc Mold 90-14801",,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.04 ,,5,1,3,7/22/2022 15:33,not tracked,FALSE,,,$5.20 
F4ED79DF-186C-48A5-939D-A6551A9A7793,Shamrock Oreo Mold LOTP P030,,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,6,6/25/2022 14:48,not tracked,FALSE,,,$6.18 
782C2B61-DBE9-4C6B-9DDB-E2949BD79282,Shamrock Sucker Choc Mold CML 4011,,$0.00 ,Chocolate Molds,Seasonal - St Patricks Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,1,4,3/5/2022 13:15,Cookie Cutter dot Com Off the beaten path,FALSE,,,$1.60 
