Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
05CC9AEA-D7ED-425A-84B9-7F63F187FC04,"0.5# 1pc. 2Layer Hearts Box, 5.5""x2.75""x1.75""",2,$0.54 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.27 ,,2,3,25,2/9/2022 14:39,Fox Run,FALSE,,,$0.54 
65E9A2A3-2D54-4A48-A703-4B660FD0CCB7,"0.5# 1pc. 2Layer Little Hearts Box, 5.5""x2.75""x1.75""",16,$7.68 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.48 ,,16,4,25,2/12/2022 14:03,Fox Run,FALSE,,,$7.68 
459996D2-88AD-427F-AFAD-EC6F9DA1765F,"0.5# 1pc. Entangled Heart Box, 5.5""x2.75""x1.75""",28,$16.80 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.60 ,,28,3,25,2/12/2022 13:40,Fox Run,FALSE,,,$16.80 
B3B4CED1-DFED-438A-9331-297D2AF9FB8E,"1# 1pc. 2Layer Little Hearts Box 7""x3 3/8""x2""",16,$8.80 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$1.29 ,TRUE,TRUE,TRUE,$0.55 ,,16,3,25,1/15/2022 12:21,not tracked,FALSE,,,$8.80 
3374A948-8B93-4544-84A6-FAC11058E544,12 Rose Spray Box Gold w/Insert for Choc Mold 90-13039,3,$8.31 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.77 ,,3,1,5,2/12/2022 10:35,not tracked,FALSE,,,$8.31 
0913609F-F5C8-42F5-BB5C-A40A94D6DD56,"Red Heart Box, 6.75""x6""x1.25""",2,$6.72 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$6.79 ,TRUE,TRUE,TRUE,$3.36 ,,2,1,3,2/9/2022 11:30,Fox Run,FALSE,,,$6.72 
805FC5F0-AD74-435A-A068-6E68D82B3DE1,"Valentine Border Square 3oz. 2pc. Box, 3.5""x3.5""x1""",23,$19.09 ,Candy Boxes,Seasonal - Valentines Day,,4.00E+11,$1.89 ,TRUE,TRUE,TRUE,$0.83 ,,23,2,25,,Fox Run,FALSE,,,$19.09 
D509D4D2-DFCC-4A0D-889B-6589C8237D09,Hugs and Kisses 6-Cavity Chocolate Mold 90-1655,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,1,3,2/6/2021 15:44,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
ABBC410C-F153-42DF-997C-DC0FA988C9CD,Large Smooch Oreo 5-Cavity Chocolate Mold LOTP V175,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.03 ,,6,1,3,1/5/2021 16:25,Wilton (WiltonForBusiness dot com),FALSE,,,$6.18 
42E11067-1C36-4059-98A4-A36E8B0819CE,LOVE w/Hearts Bars Choc Mold 90-1633,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,3,1,3,1/28/2022 11:37,Wilton (WiltonForBusiness dot com),FALSE,,,$2.97 
BE1EDE62-1DA2-4A74-A3F1-D3DEF3D927D6,O-Hugs 8-Cavity Chocolate Mold 90-1052,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,3,0,0,,Wilton (WiltonForBusiness dot com),FALSE,,,$2.40 
24536329-4A55-4E40-903D-480368A628BC,Small Smoochettes 14-cavity Chocolate Mold 90-1043,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.09 ,,4,1,3,7/5/2022 14:24,Cookie Cutters dot Com,FALSE,,,$4.36 
D811E7C0-F62D-46A1-A38D-1956B3131A3B,Smooch Lollipop 5-Cavity Chocolate Mold 90-1253,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,0,0,0,4/8/2021 13:01,Cookie Cutter dot Com Off the beaten path,FALSE,,,$0.00 
B6306056-CEAB-4FAC-9958-3AD15A1694A5,Valentines/St. Patrick's Day Asst Choc Mold 90-1107,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.05 ,,3,1,3,,R&M International - MoreThanBaking dot com,FALSE,,,$3.15 
E3BEFEB5-01C0-4251-A8EC-AEF74BD5DE88,X-kisses 8-cavity Chocolate Mold 90-1051,,$0.00 ,Chocolate Molds,Seasonal - Valentines Day,,4.00E+11,$2.25 ,TRUE,TRUE,TRUE,$0.80 ,,2,0,0,,not tracked,FALSE,,,$1.60 
566964E1-E4B8-4F41-9DC6-3CE346F6BBA7,Cupid Pink Painted Metal Cookie Cutter 4.5”,0,$0.00 ,Cookie Cutters,Seasonal - Valentines Day,71581710589,4.00E+11,$3.49 ,TRUE,TRUE,TRUE,$0.00 ,,9,1,6,12/6/2022 11:46,CK Products,FALSE,,,$0.00 
1E5BD598-1EFF-4FC1-8A2D-F3BD03848314,Letter X Red Painted Metal Cookie Cutter 3”,0,$0.00 ,Cookie Cutters,Seasonal - Valentines Day,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,6,,CK Products,FALSE,,,$0.00 
5E647958-C98F-46B4-8568-D63ADDC4DB41,Lips Metal Cookie Cutter 3.75”,6,$0.00 ,Cookie Cutters,Seasonal - Valentines Day,,4.00E+11,$1.99 ,TRUE,TRUE,TRUE,$0.00 ,,6,0,0,,CK Products,FALSE,,,$0.00 
26675215-27CA-4EE3-981A-9A7AACF011C5,Wilton Four Mini Hearts Combo Cookie Cutter 2.25”,0,$0.00 ,Cookie Cutters,Seasonal - Valentines Day,70896110374,4.00E+11,$1.79 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,0,1/14/2022 16:05,Webstaurant store,FALSE,,,$0.00 
58792844-2F1D-44AC-AF8C-7658B145321C,Wilton Plastic Heart Cut-Out 2.25”,0,$0.00 ,Cookie Cutters,Seasonal - Valentines Day,,4.00E+11,$1.79 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,2/2/2021 14:20,CK Products,FALSE,,,$0.00 
4FE1DD23-E98B-4A99-A9AA-06912C44BF1A,Wilton Valentine Cookie Cutter 3pc. Set,0,$0.00 ,Cookie Cutters,Seasonal - Valentines Day,70896033413,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$2.33 ,,5,1,6,1/28/2022 17:06,Linneas Inc dot com,FALSE,,,$11.65 
40793B27-913D-4103-9D00-9A884679F806,"Wilton Candy Heart Standard Baking Cups, 75ct.",0,$0.00 ,Cupcake Liners,Seasonal - Valentines Day,70896155498,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.31 ,,0,1,6,2/5/2022 11:05,R&M International - MoreThanBaking dot com,FALSE,,,$0.00 
FDAB0F4F-9BF9-4437-B9EC-4A810DB39591,"Wilton Hearts Mini Baking Cups, 100ct.",0,$0.00 ,Cupcake Liners,Seasonal - Valentines Day,70896155559,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.31 ,,0,1,6,1/25/2022 14:02,Amazon,FALSE,,,$0.00 
1E0E5BA3-2234-45A2-B9F0-8452BB20987D,"Wilton Love Standard Baking Cups, 75ct.",0,$0.00 ,Cupcake Liners,Seasonal - Valentines Day,70896155436,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.31 ,,0,1,6,2/8/2022 16:59,CK Products,FALSE,,,$0.00 
1E765122-03E5-4B5E-BC07-927AE43F74F1,"Celebakes Edible Confetti Pink Hearts, 2.2oz.",0,$0.00 ,Decorations,Seasonal - Valentines Day,7.45E+11,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.28 ,,0,2,6,2/8/2022 17:03,DecoPac,FALSE,,,$0.00 
BCAB38E4-D0B3-4BFE-BDAF-875C61CF8AD3,Conversation Heart Rings 6ct,,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.00 ,,24,1,14,2/10/2022 16:39,DecoPac,FALSE,,,$0.00 
0CAEC83D-9516-477B-8142-715F37F20F09,"Deluxe Fusion Mix - Love Struck, 3oz.",,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$3.99 ,TRUE,FALSE,TRUE,$1.61 ,,8,2,1,2/9/2022 11:44,Cookie Countess Wholesale dot com,FALSE,,,$12.88 
7689E5FA-11A3-4A1C-81F0-8BF69FF22F63,"Heart Beats Asst'd Sugars, 6ct.",,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$2.49 ,TRUE,FALSE,TRUE,$0.95 ,,25,0,0,2/12/2022 14:26,CK Products,FALSE,,,$23.75 
16C823A7-0BDB-4E64-A13B-71B054773D48,"Love Letters Sugars, 7ct.",,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$2.99 ,TRUE,FALSE,TRUE,$1.30 ,,16,2,1,2/8/2022 16:59,Cookie Countess Wholesale dot com,FALSE,,,$20.80 
CAB131A4-B98F-428A-9557-C8AB572513F0,"Mini Red White & Pink Heart Sprinkles, 3oz.",,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$3.69 ,TRUE,FALSE,TRUE,$1.11 ,,0,1,1,2/5/2022 11:05,Cookie Countess Wholesale dot com,FALSE,,,$0.00 
7B82D0B6-379A-4306-89C4-11444A3B23F8,"Red Tiny Icing Hearts 1/2"", 8ct.",,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$1.99 ,TRUE,FALSE,TRUE,$0.89 ,,29,3,1,8/18/2022 16:38,DecoPac,FALSE,,,$25.81 
FB91F338-39EB-4E5D-A1E0-9DB9885E4AD1,Red/Pink Lips Rings 6ct,,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.00 ,,16,1,14,2/9/2021 14:15,CK Products,FALSE,,,$0.00 
134717CD-F3B4-4596-B9BE-8A31ABD6D65D,"Scroll Heart DecoPics, 6ct.",,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.33 ,,9,2,1,2/26/2022 15:57,Life of the Party,FALSE,,,$2.97 
8E22052E-988C-4447-8B89-1A3AE4349D56,Valentines Wrapped Candies Rings 6ct,,$0.00 ,Decorations,Seasonal - Valentines Day,,4.00E+11,$1.39 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,2/13/2021 13:37,Life of the Party,FALSE,,,$0.00 
C8B0A1B7-E25A-41D4-BD44-55AF4DD12EBC,Wilton Sprinkles Jumbo Pink/Red Hearts 3.25oz,,$0.00 ,Decorations,Seasonal - Valentines Day,70896700322,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$2.82 ,,4,1,6,2/8/2022 17:03,Cookie Cutter dot Com Off the beaten path,FALSE,,,$11.28 
2B65A866-EA2E-4B7A-999B-9E8AAB42A56D,"Wilton Valentine Heart Pink/Purple Sprinkle Mix, 4.08oz.",,$0.00 ,Decorations,Seasonal - Valentines Day,70896155245,4.00E+11,$5.99 ,TRUE,FALSE,TRUE,$3.10 ,,0,1,4,1/22/2022 15:19,Cookie Cutters dot Com,FALSE,,,$0.00 
