Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
f55974f4-72c2-4ffe-a38c-f2b60df3452e,"""Congrats Grad"" Graduation Diploma Rings 6ct.",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/8/2020 16:26,Sweet Stamp,FALSE,,,$0.00 
8bce75b0-f0be-411b-bb6c-a80ba1faeea9,"""Congrats Grad"" Graduation Picks 6ct. Black",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.42 ,,14,2,1,8/12/2022 16:28,Sweet Stamp,FALSE,,,$5.88 
65b2867c-b5a6-4d4e-9c54-c6ce970ea4d2,"""GRAD"" Graduation Ring 6ct.",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,9/1/2020 16:15,Sweet Stamp,FALSE,,,$0.00 
321f4547-85f8-4c04-8e13-52019b40cbb8,"2020 Metallic Picks, 6ct. - Black",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.61 ,,0,0,,7/17/2020 14:26,Sweet Stamp,FALSE,,,$0.00 
eed98358-fd47-4120-81cb-e2319f835957,"2020 Metallic Picks, 6ct. - Gold",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.61 ,,0,0,,6/27/2020 11:20,Sweet Stamp,FALSE,,,$0.00 
3a1de001-5c49-4cad-8577-507ffcfb2e06,"2020 Metallic Picks, 6ct. - Silver",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.61 ,,0,0,,6/26/2020 14:28,Sweet Stamp,FALSE,,,$0.00 
74e59446-c46c-4973-9874-39ea5504d24e,3D Graduation Cap Cupcake Pics 6ct.,,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.59 ,,4,2,1,7/14/2022 12:22,Sweet Stamp,FALSE,,,$2.36 
fa3b6fff-eb4f-4c1d-9f95-6bb6355b044c,"Black & Orange Sprinkles, 4oz.",,$0.00 ,Seasonal,Halloween,,4.00E+11,$2.69 ,TRUE,FALSE,TRUE,$0.60 ,,0,0,0,10/31/2020 11:19,Sweet Stamp,FALSE,,,$0.00 
8254f42a-003c-436d-b182-2fd322fb436e,"Black Graduation Cap Cake Topper w/ gold accents 3""",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,8/11/2020 14:47,Sweet Stamp,FALSE,,,$0.00 
1ebe0c8a-d7f6-4d42-964d-19955b7571f4,BOO Silk Screen Stencil & Cutter combo,5,$33.75 ,Seasonal,Halloween,,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.75 ,,2,1,1,8/24/2022 15:03,Sweet Stamp,FALSE,,,$13.50 
571ea675-70d6-4fd2-8e4f-b9420ea85e01,Celebakes 250ct #4 Green Candy Cups 1” x 0.75”,3,$8.76 ,Seasonal,Christmas,7.45E+11,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.92 ,,3,1,1,12/13/2022 12:39,Sweet Stamp,FALSE,,,$8.76 
016ba101-33df-487a-8035-46bf55476007,Christmas Tiered Treat Server 10.75” x 10.75” x 10.75”,0,$0.00 ,Seasonal,Christmas,39938010881,4.00E+11,$6.00 ,TRUE,TRUE,TRUE,$0.00 ,,3,0,0,12/20/2022 15:02,Sweet Stamp,FALSE,,,$0.00 
e8684bfb-e3e3-4446-8327-1fdcff7cf4d1,Christmas Tree 5pc Nested Cookie Cutter Set,0,$0.00 ,Seasonal,Christmas,7.69E+11,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$0.00 ,,2,1,0,,Sweet Stamp,FALSE,,,$0.00 
a03c9f83-c523-46b4-b56c-de744cfd2ed9,CK 25ct Christmas Tree Cake Pop Sticks,0,$0.00 ,Seasonal,Christmas,7.45E+11,4.00E+11,$4.99 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,11/11/2020 17:03,Sweet Stamp,FALSE,,,$0.00 
b62fe016-2dab-4395-a85f-c736f3bf173a,Diploma Chocolate Mold 90-13505,,$0.00 ,Seasonal,Graduation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.30 ,,3,1,0,7/14/2022 14:20,Sweet Stamp,FALSE,,,$3.90 
e12e78ee-c67b-4e4d-bcdc-5c8d28fd5121,Diploma Frame Cake Topper,,$0.00 ,Seasonal,Graduation,,4.00E+11,$0.99 ,TRUE,TRUE,TRUE,$0.44 ,,24,1,0,6/2/2020 12:03,Sweet Stamp,FALSE,,,$10.56 
44785ba7-4b3f-4aa5-b282-a14fbee1db27,Diploma Pretzel Chocolate Mold 90-13580,,$0.00 ,Seasonal,Graduation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$0.99 ,,2,1,0,7/21/2022 12:50,Sweet Stamp,FALSE,,,$1.98 
4b437782-001b-43d3-942d-efcd0cb7e9c1,Farm Fresh 2pc. Spatula Set,4,$17.76 ,Seasonal,Christmas,7.69E+11,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$4.44 ,,4,0,0,12/16/2022 15:25,Sweet Stamp,FALSE,,,$17.76 
fd07342d-7df9-4986-b2cb-deeb0d7781ac,Grad Cap & Diploma Chocolate Mold 90-13511,,$0.00 ,Seasonal,Graduation,,4.00E+11,$2.99 ,TRUE,TRUE,TRUE,$1.25 ,,4,1,3,7/21/2022 12:50,Sweet Stamp,FALSE,,,$5.00 
f08724d1-6f6f-4417-ba57-555b74e76d3f,"Grad Foil Cupcake Rings, 6ct. - Gold",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.64 ,,2,3,,8/24/2022 12:57,Sweet Stamp,FALSE,,,$1.28 
aec8b86d-d18e-4d45-8fda-26d5006ac948,"Grad Foil Cupcake Rings, 6ct. - Silver",,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.69 ,TRUE,TRUE,TRUE,$0.61 ,,10,3,,7/7/2022 16:35,Sweet Stamp,FALSE,,,$6.11 
a4d41cdb-3b8b-46e5-9823-f0228f63c15e,Graduate Cake Topper Male - Dark Skin Tone,,$0.00 ,Seasonal,general,,4.00E+11,$1.89 ,TRUE,TRUE,TRUE,$0.00 ,,0,0,0,8/6/2021 15:44,Sweet Stamp,FALSE,,,$0.00 
7d12785d-102f-46cd-be13-79cbf6319504,Graduation Cap with Gold Tassel - Black,,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.36 ,,21,4,,12/15/2022 15:37,Sweet Stamp,FALSE,,,$7.50 
6cee9e9b-6d58-4ecc-8968-b52afa10c0cb,Graduation Cap with Gold Tassel - Blue,,$0.00 ,Seasonal,Graduation,,4.00E+11,$1.19 ,TRUE,TRUE,TRUE,$0.32 ,,5,4,,7/23/2022 13:36,Sweet Stamp,FALSE,,,$1.60 
